id_distribution,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
dispersed,SGCT,DRCT,total_protocol_time_ms,3884.348900,30178.691300,26294.342400,87.128836,30.484088,0.000000,4.311101,1.000000,50
dispersed,SGCT,LAPCT,total_protocol_time_ms,3884.348900,15163.622375,11279.273475,74.383767,234.017022,0.000000,33.095005,1.000000,50
dispersed,SGCT,DQTA(k_max=3),total_protocol_time_ms,3884.348900,12249.277800,8364.928900,68.289160,33.472738,0.000000,4.733760,1.000000,50
dispersed,SGCT,EMDT,total_protocol_time_ms,3884.348900,6956.430700,3072.081800,44.161754,82.790737,0.000000,11.708378,1.000000,50
dispersed,SGCT,NLHQT(n=2),total_protocol_time_ms,3884.348900,4503.205200,618.856300,13.742574,16.925581,0.000000,2.393639,0.980000,50
dispersed,SGCT,EAQ_CBB,total_protocol_time_ms,3884.348900,16412.479125,12528.130225,76.332955,58.908529,0.000000,8.330924,1.000000,50
dispersed,SGCT,HT_EEAC,total_protocol_time_ms,3884.348900,29731.343400,25846.994500,86.935172,385.705263,0.000000,54.546961,1.000000,50
prefixed,SGCT,DRCT,total_protocol_time_ms,4811.327300,10532.719200,5721.391900,54.320179,541.545553,0.000000,76.586107,1.000000,50
prefixed,SGCT,LAPCT,total_protocol_time_ms,4811.327300,14391.865625,9580.538325,66.569120,1639.741449,0.000000,231.894460,1.000000,50
prefixed,SGCT,DQTA(k_max=3),total_protocol_time_ms,4811.327300,7862.083550,3050.756250,38.803407,387.291597,0.000000,54.771303,1.000000,50
prefixed,SGCT,EMDT,total_protocol_time_ms,4811.327300,6978.708200,2167.380900,31.057050,155.819988,0.000000,22.036274,1.000000,50
prefixed,SGCT,NLHQT(n=2),total_protocol_time_ms,4811.327300,6574.780750,1763.453450,26.821479,406.207635,0.000000,57.446435,1.000000,50
prefixed,SGCT,EAQ_CBB,total_protocol_time_ms,4811.327300,13061.009375,8249.682075,63.162669,873.395588,0.000000,123.516789,1.000000,50
prefixed,SGCT,HT_EEAC,total_protocol_time_ms,4811.327300,29811.910200,25000.582900,83.861057,579.371880,0.000000,81.935557,1.000000,50
random,SGCT,DRCT,total_protocol_time_ms,5783.349750,7550.150900,1766.801150,23.400872,319.912634,0.000000,45.242479,1.000000,50
random,SGCT,LAPCT,total_protocol_time_ms,5783.349750,12923.561875,7140.212125,55.249568,2065.425122,0.000000,292.095222,1.000000,50
random,SGCT,DQTA(k_max=3),total_protocol_time_ms,5783.349750,8015.139150,2231.789400,27.844674,375.394292,0.000000,53.088770,1.000000,50
random,SGCT,EMDT,total_protocol_time_ms,5783.349750,6984.018700,1200.668950,17.191663,93.755530,0.000000,13.259034,1.000000,50
random,SGCT,NLHQT(n=2),total_protocol_time_ms,5783.349750,9157.835600,3374.485850,36.848072,817.318149,0.000000,115.586241,1.000000,50
random,SGCT,EAQ_CBB,total_protocol_time_ms,5783.349750,11184.566600,5401.216850,48.291696,864.264472,0.000000,122.225454,1.000000,50
random,SGCT,HT_EEAC,total_protocol_time_ms,5783.349750,29694.848850,23911.499100,80.524064,423.429924,0.000000,59.882034,1.000000,50
sequential,SGCT,DRCT,total_protocol_time_ms,2561.390000,9045.658750,6484.268750,71.683765,,,,1.000000,50
sequential,SGCT,LAPCT,total_protocol_time_ms,2561.390000,15472.440000,12911.050000,83.445468,49685473606290648.000000,0.000000,7026587062694668.000000,1.000000,50
sequential,SGCT,DQTA(k_max=3),total_protocol_time_ms,2561.390000,9358.746250,6797.356250,72.631056,52316405645076072.000000,0.000000,7398657039787892.000000,1.000000,50
sequential,SGCT,EMDT,total_protocol_time_ms,2561.390000,6983.165450,4421.775450,63.320502,416.877606,0.000000,58.955396,1.000000,50
sequential,SGCT,NLHQT(n=2),total_protocol_time_ms,2561.390000,4373.027500,1811.637500,41.427535,,,,1.000000,50
sequential,SGCT,EAQ_CBB,total_protocol_time_ms,2561.390000,15000.705575,12439.315575,82.924870,1722.762428,0.000000,243.635399,1.000000,50
sequential,SGCT,HT_EEAC,total_protocol_time_ms,2561.390000,29765.030700,27203.640700,91.394633,476.912559,0.000000,67.445621,1.000000,50
