TOTAL_TAGS,BINARY_LENGTH,id_distribution,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
5000,96,random,0.000000,True,True,formal_distribution_robustness,145061007,3663133032,8068943.750000,161198.000000,4271477.000000,17009,2013264.267875,2458.134500,2015722.402375,5000,5000,5206,4535,,,,,,,,,,,,,,,,,,,,4.819800,,619.659791,DQTA(k_max=3),0,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14741,0.339190,854.295400,32.239600,4432675.000000,886.535000,1.102536,8068.943750,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,4253869804,962504490,7868131.250000,375196.000000,1954838.000000,16838,1955612.389000,1727.811000,1957340.200000,5000,5000,5095,4495,,,,,,,,,,,,,,,,,,,,4.808600,,635.474910,DQTA(k_max=3),0,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14590,0.342700,390.967600,75.039200,2330034.000000,466.006800,1.112347,7868.131250,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,2877941706,1215579225,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),0,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,365079545,3983084419,12558626.250000,840487.000000,2858516.000000,17359,3145431.131750,3110.232000,3148541.363750,5000,5000,567,7861,,,,,,,,,,,,,,,,,,,,9.906200,,398.132718,DQTA(k_max=3),0,16.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13428,0.372356,571.703200,168.097400,3699003.000000,739.800600,0.636051,12558.626250,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,3443043847,2841650600,8014340.000000,159523.000000,4262838.000000,16712,2017667.567125,2450.465000,2020118.032125,5000,5000,4966,4497,,,,,,,,,,,,,,,,,,,,4.808400,,623.881692,DQTA(k_max=3),1,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14463,0.345710,852.567600,31.904600,4422361.000000,884.472200,1.111852,8014.340000,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,3563885791,2588946816,7746646.250000,367986.000000,1947055.000000,16645,1955681.779750,1709.499500,1957391.279250,5000,5000,5034,4407,,,,,,,,,,,,,,,,,,,,4.787400,,645.440600,DQTA(k_max=3),1,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14441,0.346236,389.411000,73.597200,2315041.000000,463.008200,1.134559,7746.646250,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,1698211127,993729367,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),1,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,915139748,1168559950,12958327.500000,869889.000000,2168897.000000,17824,3251090.104375,2824.226500,3253914.330875,5000,5000,678,8097,,,,,,,,,,,,,,,,,,,,8.540400,,385.852264,DQTA(k_max=3),1,18.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13775,0.362976,433.779400,173.977800,3038786.000000,607.757200,0.617513,12958.327500,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,3876848227,4153464648,7960971.250000,157377.000000,4252530.000000,16795,1998302.607125,2441.019000,2000743.626125,5000,5000,5139,4437,,,,,,,,,,,,,,,,,,,,4.796200,,628.064069,DQTA(k_max=3),2,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14576,0.343030,850.506000,31.475400,4409907.000000,881.981400,1.126888,7960.971250,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,3214578017,2007661380,7880003.750000,375265.000000,1957854.000000,17081,1968028.392500,1729.457000,1969757.849500,5000,5000,5341,4493,,,,,,,,,,,,,,,,,,,,4.819200,,634.517465,DQTA(k_max=3),2,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14834,0.337064,391.570800,75.053000,2333119.000000,466.623800,1.112842,7880.003750,,,,,,,,,,,
