scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
scenario_label=clustered,SGCT,DRCT,total_protocol_time_ms,10157.559700,23180.990725,13023.431025,56.181512,1031.758432,0.000000,145.912677,1.000000,50
scenario_label=clustered,SGCT,LAPCT,total_protocol_time_ms,10157.559700,29657.235250,19499.675550,65.750146,1729.563283,0.000000,244.597185,1.000000,50
scenario_label=clustered,SGCT,DQTA(k_max=3),total_protocol_time_ms,10157.559700,16099.183125,5941.623425,36.906366,493.500894,0.000000,69.791566,1.000000,50
scenario_label=clustered,SGCT,EMDT,total_protocol_time_ms,10157.559700,13668.018100,3510.458400,25.683741,188.361476,0.000000,26.638335,1.000000,50
scenario_label=clustered,SGCT,NLHQT(n=2),total_protocol_time_ms,10157.559700,25171.530200,15013.970500,59.646634,661.603577,0.000000,93.564875,1.000000,50
scenario_label=clustered,SGCT,EAQ_CBB,total_protocol_time_ms,10157.559700,26334.454025,16176.894325,61.428630,213.305119,0.000000,30.165899,1.000000,50
scenario_label=clustered,SGCT,HT_EEAC,total_protocol_time_ms,10157.559700,79557.504600,69399.944900,87.232430,292.111846,0.000000,41.310853,1.000000,50
scenario_label=dispersed,SGCT,DRCT,total_protocol_time_ms,6718.748900,58715.508350,51996.759450,88.557114,25.729283,0.000000,3.638670,1.000000,50
scenario_label=dispersed,SGCT,LAPCT,total_protocol_time_ms,6718.748900,30360.683375,23641.934475,77.870232,341.898288,0.000000,48.351720,1.000000,50
scenario_label=dispersed,SGCT,DQTA(k_max=3),total_protocol_time_ms,6718.748900,23356.331025,16637.582125,71.233714,31.567111,0.000000,4.464264,1.000000,50
scenario_label=dispersed,SGCT,EMDT,total_protocol_time_ms,6718.748900,13711.498800,6992.749900,50.999165,134.871198,0.000000,19.073668,1.000000,50
scenario_label=dispersed,SGCT,NLHQT(n=2),total_protocol_time_ms,6718.748900,9177.001925,2458.253025,26.787104,50.754098,0.000000,7.177713,1.000000,50
scenario_label=dispersed,SGCT,EAQ_CBB,total_protocol_time_ms,6718.748900,32262.238300,25543.489400,79.174573,64.306187,0.000000,9.094268,1.000000,50
scenario_label=dispersed,SGCT,HT_EEAC,total_protocol_time_ms,6718.748900,79474.367100,72755.618200,91.546018,334.125164,0.000000,47.252434,1.000000,50
scenario_label=prefix64,SGCT,DRCT,total_protocol_time_ms,8735.725925,23136.997450,14401.271525,62.243476,1031.955940,0.000000,145.940609,1.000000,50
scenario_label=prefix64,SGCT,LAPCT,total_protocol_time_ms,8735.725925,29867.624600,21131.898675,70.751856,2265.873552,0.000000,320.442911,1.000000,50
scenario_label=prefix64,SGCT,DQTA(k_max=3),total_protocol_time_ms,8735.725925,16091.059525,7355.333600,45.710685,648.375527,0.000000,91.694146,1.000000,50
scenario_label=prefix64,SGCT,EMDT,total_protocol_time_ms,8735.725925,13688.148300,4952.422375,36.180368,256.482024,0.000000,36.272036,1.000000,50
scenario_label=prefix64,SGCT,NLHQT(n=2),total_protocol_time_ms,8735.725925,11547.214950,2811.489025,24.347767,389.230886,0.000000,55.045560,1.000000,50
scenario_label=prefix64,SGCT,EAQ_CBB,total_protocol_time_ms,8735.725925,27373.911100,18638.185175,68.087403,1358.416845,0.000000,192.109153,1.000000,50
scenario_label=prefix64,SGCT,HT_EEAC,total_protocol_time_ms,8735.725925,79673.867550,70938.141625,89.035645,315.784135,0.000000,44.658621,1.000000,50
scenario_label=prefix72,SGCT,DRCT,total_protocol_time_ms,8042.206925,24029.592050,15987.385125,66.532071,1008.138806,0.000000,142.572357,1.000000,50
scenario_label=prefix72,SGCT,LAPCT,total_protocol_time_ms,8042.206925,30362.122975,22319.916050,73.512370,1990.439247,0.000000,281.490618,1.000000,50
scenario_label=prefix72,SGCT,DQTA(k_max=3),total_protocol_time_ms,8042.206925,16038.342525,7996.135600,49.856371,753.708257,0.000000,106.590444,1.000000,50
scenario_label=prefix72,SGCT,EMDT,total_protocol_time_ms,8042.206925,13678.685050,5636.478125,41.206286,280.628994,0.000000,39.686933,1.000000,50
scenario_label=prefix72,SGCT,NLHQT(n=2),total_protocol_time_ms,8042.206925,10682.222750,2640.015825,24.714106,306.318231,0.000000,43.319940,1.000000,50
scenario_label=prefix72,SGCT,EAQ_CBB,total_protocol_time_ms,8042.206925,27955.137850,19912.930925,71.231739,1170.518189,0.000000,165.536270,1.000000,50
scenario_label=prefix72,SGCT,HT_EEAC,total_protocol_time_ms,8042.206925,79077.557400,71035.350475,89.829976,352.296098,0.000000,49.822192,1.000000,50
scenario_label=prefix80,SGCT,DRCT,total_protocol_time_ms,5490.737500,21802.186950,16311.449450,74.815657,1610.688854,0.000000,227.785802,1.000000,50
scenario_label=prefix80,SGCT,LAPCT,total_protocol_time_ms,5490.737500,30839.397325,25348.659825,82.195704,216976.187682,0.000000,30685.066733,1.000000,50
scenario_label=prefix80,SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14764.105475,9273.367975,62.810226,942.825955,0.000000,133.335725,1.000000,50
scenario_label=prefix80,SGCT,EMDT,total_protocol_time_ms,5490.737500,13683.013050,8192.275550,59.871868,528.354532,0.000000,74.720614,1.000000,50
scenario_label=prefix80,SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9180.343050,3689.605550,40.190280,1758.155010,0.000000,248.640666,1.000000,50
scenario_label=prefix80,SGCT,EAQ_CBB,total_protocol_time_ms,5490.737500,28610.459775,23119.722275,80.808636,1834.801050,0.000000,259.480053,1.000000,50
scenario_label=prefix80,SGCT,HT_EEAC,total_protocol_time_ms,5490.737500,79111.684200,73620.946700,93.059511,292.358714,0.000000,41.345766,1.000000,50
scenario_label=prefixed,SGCT,DRCT,total_protocol_time_ms,9377.359975,21193.507550,11816.147575,55.753620,754.636142,0.000000,106.721667,1.000000,50
scenario_label=prefixed,SGCT,LAPCT,total_protocol_time_ms,9377.359975,28878.272350,19500.912375,67.527974,2632.434323,0.000000,372.282432,1.000000,50
scenario_label=prefixed,SGCT,DQTA(k_max=3),total_protocol_time_ms,9377.359975,16167.125675,6789.765700,41.997358,644.546873,0.000000,91.152693,1.000000,50
scenario_label=prefixed,SGCT,EMDT,total_protocol_time_ms,9377.359975,13702.634100,4325.274125,31.565275,263.437599,0.000000,37.255702,1.000000,50
scenario_label=prefixed,SGCT,NLHQT(n=2),total_protocol_time_ms,9377.359975,13276.294600,3898.934625,29.367642,705.409342,0.000000,99.759946,1.000000,50
scenario_label=prefixed,SGCT,EAQ_CBB,total_protocol_time_ms,9377.359975,26114.358625,16736.998650,64.091173,1536.732263,0.000000,217.326761,1.000000,50
scenario_label=prefixed,SGCT,HT_EEAC,total_protocol_time_ms,9377.359975,79293.672450,69916.312475,88.173886,318.871184,0.000000,45.095195,1.000000,50
scenario_label=random,SGCT,DRCT,total_protocol_time_ms,11247.694225,15222.873525,3975.179300,26.113199,592.843148,0.000000,83.840682,1.000000,50
scenario_label=random,SGCT,LAPCT,total_protocol_time_ms,11247.694225,25910.294400,14662.600175,56.589863,3256.441481,0.000000,460.530371,1.000000,50
scenario_label=random,SGCT,DQTA(k_max=3),total_protocol_time_ms,11247.694225,16387.377975,5139.683750,31.363674,740.138745,0.000000,104.671425,1.000000,50
scenario_label=random,SGCT,EMDT,total_protocol_time_ms,11247.694225,13655.748000,2408.053775,17.633994,124.450626,0.000000,17.599976,1.000000,50
scenario_label=random,SGCT,NLHQT(n=2),total_protocol_time_ms,11247.694225,18442.238350,7194.544125,39.011231,1500.866436,0.000000,212.254567,1.000000,50
scenario_label=random,SGCT,EAQ_CBB,total_protocol_time_ms,11247.694225,22360.923950,11113.229725,49.699332,1403.971081,0.000000,198.551494,1.000000,50
scenario_label=random,SGCT,HT_EEAC,total_protocol_time_ms,11247.694225,79740.866100,68493.171875,85.894693,323.150162,0.000000,45.700334,1.000000,50
scenario_label=sequential,SGCT,DRCT,total_protocol_time_ms,4609.660000,17994.676250,13385.016250,74.383201,,,,1.000000,50
scenario_label=sequential,SGCT,LAPCT,total_protocol_time_ms,4609.660000,30901.261250,26291.601250,85.082615,50588862252643784.000000,0.000000,7154345510271316.000000,1.000000,50
scenario_label=sequential,SGCT,DQTA(k_max=3),total_protocol_time_ms,4609.660000,9760.685000,5151.025000,52.773192,,,,1.000000,50
scenario_label=sequential,SGCT,EMDT,total_protocol_time_ms,4609.660000,13686.955100,9077.295100,66.320778,562.056031,0.000000,79.486726,1.000000,50
scenario_label=sequential,SGCT,NLHQT(n=2),total_protocol_time_ms,4609.660000,7161.840000,2552.180000,35.635814,39286122206482920.000000,0.000000,5555896683745497.000000,1.000000,50
scenario_label=sequential,SGCT,EAQ_CBB,total_protocol_time_ms,4609.660000,29938.093625,25328.433625,84.602694,1778.100487,0.000000,251.461382,1.000000,50
scenario_label=sequential,SGCT,HT_EEAC,total_protocol_time_ms,4609.660000,80049.999150,75440.339150,94.241524,359.960727,0.000000,50.906134,1.000000,50
