TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,1486858820,1000047926,16490451.250000,341401.000000,9122238.000000,35120,8280597.401750,5243.921000,8285841.322750,10000,10000,11048,9381,,,,,,,,,,,,,,,,,,,,5.175800,,606.411544,DQTA(k_max=3),0,26.000000,,,,,,,,,,30429,0.328634,912.223800,34.140100,9463639.000000,946.363900,1.065984,16490.451250,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,4075987068,2007639934,16023928.750000,774348.000000,4136868.000000,34640,8006809.191750,3617.130000,8010426.321750,10000,10000,10865,9183,,,,,,,,,,,,,,,,,,,,5.149900,,624.066679,DQTA(k_max=3),0,26.000000,,,,,,,48.000000,,,30048,0.332801,413.686800,77.434800,4911216.000000,491.121600,1.088969,16023.928750,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,4125689627,3106533615,16267312.500000,941925.000000,2497082.000000,35466,8124353.070125,3132.391000,8127485.461125,10000,10000,11388,9385,,,,,,,,,,,,,,,,,,,,5.174700,,614.729692,DQTA(k_max=3),0,28.000000,,,,,,,64.000000,,,30773,0.324960,249.708200,94.192500,3439007.000000,343.900700,1.065530,16267.312500,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,1500471121,1567831461,16003532.500000,1002558.000000,1665472.000000,34720,8055840.581875,2837.852000,8058678.433875,10000,10000,10843,9251,,,,,,,,,,,,,,,,,,,,5.156800,,624.862042,DQTA(k_max=3),0,28.000000,,,,,,,72.000000,,,30094,0.332292,166.547200,100.255800,2668030.000000,266.803000,1.080964,16003.532500,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment10_algorithm_comparison,3599789785,1406971752,14796396.250000,995371.000000,848205.000000,31372,7412233.154000,2414.844500,7414647.998500,10000,10000,8476,8597,,,,,,,,,,,,,,,,,,,,5.067000,,675.840240,DQTA(k_max=3),0,28.000000,,,,,,,80.000000,,,27073,0.369372,84.820500,99.537100,1843576.000000,184.357600,1.163196,14796.396250,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment10_algorithm_comparison,718391674,1058690022,22182305.000000,1389818.000000,5066793.000000,30992,11083922.202250,5313.032500,11089235.234750,10000,10000,293,13799,,,,,,,,,,,,,,,,,,,,7.665100,,450.809778,DQTA(k_max=3),0,22.000000,,,,,,,,,,24092,0.415076,506.679300,138.981800,6456611.000000,645.661100,0.724690,22182.305000,,,,,,
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment10_algorithm_comparison,3832442603,3016436854,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),0,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment10_algorithm_comparison,2671803409,3884208084,15996485.000000,894485.000000,4705682.000000,35064,8009088.176250,4141.811000,8013229.987250,10000,10000,11274,9193,,,,,,,,,,,,,,,,,,,,5.529300,,625.137335,DQTA(k_max=3),0,27.000000,,,,,,,,8.000000,64.000000,30467,0.328224,470.568200,89.448500,5600167.000000,560.016700,1.087784,15996.485000,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,2763007857,447218636,16339022.500000,335998.000000,9101883.000000,34855,8198461.575250,5222.937500,8203684.512750,10000,10000,10990,9243,,,,,,,,,,,,,,,,,,,,5.163100,,612.031717,DQTA(k_max=3),1,26.000000,,,,,,,,,,30233,0.330764,910.188300,33.599800,9437881.000000,943.788100,1.081900,16339.022500,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,2065428963,2585703427,16111395.000000,779911.000000,4142960.000000,34851,8075180.946250,3631.302000,8078812.248250,10000,10000,10989,9241,,,,,,,,,,,,,,,,,,,,5.161000,,620.678718,DQTA(k_max=3),1,28.000000,,,,,,,48.000000,,,30230,0.330797,414.296000,77.991100,4922871.000000,492.287100,1.082134,16111.395000,,,,,,
