scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
scenario_label=clustered,DQTA(k_max=3),total_protocol_time_ms,16099.183125,88.101207,16258.816375,24.420409,50
scenario_label=clustered,DQTA(k_max=3),throughput_tags_per_sec,621.167769,3.401369,626.089333,0.942811,50
scenario_label=clustered,DQTA(k_max=3),system_efficiency,0.330893,0.002216,0.333435,0.000614,50
scenario_label=clustered,DQTA(k_max=3),collision_slots,9277.400000,57.715700,9380.400000,15.997976,50
scenario_label=clustered,DQTA(k_max=3),idle_slots,10945.180000,170.754471,11271.750000,47.330725,50
scenario_label=clustered,DQTA(k_max=3),total_energy_uj,8063556.540230,48396.839601,8129208.983412,13414.919520,50
scenario_label=clustered,DQTA(k_max=3),total_listening_energy_uj,8059160.361580,48351.929037,8124767.158637,13402.470947,50
scenario_label=clustered,DQTA(k_max=3),total_transmission_energy_uj,4396.178650,202.557043,4629.538200,56.145948,50
scenario_label=clustered,DQTA(k_max=3),total_bits,6083248.820000,401178.774877,6534439.600000,111201.083016,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_bits,518.021266,40.002355,562.795510,11.088087,50
scenario_label=clustered,DQTA(k_max=3),avg_reader_bits,90.303616,0.574679,91.345220,0.159293,50
scenario_label=clustered,DQTA(k_max=3),avg_total_bits,608.324882,40.117877,653.443960,11.120108,50
scenario_label=clustered,DQTA(k_max=3),avg_query_efficiency,1.077929,0.006710,1.087914,0.001860,50
scenario_label=clustered,DQTA(k_max=3),peak_stack_depth,25.680000,1.096190,27.000000,0.303848,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_responses,5.801748,0.221515,6.042985,0.061401,50
scenario_label=clustered,DRCT,total_protocol_time_ms,23180.990725,125.793058,23384.848187,34.868057,50
scenario_label=clustered,DRCT,throughput_tags_per_sec,431.400407,2.343070,435.676227,0.649466,50
scenario_label=clustered,DRCT,system_efficiency,0.335264,0.001883,0.338626,0.000522,50
scenario_label=clustered,DRCT,collision_slots,14913.080000,83.753487,15060.200000,23.215282,50
scenario_label=clustered,DRCT,idle_slots,4915.080000,83.753487,5062.200000,23.215282,50
scenario_label=clustered,DRCT,total_energy_uj,11645217.055443,80229.598698,11758340.203881,22238.510170,50
scenario_label=clustered,DRCT,energy_per_tag_uj,1164.521706,8.022960,1175.834021,2.223851,50
scenario_label=clustered,DRCT,total_reader_tx_energy_uj,3059.781440,17.973370,3088.532100,4.981964,50
scenario_label=clustered,DRCT,total_tag_tx_energy_uj,1623.993070,0.569961,1624.786950,0.157985,50
scenario_label=clustered,DRCT,total_listening_energy_uj,11640533.280932,80214.642679,11753639.845581,22234.364573,50
scenario_label=clustered,DRCT,total_transmission_energy_uj,4683.774510,18.323356,4713.269675,5.078975,50
scenario_label=clustered,DRCT,total_bits,4777876.860000,9717.943057,4793750.800000,2693.676387,50
scenario_label=clustered,DRCT,avg_tag_bits,324.798614,0.113992,324.957390,0.031597,50
scenario_label=clustered,DRCT,avg_reader_bits,152.989072,0.898668,154.426605,0.249098,50
scenario_label=clustered,DRCT,avg_total_bits,477.787686,0.971794,479.375080,0.269368,50
scenario_label=clustered,DRCT,avg_query_efficiency,0.670573,0.003766,0.677298,0.001044,50
scenario_label=clustered,DRCT,peak_stack_depth,12.960000,0.637598,14.000000,0.176733,50
scenario_label=clustered,DRCT,avg_tag_responses,75.621528,0.018733,75.649405,0.005193,50
scenario_label=clustered,EAQ_CBB,total_protocol_time_ms,26334.454025,534.298048,27370.462312,148.099863,50
scenario_label=clustered,EAQ_CBB,throughput_tags_per_sec,379.884230,7.725741,393.544291,2.141466,50
scenario_label=clustered,EAQ_CBB,system_efficiency,0.490253,0.015491,0.518133,0.004294,50
scenario_label=clustered,EAQ_CBB,collision_slots,10417.520000,642.977711,11615.900000,178.224329,50
scenario_label=clustered,EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,EAQ_CBB,total_energy_uj,13171080.846125,271834.214712,13692841.337506,75348.600100,50
scenario_label=clustered,EAQ_CBB,total_listening_energy_uj,13166824.826195,271744.766140,13688404.013331,75323.806221,50
scenario_label=clustered,EAQ_CBB,total_transmission_energy_uj,4256.019930,90.096486,4426.899375,24.973472,50
scenario_label=clustered,EAQ_CBB,total_bits,3189383.820000,110241.343608,3397077.450000,30557.341440,50
scenario_label=clustered,EAQ_CBB,avg_tag_bits,141.516514,8.722162,157.817035,2.417660,50
scenario_label=clustered,EAQ_CBB,avg_reader_bits,177.421868,2.359329,181.890710,0.653973,50
scenario_label=clustered,EAQ_CBB,avg_total_bits,318.938382,11.024134,339.707745,3.055734,50
scenario_label=clustered,EAQ_CBB,avg_query_efficiency,0.963548,0.060159,1.075268,0.016675,50
scenario_label=clustered,EAQ_CBB,peak_stack_depth,2456.260000,6.255805,2465.550000,1.734021,50
scenario_label=clustered,EAQ_CBB,avg_tag_responses,4.351308,0.186979,4.693650,0.051828,50
scenario_label=clustered,EMDT,total_protocol_time_ms,13668.018100,111.290474,13848.311375,30.848146,50
scenario_label=clustered,EMDT,throughput_tags_per_sec,731.682390,5.943285,741.322219,1.647395,50
scenario_label=clustered,EMDT,system_efficiency,0.502911,0.006408,0.514130,0.001776,50
scenario_label=clustered,EMDT,collision_slots,5934.780000,114.480243,6120.350000,31.732305,50
scenario_label=clustered,EMDT,idle_slots,3952.620000,156.653770,4217.100000,43.422210,50
scenario_label=clustered,EMDT,total_energy_uj,6831971.983060,61799.258010,6930991.914725,17129.880369,50
scenario_label=clustered,EMDT,total_listening_energy_uj,6830745.142900,61800.354573,6929763.243725,17130.184321,50
scenario_label=clustered,EMDT,total_transmission_energy_uj,1226.840160,6.290830,1235.452600,1.743729,50
scenario_label=clustered,EMDT,total_bits,1721497.440000,5650.200806,1729720.800000,1566.155760,50
scenario_label=clustered,EMDT,avg_tag_bits,147.743648,0.369571,148.241040,0.102440,50
scenario_label=clustered,EMDT,avg_reader_bits,24.406096,0.244223,24.739000,0.067695,50
scenario_label=clustered,EMDT,avg_total_bits,172.149744,0.565020,172.972080,0.156616,50
scenario_label=clustered,EMDT,avg_query_efficiency,1.685593,0.032336,1.738824,0.008963,50
scenario_label=clustered,EMDT,peak_stack_depth,46.960000,1.354659,49.000000,0.375492,50
scenario_label=clustered,EMDT,avg_tag_responses,5.312268,0.020616,5.345270,0.005715,50
scenario_label=clustered,HT_EEAC,total_protocol_time_ms,79557.504600,1699.944407,81874.704375,471.200550,50
scenario_label=clustered,HT_EEAC,throughput_tags_per_sec,125.751716,2.697548,130.255232,0.747722,50
scenario_label=clustered,HT_EEAC,system_efficiency,0.061628,0.001417,0.063978,0.000393,50
scenario_label=clustered,HT_EEAC,collision_slots,146372.980000,3716.049699,151581.750000,1030.036425,50
scenario_label=clustered,HT_EEAC,idle_slots,5975.900000,163.918876,6260.100000,45.435994,50
scenario_label=clustered,HT_EEAC,total_energy_uj,46849423.673491,1118008.207577,48484522.625535,309896.064520,50
scenario_label=clustered,HT_EEAC,total_listening_energy_uj,46840549.338931,1117818.935427,48475405.007135,309843.600957,50
scenario_label=clustered,HT_EEAC,total_transmission_energy_uj,8874.334560,193.232499,9136.610600,53.561316,50
scenario_label=clustered,HT_EEAC,total_bits,7033643.040000,141187.591223,7227286.300000,39135.203644,50
scenario_label=clustered,HT_EEAC,avg_tag_bits,346.196768,5.945680,354.530800,1.648058,50
scenario_label=clustered,HT_EEAC,avg_reader_bits,357.167536,8.176429,368.238420,2.266390,50
scenario_label=clustered,HT_EEAC,avg_total_bits,703.364304,14.118759,722.728630,3.913520,50
scenario_label=clustered,HT_EEAC,avg_query_efficiency,0.068362,0.001743,0.071346,0.000483,50
scenario_label=clustered,HT_EEAC,avg_tag_responses,252.632024,12.116120,271.546515,3.358417,50
scenario_label=clustered,LAPCT,total_protocol_time_ms,29657.235250,10.805566,29677.467187,2.995150,50
scenario_label=clustered,LAPCT,throughput_tags_per_sec,337.185891,0.122849,337.340296,0.034052,50
scenario_label=clustered,LAPCT,system_efficiency,0.497975,0.000240,0.498380,0.000066,50
scenario_label=clustered,LAPCT,collision_slots,10075.240000,10.041872,10087.000000,2.783465,50
scenario_label=clustered,LAPCT,idle_slots,6.080000,1.988128,8.000000,0.551081,50
scenario_label=clustered,LAPCT,total_energy_uj,14844307.773355,7455.585944,14857494.733950,2066.582988,50
scenario_label=clustered,LAPCT,total_listening_energy_uj,14837915.920615,7373.374918,14850987.926550,2043.795255,50
scenario_label=clustered,LAPCT,total_transmission_energy_uj,6391.852740,106.064688,6581.075825,29.399632,50
scenario_label=clustered,LAPCT,total_bits,6407986.980000,209490.979775,6780946.300000,58067.937019,50
scenario_label=clustered,LAPCT,avg_tag_bits,428.274748,20.861347,465.387785,5.782470,50
scenario_label=clustered,LAPCT,avg_reader_bits,212.523950,0.098850,212.703245,0.027400,50
scenario_label=clustered,LAPCT,avg_total_bits,640.798698,20.949098,678.094630,5.806794,50
scenario_label=clustered,LAPCT,avg_query_efficiency,0.992533,0.000989,0.994243,0.000274,50
scenario_label=clustered,LAPCT,peak_stack_depth,17.700000,0.974156,19.000000,0.270022,50
scenario_label=clustered,LAPCT,avg_tag_responses,11.887672,0.332877,12.490620,0.092269,50
scenario_label=clustered,NLHQT(n=2),total_protocol_time_ms,25171.530200,156.291276,25358.422250,43.321732,50
scenario_label=clustered,NLHQT(n=2),throughput_tags_per_sec,397.289350,2.486726,402.906812,0.689285,50
scenario_label=clustered,NLHQT(n=2),system_efficiency,0.348793,0.000951,0.350182,0.000264,50
scenario_label=clustered,NLHQT(n=2),collision_slots,18670.540000,78.230223,18800.550000,21.684311,50
scenario_label=clustered,NLHQT(n=2),idle_slots,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,NLHQT(n=2),total_energy_uj,12618562.318720,82810.474055,12715793.378737,22953.892321,50
scenario_label=clustered,NLHQT(n=2),total_listening_energy_uj,12613793.888680,82780.695245,12710994.064938,22945.638056,50
scenario_label=clustered,NLHQT(n=2),total_transmission_energy_uj,4768.430040,31.517170,4801.195800,8.736114,50
scenario_label=clustered,NLHQT(n=2),total_bits,4403508.960000,26432.444421,4426659.600000,7326.699792,50
scenario_label=clustered,NLHQT(n=2),avg_tag_bits,269.239192,1.461492,270.144750,0.405105,50
scenario_label=clustered,NLHQT(n=2),avg_reader_bits,171.111704,1.231334,172.524400,0.341308,50
scenario_label=clustered,NLHQT(n=2),avg_total_bits,440.350896,2.643244,442.665960,0.732670,50
scenario_label=clustered,NLHQT(n=2),avg_query_efficiency,0.535612,0.002243,0.538892,0.000622,50
scenario_label=clustered,NLHQT(n=2),peak_stack_depth,20.220000,0.932191,22.000000,0.258390,50
scenario_label=clustered,NLHQT(n=2),avg_tag_responses,39.839598,0.364359,40.072375,0.100995,50
scenario_label=clustered,SGCT,total_protocol_time_ms,10157.559700,82.096893,10276.389812,22.756098,50
scenario_label=clustered,SGCT,throughput_tags_per_sec,984.551545,7.968673,997.198478,2.208803,50
