scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
scenario_label=clustered,SGCT,DRCT,total_protocol_time_ms,10165.914800,23173.647575,13007.732775,56.131572,522.846331,0.000000,73.941637,1.000000,50
scenario_label=clustered,SGCT,LAPCT,total_protocol_time_ms,10165.914800,29656.486550,19490.571750,65.721109,1679.706431,0.000000,237.546362,1.000000,50
scenario_label=clustered,SGCT,DQTA(k_max=3),total_protocol_time_ms,10165.914800,16121.067350,5955.152550,36.940188,389.396194,0.000000,55.068938,1.000000,50
scenario_label=clustered,SGCT,EMDT,total_protocol_time_ms,10165.914800,13682.181950,3516.267150,25.699608,176.619721,0.000000,24.977800,1.000000,50
scenario_label=clustered,SGCT,NLHQT(n=2),total_protocol_time_ms,10165.914800,25175.944550,15010.029750,59.620523,593.402488,0.000000,83.919785,1.000000,50
scenario_label=dispersed,SGCT,DRCT,total_protocol_time_ms,6635.127750,61202.827025,54567.699275,89.158789,24.269601,0.000000,3.432240,1.000000,50
scenario_label=dispersed,SGCT,LAPCT,total_protocol_time_ms,6635.127750,30340.493075,23705.365325,78.131114,349.709329,0.000000,49.456368,1.000000,50
scenario_label=dispersed,SGCT,DQTA(k_max=3),total_protocol_time_ms,6635.127750,24299.357425,17664.229675,72.694225,34.336028,0.000000,4.855848,1.000000,50
scenario_label=dispersed,SGCT,EMDT,total_protocol_time_ms,6635.127750,13697.131850,7062.004100,51.558269,125.764070,0.000000,17.785725,1.000000,50
scenario_label=dispersed,SGCT,NLHQT(n=2),total_protocol_time_ms,6635.127750,9181.665975,2546.538225,27.735034,45.763971,0.000000,6.472003,1.000000,50
scenario_label=prefix64,SGCT,DRCT,total_protocol_time_ms,8757.723700,23137.876925,14380.153225,62.149839,591.892843,0.000000,83.706289,1.000000,50
scenario_label=prefix64,SGCT,LAPCT,total_protocol_time_ms,8757.723700,29867.738950,21110.015250,70.678317,1948.075851,0.000000,275.499529,1.000000,50
scenario_label=prefix64,SGCT,DQTA(k_max=3),total_protocol_time_ms,8757.723700,16072.707475,7314.983775,45.511833,437.507889,0.000000,61.872959,1.000000,50
scenario_label=prefix64,SGCT,EMDT,total_protocol_time_ms,8757.723700,13708.209300,4950.485600,36.113292,292.763307,0.000000,41.402984,1.000000,50
scenario_label=prefix64,SGCT,NLHQT(n=2),total_protocol_time_ms,8757.723700,11551.703250,2793.979550,24.186732,225.703618,0.000000,31.919312,1.000000,50
scenario_label=prefix72,SGCT,DRCT,total_protocol_time_ms,8022.051225,24050.329300,16028.278075,66.644734,772.384832,0.000000,109.231711,1.000000,50
scenario_label=prefix72,SGCT,LAPCT,total_protocol_time_ms,8022.051225,30362.040275,22339.989050,73.578682,2834.341448,0.000000,400.836412,1.000000,50
scenario_label=prefix72,SGCT,DQTA(k_max=3),total_protocol_time_ms,8022.051225,16062.014600,8039.963375,50.055759,572.603451,0.000000,80.978357,1.000000,50
