TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,prefix_length,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment13_sgct_signature_grouping,1964360595,108010972,16058660.000000,900067.000000,5370806.000000,34775,8078533.776625,4485.537000,8083019.313625,10000,10000,10895,9253,,,,,,,,,,,,,,,,,,,,5.907000,,622.716964,DQTA(k_max=3),0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.000000,64.000000,30148,0.331697,537.080600,90.006700,6270873.000000,627.087300,1.080731,16058.660000,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2600342273,2293032132,24466616.250000,1664468.000000,6165404.000000,33090,12238627.265875,6411.638000,12245038.903875,10000,10000,255,15223,,,,,,,,,,,,,,,,,,,,10.649200,,408.720188,DQTA(k_max=3),0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25478,0.392495,616.540400,166.446800,7829872.000000,782.987200,0.656901,24466.616250,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2911142794,2309184964,16093497.500000,932036.000000,2494253.000000,34848,8080830.426625,3111.198500,8083941.625125,10000,10000,10923,9283,,,,,,,,,,,,,,,,,,,,5.168600,,621.368972,DQTA(k_max=3),0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.000000,,,,,,,,30206,0.331060,249.425300,93.203600,3426289.000000,342.628900,1.077238,16093.497500,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2938350462,1638089886,15933717.500000,996746.000000,1665000.000000,34796,7934078.905625,2825.992000,7936904.897625,10000,10000,10997,9199,,,,,,,,,,,,,,,,,,,,5.153500,,627.599931,DQTA(k_max=3),0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.000000,,,,,,,,30196,0.331170,166.500000,99.674600,2661746.000000,266.174600,1.087075,15933.717500,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2642941516,1919597066,14751001.250000,992392.000000,848245.000000,31245,7353752.049250,2408.906500,7356160.955750,10000,10000,8388,8571,,,,,,,,,,,,,,,,,,,,5.066900,,677.920084,DQTA(k_max=3),0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.000000,,,,,,,,26959,0.370934,84.824500,99.239200,1840637.000000,184.063700,1.166725,14751.001250,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment13_sgct_signature_grouping,1222871435,251273208,16158913.750000,783824.000000,4144690.000000,34583,8080283.275125,3639.993000,8083923.268125,10000,10000,10646,9291,,,,,,,,,,,,,,,,,,,,5.162000,,618.853480,DQTA(k_max=3),0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.000000,,,,,,,,29937,0.334035,414.469000,78.382400,4928514.000000,492.851400,1.076310,16158.913750,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2126984381,2493876474,16392622.500000,337771.000000,9103338.000000,34930,8207805.272250,5227.211000,8213032.483250,10000,10000,10990,9293,,,,,,,,,,,,,,,,,,,,5.163900,,610.030518,DQTA(k_max=3),0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30283,0.330218,910.333800,33.777100,9441109.000000,944.110900,1.076079,16392.622500,,,,,,
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment13_sgct_signature_grouping,156444876,864439402,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment13_sgct_signature_grouping,1964360595,3337965524,13639170.000000,248006.000000,1482656.000000,19662,6861662.717000,1237.340000,6862900.057000,10000,10000,3756,5906,,,,,,,,,,,,,,,,,,,,5.320800,,733.182444,EMDT,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.000000,64.000000,19662,0.508595,148.265600,24.800600,1730662.000000,173.066200,1.693193,13639.170000,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment13_sgct_signature_grouping,2600342273,2401892964,13765397.500000,243606.000000,1474560.000000,20137,6877068.848750,1224.492000,6878293.340750,10000,10000,4114,6023,,,,,,,,,,,,,,,,,,,,5.328400,,726.459225,EMDT,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20137,0.496598,147.456000,24.360600,1718166.000000,171.816600,1.660302,13765.397500,,,,,,
