scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
scenario_label=clustered,DQTA(k_max=3),total_protocol_time_ms,16121.067350,75.467479,16245.702875,20.918518,50
scenario_label=clustered,DQTA(k_max=3),throughput_tags_per_sec,620.319634,2.901582,625.225553,0.804277,50
scenario_label=clustered,DQTA(k_max=3),system_efficiency,0.330246,0.002005,0.333609,0.000556,50
scenario_label=clustered,DQTA(k_max=3),collision_slots,9290.880000,49.818298,9374.700000,13.808928,50
scenario_label=clustered,DQTA(k_max=3),idle_slots,10990.680000,164.922795,11219.550000,45.714266,50
scenario_label=clustered,DQTA(k_max=3),total_energy_uj,8075636.988888,44901.284226,8161195.685800,12446.001004,50
scenario_label=clustered,DQTA(k_max=3),energy_per_tag_uj,807.548633,4.535382,816.137392,1.269907,49
scenario_label=clustered,DQTA(k_max=3),total_reader_tx_energy_uj,1808.845306,10.087775,1825.753200,2.824577,49
scenario_label=clustered,DQTA(k_max=3),total_tag_tx_energy_uj,2615.194020,192.972577,3038.273000,54.032321,49
scenario_label=clustered,DQTA(k_max=3),total_listening_energy_uj,8071211.719607,44944.539872,8156786.444175,12457.990857,50
scenario_label=clustered,DQTA(k_max=3),total_transmission_energy_uj,4425.269280,187.895370,4827.599625,52.081939,50
scenario_label=clustered,DQTA(k_max=3),total_bits,6137531.940000,380735.956038,6970940.250000,105534.622731,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_bits,523.319640,38.250246,607.618725,10.602427,50
scenario_label=clustered,DQTA(k_max=3),avg_reader_bits,90.433554,0.503001,91.281505,0.139425,50
scenario_label=clustered,DQTA(k_max=3),avg_total_bits,613.753194,38.073596,697.094025,10.553462,50
scenario_label=clustered,DQTA(k_max=3),avg_query_efficiency,1.076355,0.005768,1.086154,0.001599,50
scenario_label=clustered,DQTA(k_max=3),peak_stack_depth,25.240000,0.916070,27.000000,0.253922,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_responses,5.831148,0.211027,6.284280,0.058494,50
scenario_label=clustered,DRCT,total_protocol_time_ms,23173.647575,144.396177,23429.585312,40.024578,50
scenario_label=clustered,DRCT,throughput_tags_per_sec,431.541048,2.686506,436.000402,0.744662,50
scenario_label=clustered,DRCT,system_efficiency,0.335374,0.002174,0.339011,0.000603,50
scenario_label=clustered,DRCT,collision_slots,14908.360000,96.752105,15075.500000,26.818315,50
scenario_label=clustered,DRCT,idle_slots,4910.360000,96.752105,5077.500000,26.818315,50
scenario_label=clustered,DRCT,total_energy_uj,11632071.609485,79995.063824,11755381.628094,22173.500420,50
scenario_label=clustered,DRCT,energy_per_tag_uj,1163.207161,7.999506,1175.538163,2.217350,50
scenario_label=clustered,DRCT,total_reader_tx_energy_uj,3058.630120,20.601254,3094.865000,5.710376,50
scenario_label=clustered,DRCT,total_tag_tx_energy_uj,1624.135850,0.566481,1625.026300,0.157020,50
scenario_label=clustered,DRCT,total_listening_energy_uj,11627388.843515,79976.012441,11750674.212544,22168.219646,50
scenario_label=clustered,DRCT,total_transmission_energy_uj,4682.765970,20.999417,4720.182900,5.820741,50
scenario_label=clustered,DRCT,total_bits,4777586.760000,11118.879276,4798068.300000,3081.996095,50
scenario_label=clustered,DRCT,avg_tag_bits,324.827170,0.113296,325.005260,0.031404,50
scenario_label=clustered,DRCT,avg_reader_bits,152.931506,1.030063,154.743250,0.285519,50
scenario_label=clustered,DRCT,avg_total_bits,477.758676,1.111888,479.806830,0.308200,50
scenario_label=clustered,DRCT,avg_query_efficiency,0.670792,0.004349,0.678067,0.001206,50
scenario_label=clustered,DRCT,peak_stack_depth,13.300000,0.677631,14.000000,0.187830,50
scenario_label=clustered,DRCT,avg_tag_responses,75.621940,0.021272,75.653430,0.005896,50
scenario_label=clustered,EMDT,total_protocol_time_ms,13682.181950,104.314361,13831.932250,28.914466,50
scenario_label=clustered,EMDT,throughput_tags_per_sec,730.919134,5.562092,738.915073,1.541733,50
scenario_label=clustered,EMDT,system_efficiency,0.501812,0.005964,0.512174,0.001653,50
scenario_label=clustered,EMDT,collision_slots,5945.660000,108.028078,6091.300000,29.943856,50
scenario_label=clustered,EMDT,idle_slots,3984.880000,139.211869,4177.450000,38.587561,50
scenario_label=clustered,EMDT,total_energy_uj,6846575.676100,60469.298669,6946504.660525,16761.234448,50
scenario_label=clustered,EMDT,energy_per_tag_uj,684.624253,6.104956,694.728884,1.709388,49
scenario_label=clustered,EMDT,total_reader_tx_energy_uj,488.557143,5.106583,496.724800,1.429843,49
scenario_label=clustered,EMDT,total_tag_tx_energy_uj,738.634939,1.922302,742.027200,0.538245,49
