scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
scenario_label=clustered,SGCT,DRCT,total_protocol_time_ms,10154.045175,23147.783550,12993.738375,56.133834,1373.640582,0.000000,194.262114,1.000000,50
scenario_label=clustered,SGCT,LAPCT,total_protocol_time_ms,10154.045175,29656.984550,19502.939375,65.761707,1739.806756,0.000000,246.045831,1.000000,50
scenario_label=clustered,SGCT,DQTA(k_max=3),total_protocol_time_ms,10154.045175,16111.853975,5957.808800,36.977798,597.321446,0.000000,84.474009,1.000000,50
scenario_label=clustered,SGCT,EMDT,total_protocol_time_ms,10154.045175,13697.723450,3543.678275,25.870564,146.944261,0.000000,20.781057,1.000000,50
scenario_label=clustered,SGCT,NLHQT(n=2),total_protocol_time_ms,10154.045175,25142.391825,14988.346650,59.613846,658.625893,0.000000,93.143767,1.000000,50
scenario_label=clustered,SGCT,EAQ_CBB,total_protocol_time_ms,10154.045175,26380.018775,16225.973600,61.508575,194.925814,0.000000,27.566673,1.000000,50
scenario_label=clustered,SGCT,HT_EEAC,total_protocol_time_ms,10154.045175,79259.761950,69105.716775,87.188903,304.959566,0.000000,43.127795,1.000000,50
scenario_label=prefix80,SGCT,DRCT,total_protocol_time_ms,5490.737500,21805.384550,16314.647050,74.819350,1364.222792,0.000000,192.930237,1.000000,50
scenario_label=prefix80,SGCT,LAPCT,total_protocol_time_ms,5490.737500,30839.168325,25348.430825,82.195572,190706.093792,0.000000,26969.914427,1.000000,50
scenario_label=prefix80,SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14767.705825,9276.968325,62.819293,853.907512,0.000000,120.760759,1.000000,50
scenario_label=prefix80,SGCT,EMDT,total_protocol_time_ms,5490.737500,13672.039200,8181.301700,59.839659,492.654245,0.000000,69.671832,1.000000,50
scenario_label=prefix80,SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9180.090700,3689.353200,40.188636,1598.123692,0.000000,226.008820,1.000000,50
scenario_label=prefix80,SGCT,EAQ_CBB,total_protocol_time_ms,5490.737500,28631.850575,23141.113075,80.822974,1994.771410,0.000000,282.103278,1.000000,50
scenario_label=prefix80,SGCT,HT_EEAC,total_protocol_time_ms,5490.737500,79518.633600,74027.896100,93.095030,360.748554,0.000000,51.017550,1.000000,50
scenario_label=prefixed,SGCT,DRCT,total_protocol_time_ms,9381.621300,21208.514025,11826.892725,55.764834,765.929213,0.000000,108.318748,1.000000,50
scenario_label=prefixed,SGCT,LAPCT,total_protocol_time_ms,9381.621300,28878.374325,19496.753025,67.513333,1897.921093,0.000000,268.406575,1.000000,50
scenario_label=prefixed,SGCT,DQTA(k_max=3),total_protocol_time_ms,9381.621300,16154.804925,6773.183625,41.926744,591.281711,0.000000,83.619861,1.000000,50
scenario_label=prefixed,SGCT,EMDT,total_protocol_time_ms,9381.621300,13683.238400,4301.617100,31.437127,286.415582,0.000000,40.505280,1.000000,50
scenario_label=prefixed,SGCT,NLHQT(n=2),total_protocol_time_ms,9381.621300,13278.293350,3896.672050,29.346181,509.910021,0.000000,72.112167,1.000000,50
scenario_label=prefixed,SGCT,EAQ_CBB,total_protocol_time_ms,9381.621300,26122.298975,16740.677675,64.085775,1066.676624,0.000000,150.850855,1.000000,50
scenario_label=prefixed,SGCT,HT_EEAC,total_protocol_time_ms,9381.621300,78778.701900,69397.080600,88.091170,321.389953,0.000000,45.451403,1.000000,50
scenario_label=random,SGCT,DRCT,total_protocol_time_ms,11246.321750,15228.389300,3982.067550,26.148974,566.899288,0.000000,80.171666,1.000000,50
scenario_label=random,SGCT,LAPCT,total_protocol_time_ms,11246.321750,25910.396550,14664.074800,56.595331,2456.192705,0.000000,347.358103,1.000000,50
scenario_label=random,SGCT,DQTA(k_max=3),total_protocol_time_ms,11246.321750,16385.612900,5139.291150,31.364656,581.222143,0.000000,82.197224,1.000000,50
scenario_label=random,SGCT,EMDT,total_protocol_time_ms,11246.321750,13669.773400,2423.451650,17.728543,150.258239,0.000000,21.249724,1.000000,50
scenario_label=random,SGCT,NLHQT(n=2),total_protocol_time_ms,11246.321750,18441.662700,7195.340950,39.016769,1222.167552,0.000000,172.840593,1.000000,50
scenario_label=random,SGCT,EAQ_CBB,total_protocol_time_ms,11246.321750,22371.282200,11124.960450,49.728756,1382.293115,0.000000,195.485767,1.000000,50
scenario_label=random,SGCT,HT_EEAC,total_protocol_time_ms,11246.321750,79463.470200,68217.148450,85.847180,338.382596,0.000000,47.854526,1.000000,50
