TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,3623283272,3074786204,16377067.500000,337620.000000,9108442.000000,34886,8195648.540750,5229.461000,8200878.001750,10000,10000,10967,9279,,,,,,,,,,,,,,,,,,,,5.167400,,610.609928,DQTA(k_max=3),0,28.000000,,,,,,,,,,,,30246,0.330622,910.844200,33.762000,9446062.000000,944.606200,1.077702,16377.067500,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,116656660,1078994478,16126221.250000,781099.000000,4144930.000000,34768,8082725.692125,3634.663000,8086360.355125,10000,10000,10882,9257,,,,,,,,,,,,,,,,,,,,5.163200,,620.108074,DQTA(k_max=3),0,28.000000,,,,,,,,,48.000000,,,30139,0.331796,414.493000,78.109900,4926029.000000,492.602900,1.080264,16126.221250,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,1741802094,3126026649,14880496.250000,1001398.000000,847932.000000,31542,7441093.821000,2426.762000,7443520.583000,10000,10000,8571,8647,,,,,,,,,,,,,,,,,,,,5.070300,,672.020599,DQTA(k_max=3),0,28.000000,,,,,,,,,80.000000,,,27218,0.367404,84.793200,100.139800,1849330.000000,184.933000,1.156470,14880.496250,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,2095316255,1667073450,16030310.000000,898475.000000,4681052.000000,34714,8041433.803875,4137.476000,8045571.279875,10000,10000,10864,9233,,,,,,,,,,,,,,,,,,,,5.535500,,623.818254,DQTA(k_max=3),0,26.000000,,,,,,,,,,8.000000,64.000000,30097,0.332259,468.105200,89.847500,5579527.000000,557.952700,1.083072,16030.310000,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,3864099846,370633025,16439625.000000,339624.000000,9110641.000000,35034,8218866.945250,5234.568500,8224101.513750,10000,10000,11031,9335,,,,,,,,,,,,,,,,,,,,5.168800,,608.286381,DQTA(k_max=3),1,28.000000,,,,,,,,,,,,30366,0.329316,911.064100,33.962400,9450265.000000,945.026500,1.071237,16439.625000,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,889203247,1395092911,16088715.000000,778706.000000,4142935.000000,34774,8029374.211500,3628.879500,8033003.091000,10000,10000,10933,9227,,,,,,,,,,,,,,,,,,,,5.160800,,621.553679,DQTA(k_max=3),1,27.000000,,,,,,,,,48.000000,,,30160,0.331565,414.293500,77.870600,4921641.000000,492.164100,1.083776,16088.715000,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,2669137359,3603532689,14728792.500000,989611.000000,848261.000000,31433,7382389.254375,2403.352500,7384792.606875,10000,10000,8609,8549,,,,,,,,,,,,,,,,,,,,5.062300,,678.942283,DQTA(k_max=3),1,27.000000,,,,,,,,,80.000000,,,27158,0.368216,84.826100,98.961100,1837872.000000,183.787200,1.169727,14728.792500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,1179273823,4045078596,16285232.500000,915131.000000,5399082.000000,35186,8193276.857375,4529.803000,8197806.660375,10000,10000,11084,9401,,,,,,,,,,,,,,,,,,,,5.923300,,614.053253,DQTA(k_max=3),1,26.000000,,,,,,,,,,8.000000,64.000000,30485,0.328030,539.908200,91.513100,6314213.000000,631.421300,1.063717,16285.232500,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,813036364,2762808897,16316158.750000,335231.000000,9096696.000000,34876,8144838.425375,5218.810000,8150057.235375,10000,10000,11050,9217,,,,,,,,,,,,,,,,,,,,5.160300,,612.889354,DQTA(k_max=3),2,27.000000,,,,,,,,,,,,30267,0.330393,909.669600,33.523100,9431927.000000,943.192700,1.084952,16316.158750,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,1822834370,3065675764,16142461.250000,782019.000000,4145883.000000,34797,8090879.037125,3636.979500,8094516.016625,10000,10000,10893,9269,,,,,,,,,,,,,,,,,,,,5.164200,,619.484219,DQTA(k_max=3),2,28.000000,,,,,,,,,48.000000,,,30162,0.331543,414.588300,78.201900,4927902.000000,492.790200,1.078865,16142.461250,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,2479815273,388673522,14803687.500000,995104.000000,848120.000000,31552,7392654.294875,2414.268000,7395068.562875,10000,10000,8659,8595,,,,,,,,,,,,,,,,,,,,5.066900,,675.507369,DQTA(k_max=3),2,28.000000,,,,,,,,,80.000000,,,27254,0.366919,84.812000,99.510400,1843224.000000,184.322400,1.163467,14803.687500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,2073761602,198571651,16018475.000000,897789.000000,5152217.000000,34688,8037724.709625,4371.686500,8042096.396125,10000,10000,10850,9225,,,,,,,,,,,,,,,,,,,,5.783600,,624.279153,DQTA(k_max=3),2,26.000000,,,,,,,,,,8.000000,64.000000,30075,0.332502,515.221700,89.778900,6050006.000000,605.000600,1.084011,16018.475000,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,57753915,1214507294,16423551.250000,339404.000000,9112444.000000,34818,8216785.232125,5235.030000,8222020.262125,10000,10000,10821,9331,,,,,,,,,,,,,,,,,,,,5.169600,,608.881712,DQTA(k_max=3),3,27.000000,,,,,,,,,,,,30152,0.331653,911.244400,33.940400,9451848.000000,945.184800,1.071696,16423.551250,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,2219440691,681029909,16213305.000000,785561.000000,4148126.000000,35124,8119779.336750,3645.185000,8123424.521750,10000,10000,11160,9309,,,,,,,,,,,,,,,,,,,,5.168200,,616.777394,DQTA(k_max=3),3,28.000000,,,,,,,,,48.000000,,,30469,0.328202,414.812600,78.556100,4933687.000000,493.368700,1.074229,16213.305000,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,1286928148,1678261244,14776702.500000,992939.000000,848014.000000,31546,7381696.460000,2409.885000,7384106.345000,10000,10000,8680,8577,,,,,,,,,,,,,,,,,,,,5.062600,,676.740971,DQTA(k_max=3),3,26.000000,,,,,,,,,80.000000,,,27257,0.366878,84.801400,99.293900,1840953.000000,184.095300,1.165909,14776.702500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,787561323,4289060111,16218538.750000,911233.000000,5142762.000000,34972,8107495.847250,4393.847000,8111889.694250,10000,10000,10930,9361,,,,,,,,,,,,,,,,,,,,5.791900,,616.578359,DQTA(k_max=3),3,25.000000,,,,,,,,,,8.000000,64.000000,30291,0.330131,514.276200,91.123300,6053995.000000,605.399500,1.068262,16218.538750,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,3819630184,27662079,16338600.000000,336531.000000,9102320.000000,34786,8181311.369625,5224.222000,8186535.591625,10000,10000,10918,9245,,,,,,,,,,,,,,,,,,,,5.163900,,612.047544,DQTA(k_max=3),4,28.000000,,,,,,,,,,,,30163,0.331532,910.232000,33.653100,9438851.000000,943.885100,1.081666,16338.600000,,,,,,,,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_extended_baseline_screen,889858016,1152305980,15988401.250000,772324.000000,4141097.000000,34713,7982547.712875,3615.196500,7986162.909375,10000,10000,10986,9151,,,,,,,,,,,,,,,,,,,,5.158500,,625.453405,DQTA(k_max=3),4,27.000000,,,,,,,,,48.000000,,,30137,0.331818,414.109700,77.232400,4913421.000000,491.342100,1.092777,15988.401250,,,,,,,,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_extended_baseline_screen,2696116183,1990190745,14627317.500000,982733.000000,847747.000000,31194,7327903.279500,2389.339500,7330292.619000,10000,10000,8460,8489,,,,,,,,,,,,,,,,,,,,5.056600,,683.652351,DQTA(k_max=3),4,27.000000,,,,,,,,,80.000000,,,26949,0.371071,84.774700,98.273300,1830480.000000,183.048000,1.177995,14627.317500,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_extended_baseline_screen,688500632,2070090144,16194085.000000,909710.000000,4907606.000000,34948,8078991.494250,4273.223000,8083264.717250,10000,10000,10933,9343,,,,,,,,,,,,,,,,,,,,5.670300,,617.509418,DQTA(k_max=3),4,25.000000,,,,,,,,,,8.000000,64.000000,30276,0.330295,490.760600,90.971000,5817316.000000,581.731600,1.070320,16194.085000,,,,,,,,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_extended_baseline_screen,2608777085,3123768421,16371852.500000,337195.000000,9094787.000000,34839,8183496.019500,5221.783500,8188717.803000,10000,10000,10923,9277,,,,,,,,,,,,,,,,,,,,5.158600,,610.804428,DQTA(k_max=3),5,27.000000,,,,,,,,,,,,30200,0.331126,909.478700,33.719500,9431982.000000,943.198200,1.077935,16371.852500,,,,,,,,,,,,,
