scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
scenario_label=clustered,DQTA(k_max=3),total_protocol_time_ms,16111.853975,87.793597,16268.248937,24.335143,50
scenario_label=clustered,DQTA(k_max=3),throughput_tags_per_sec,620.679075,3.377998,625.572582,0.936333,50
scenario_label=clustered,DQTA(k_max=3),system_efficiency,0.330777,0.002041,0.333803,0.000566,50
scenario_label=clustered,DQTA(k_max=3),collision_slots,9286.280000,57.897531,9390.200000,16.048377,50
scenario_label=clustered,DQTA(k_max=3),idle_slots,10946.660000,155.137412,11189.750000,43.001897,50
scenario_label=clustered,DQTA(k_max=3),total_energy_uj,8075588.262335,56389.972272,8165869.598119,15630.502860,50
scenario_label=clustered,DQTA(k_max=3),total_listening_energy_uj,8071158.686555,56382.990605,8161422.846469,15628.567640,50
scenario_label=clustered,DQTA(k_max=3),total_transmission_energy_uj,4429.575780,215.863702,4851.725425,59.834366,50
scenario_label=clustered,DQTA(k_max=3),total_bits,6147608.880000,431783.690182,6983846.900000,119684.332731,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_bits,524.376132,43.195600,607.751675,11.973209,50
scenario_label=clustered,DQTA(k_max=3),avg_reader_bits,90.384756,0.575821,91.412210,0.159609,50
scenario_label=clustered,DQTA(k_max=3),avg_total_bits,614.760888,43.178369,698.384690,11.968433,50
scenario_label=clustered,DQTA(k_max=3),avg_query_efficiency,1.076898,0.006704,1.086697,0.001858,50
scenario_label=clustered,DQTA(k_max=3),peak_stack_depth,25.500000,1.073807,27.000000,0.297644,50
scenario_label=clustered,DQTA(k_max=3),avg_tag_responses,5.837700,0.236086,6.291410,0.065440,50
scenario_label=clustered,DRCT,total_protocol_time_ms,23147.783550,121.361382,23358.381187,33.639659,50
scenario_label=clustered,DRCT,throughput_tags_per_sec,432.018433,2.263254,435.561698,0.627342,50
scenario_label=clustered,DRCT,system_efficiency,0.335781,0.001887,0.338713,0.000523,50
scenario_label=clustered,DRCT,collision_slots,14890.140000,83.712338,15037.500000,23.203876,50
scenario_label=clustered,DRCT,idle_slots,4892.140000,83.712338,5039.500000,23.203876,50
scenario_label=clustered,DRCT,total_energy_uj,11609011.221198,72197.383573,11716164.612506,20012.093727,50
scenario_label=clustered,DRCT,energy_per_tag_uj,1160.901122,7.219738,1171.616461,2.001209,50
scenario_label=clustered,DRCT,total_reader_tx_energy_uj,3055.110920,17.176465,3084.409600,4.761073,50
scenario_label=clustered,DRCT,total_tag_tx_energy_uj,1623.858810,0.612735,1625.013325,0.169841,50
scenario_label=clustered,DRCT,total_listening_energy_uj,11604332.251467,72184.346185,11711461.969406,20008.479948,50
scenario_label=clustered,DRCT,total_transmission_energy_uj,4678.969730,17.634302,4709.654850,4.887979,50
scenario_label=clustered,DRCT,total_bits,4775273.080000,9530.041966,4792716.900000,2641.592861,50
scenario_label=clustered,DRCT,avg_tag_bits,324.771762,0.122547,325.002665,0.033968,50
scenario_label=clustered,DRCT,avg_reader_bits,152.755546,0.858823,154.220480,0.238054,50
scenario_label=clustered,DRCT,avg_total_bits,477.527308,0.953004,479.271690,0.264159,50
scenario_label=clustered,DRCT,avg_query_efficiency,0.671606,0.003775,0.677473,0.001046,50
scenario_label=clustered,DRCT,peak_stack_depth,13.080000,0.665168,14.000000,0.184375,50
scenario_label=clustered,DRCT,avg_tag_responses,75.616992,0.019101,75.646090,0.005295,50
scenario_label=clustered,EAQ_CBB,total_protocol_time_ms,26380.018775,577.356358,27346.829125,160.035017,50
scenario_label=clustered,EAQ_CBB,throughput_tags_per_sec,379.251244,8.230939,393.364471,2.281500,50
scenario_label=clustered,EAQ_CBB,system_efficiency,0.489043,0.016119,0.516783,0.004468,50
scenario_label=clustered,EAQ_CBB,collision_slots,10470.120000,682.870103,11642.700000,189.281935,50
scenario_label=clustered,EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,EAQ_CBB,total_energy_uj,13193116.366895,285061.358624,13693328.301019,79014.977337,50
scenario_label=clustered,EAQ_CBB,total_listening_energy_uj,13188854.855995,284966.076044,13688889.885369,78988.566353,50
scenario_label=clustered,EAQ_CBB,total_transmission_energy_uj,4261.510900,95.626200,4421.484725,26.506230,50
scenario_label=clustered,EAQ_CBB,total_bits,3193802.000000,114319.027295,3389379.250000,31687.617692,50
scenario_label=clustered,EAQ_CBB,avg_tag_bits,141.739540,8.903945,157.151585,2.468048,50
scenario_label=clustered,EAQ_CBB,avg_reader_bits,177.640660,2.595861,181.793660,0.719536,50
scenario_label=clustered,EAQ_CBB,avg_total_bits,319.380200,11.431903,338.937925,3.168762,50
scenario_label=clustered,EAQ_CBB,avg_query_efficiency,0.959011,0.061461,1.069469,0.017036,50
scenario_label=clustered,EAQ_CBB,peak_stack_depth,2458.060000,5.884639,2468.100000,1.631139,50
scenario_label=clustered,EAQ_CBB,avg_tag_responses,4.357644,0.190827,4.672060,0.052895,50
scenario_label=clustered,EMDT,total_protocol_time_ms,13697.723450,133.069493,13917.978000,36.884982,50
scenario_label=clustered,EMDT,throughput_tags_per_sec,730.115850,7.093702,741.350068,1.966274,50
scenario_label=clustered,EMDT,system_efficiency,0.500979,0.007514,0.513521,0.002083,50
scenario_label=clustered,EMDT,collision_slots,5964.260000,135.108998,6171.650000,37.450303,50
scenario_label=clustered,EMDT,idle_slots,4001.040000,175.444853,4250.950000,48.630832,50
scenario_label=clustered,EMDT,total_energy_uj,6851596.460480,76329.194743,6990496.781250,21157.373352,50
scenario_label=clustered,EMDT,total_listening_energy_uj,6850370.032640,76331.000637,6989272.407450,21157.873921,50
scenario_label=clustered,EMDT,total_transmission_energy_uj,1226.427840,5.925608,1236.855000,1.642495,50
scenario_label=clustered,EMDT,total_bits,1720781.040000,5670.286726,1730763.600000,1571.723292,50
scenario_label=clustered,EMDT,avg_tag_bits,147.675616,0.399869,148.359360,0.110838,50
scenario_label=clustered,EMDT,avg_reader_bits,24.402488,0.223255,24.803900,0.061883,50
scenario_label=clustered,EMDT,avg_total_bits,172.078104,0.567029,173.076360,0.157172,50
scenario_label=clustered,EMDT,avg_query_efficiency,1.677497,0.038015,1.741342,0.010537,50
scenario_label=clustered,EMDT,peak_stack_depth,46.620000,1.323107,49.000000,0.366747,50
scenario_label=clustered,EMDT,avg_tag_responses,5.317818,0.025051,5.356330,0.006944,50
scenario_label=clustered,HT_EEAC,total_protocol_time_ms,79259.761950,1614.102222,82179.206625,447.406310,50
scenario_label=clustered,HT_EEAC,throughput_tags_per_sec,126.218691,2.569842,130.167337,0.712324,50
scenario_label=clustered,HT_EEAC,system_efficiency,0.061878,0.001348,0.063940,0.000374,50
scenario_label=clustered,HT_EEAC,collision_slots,145761.260000,3543.131365,152146.300000,982.105908,50
scenario_label=clustered,HT_EEAC,idle_slots,5922.920000,122.625669,6095.250000,33.990101,50
scenario_label=clustered,HT_EEAC,total_energy_uj,46566437.067594,1005923.270467,48129882.988744,278827.705033,50
scenario_label=clustered,HT_EEAC,total_listening_energy_uj,46557596.873594,1005743.963062,48120702.074744,278778.003556,50
scenario_label=clustered,HT_EEAC,total_transmission_energy_uj,8840.194000,183.355727,9171.993000,50.823615,50
scenario_label=clustered,HT_EEAC,total_bits,7009232.120000,134183.262320,7251752.100000,37193.702726,50
scenario_label=clustered,HT_EEAC,avg_tag_bits,345.218016,5.669010,355.434080,1.571369,50
scenario_label=clustered,HT_EEAC,avg_reader_bits,355.705196,7.751237,369.741130,2.148533,50
scenario_label=clustered,HT_EEAC,avg_total_bits,700.923212,13.418326,725.175210,3.719370,50
scenario_label=clustered,HT_EEAC,avg_query_efficiency,0.068645,0.001669,0.071258,0.000463,50
scenario_label=clustered,HT_EEAC,avg_tag_responses,251.583636,12.700193,277.076365,3.520314,50
scenario_label=clustered,ICT,total_protocol_time_ms,28415.027250,1.488308,28417.546875,0.412538,50
scenario_label=clustered,ICT,throughput_tags_per_sec,351.926463,0.018433,351.957788,0.005109,50
scenario_label=clustered,ICT,system_efficiency,0.500025,0.000000,0.500025,0.000000,50
scenario_label=clustered,ICT,collision_slots,9999.000000,0.000000,9999.000000,0.000000,50
scenario_label=clustered,ICT,idle_slots,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,ICT,total_energy_uj,14222601.190730,909.409488,14224032.131269,252.075450,50
scenario_label=clustered,ICT,total_listening_energy_uj,14215385.770140,886.596368,14216722.190400,245.751975,50
scenario_label=clustered,ICT,total_transmission_energy_uj,7215.420590,88.624952,7395.697000,24.565583,50
scenario_label=clustered,ICT,total_bits,8663234.500000,177103.724066,9023636.900000,49090.647750,50
scenario_label=clustered,ICT,avg_tag_bits,674.069894,17.705561,710.105120,4.907731,50
scenario_label=clustered,ICT,avg_reader_bits,192.253556,0.023813,192.293870,0.006601,50
scenario_label=clustered,ICT,avg_total_bits,866.323450,17.710372,902.363690,4.909065,50
scenario_label=clustered,ICT,avg_query_efficiency,1.000100,0.000000,1.000100,0.000000,50
scenario_label=clustered,ICT,peak_stack_depth,14.920000,0.633745,16.000000,0.175665,50
scenario_label=clustered,ICT,avg_tag_responses,14.852906,0.193113,15.250460,0.053528,50
scenario_label=clustered,LAPCT,total_protocol_time_ms,29656.984550,12.641431,29677.383438,3.504026,50
scenario_label=clustered,LAPCT,throughput_tags_per_sec,337.188758,0.143672,337.344988,0.039824,50
scenario_label=clustered,LAPCT,system_efficiency,0.497966,0.000277,0.498449,0.000077,50
scenario_label=clustered,LAPCT,collision_slots,10075.480000,11.846363,10087.000000,3.283644,50
scenario_label=clustered,LAPCT,idle_slots,6.200000,1.818275,8.000000,0.504000,50
scenario_label=clustered,LAPCT,total_energy_uj,14843475.285875,7447.255575,14859126.589419,2064.273928,50
scenario_label=clustered,LAPCT,total_listening_energy_uj,14837085.664515,7353.084033,14852494.971844,2038.170908,50
scenario_label=clustered,LAPCT,total_transmission_energy_uj,6389.621360,113.043718,6567.742175,31.334120,50
scenario_label=clustered,LAPCT,total_bits,6403631.680000,222857.643479,6755476.900000,61772.987170,50
scenario_label=clustered,LAPCT,avg_tag_bits,427.842800,22.178242,462.880775,6.147495,50
scenario_label=clustered,LAPCT,avg_reader_bits,212.520368,0.114507,212.706270,0.031740,50
scenario_label=clustered,LAPCT,avg_total_bits,640.363168,22.285764,675.547690,6.177299,50
scenario_label=clustered,LAPCT,avg_query_efficiency,0.992510,0.001168,0.994441,0.000324,50
scenario_label=clustered,LAPCT,peak_stack_depth,17.600000,0.925820,19.000000,0.256624,50
scenario_label=clustered,LAPCT,avg_tag_responses,11.882906,0.370660,12.448575,0.102742,50
scenario_label=clustered,NLHQT(n=2),total_protocol_time_ms,25142.391825,159.258362,25324.307125,44.144166,50
scenario_label=clustered,NLHQT(n=2),throughput_tags_per_sec,397.750398,2.539599,403.244494,0.703941,50
scenario_label=clustered,NLHQT(n=2),system_efficiency,0.348963,0.001049,0.350644,0.000291,50
scenario_label=clustered,NLHQT(n=2),collision_slots,18656.580000,86.160526,18793.600000,23.882479,50
scenario_label=clustered,NLHQT(n=2),idle_slots,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,NLHQT(n=2),total_energy_uj,12596130.895178,77708.335445,12676593.075237,21539.651652,50
