BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,1.0838,0.7070,1.2033,1.6814,1.5481,2.5314,0.0685,1.0001,0.9959,0.3535,0.5571,3.6692,5.4797,10000.0000
40,1.0769,0.6928,1.2040,1.6766,1.5704,2.5081,0.0681,1.0001,0.9959,0.3463,0.5485,3.6651,5.2742,10000.0000
60,1.0772,0.6931,1.2040,1.6872,1.5741,2.5069,0.0682,1.0001,0.9959,0.3465,0.5487,3.6570,5.2736,10000.0000
80,1.0776,0.6927,1.2030,1.6856,1.5769,2.5084,0.0683,1.0001,0.9959,0.3463,0.5484,3.6598,5.2780,10000.0000
96,1.0765,0.6922,1.2027,1.6826,1.5751,2.5084,0.0683,1.0001,0.9959,0.3460,0.5484,3.6788,5.2345,10000.0000
100,1.0779,0.6932,1.2054,1.6854,1.5773,2.5090,0.0683,1.0001,0.9959,0.3465,0.5489,3.6722,5.2624,10000.0000
128,1.0771,0.6929,1.2025,1.6725,1.5768,2.5084,0.0686,1.0001,0.9959,0.3464,0.5486,3.6670,5.2806,10000.0000
160,1.0773,0.6924,1.2014,1.6820,1.5774,2.5055,0.0687,1.0001,0.9959,0.3462,0.5483,3.6700,5.2446,10000.0000
192,1.0784,0.6936,1.2018,1.6836,1.5771,2.5084,0.0683,1.0001,0.9959,0.3467,0.5488,3.6612,5.2631,10000.0000
256,1.0786,0.6935,1.2029,1.6843,1.5786,2.5100,0.0681,1.0001,0.9959,0.3467,0.5490,3.6664,5.3037,10000.0000
