BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,33.4961,56.8914,70.2264,24.4314,65.4472,38.0231,356.5991,70.2848,76.0294,87.8555,64.8841,15.7511,30.5947,0.3949
40,33.7804,58.2054,90.2069,24.3682,64.2671,38.2770,358.4255,70.3556,96.0645,89.1323,65.6530,15.7898,33.1633,0.3945
60,33.7685,58.1742,110.2069,24.4058,64.2301,38.2855,357.9201,70.3517,116.0625,89.1012,65.6354,15.8176,33.1678,0.4038
80,33.7582,58.2152,130.2335,24.4375,64.1996,38.2709,357.3489,70.3521,136.0628,89.1390,65.6602,15.8289,33.1590,0.3979
96,33.7991,58.2612,146.2436,24.3999,64.2323,38.2746,357.2955,70.3585,152.0664,89.1861,65.6635,15.7164,33.2469,0.3965
100,33.7497,58.1724,150.1713,24.4718,64.2364,38.2687,357.1933,70.3582,156.0662,89.1021,65.6282,15.7516,33.1886,0.3954
128,33.7760,58.1915,178.2472,24.3817,64.2487,38.2695,355.9826,70.3538,184.0635,89.1185,65.6477,15.7857,33.1526,0.3956
160,33.7741,58.2366,210.2702,24.3613,64.2342,38.3028,355.5458,70.3577,216.0662,89.1622,65.6698,15.7518,33.2259,0.3892
192,33.7320,58.1405,242.2648,24.4100,64.2212,38.2794,357.3838,70.3529,248.0630,89.0687,65.6240,15.8058,33.1882,0.3977
256,33.7256,58.1412,306.2414,24.4275,64.1835,38.2626,358.3474,70.3520,312.0621,89.0719,65.6057,15.7649,33.1048,0.3934
