BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,125.4380,64.2140,34.7522,71.7347,22.5868,67.9875,269.8159,191.1432,133.7158,55.5484,57.0010,66.6135,50.3604,47.9526
40,332.0045,86.2450,62.6020,91.6214,42.5584,88.3500,291.1737,483.4926,345.9717,95.6225,97.1257,100.9612,76.2787,95.3679
60,538.6305,108.0733,90.5056,111.7474,62.5594,108.5941,310.8084,775.8856,558.2586,135.6198,137.1229,135.3181,96.2849,143.9578
80,745.1046,129.9887,118.5409,131.7858,82.5585,128.7640,330.3492,1068.2473,770.5486,175.6210,177.1241,170.0204,116.2754,191.3610
96,910.6778,147.3815,140.8059,147.7172,98.5557,144.9859,346.3593,1302.1956,940.5678,207.6252,209.1265,196.8072,132.3099,229.7756
100,951.8944,151.8306,146.1802,151.8178,102.5549,149.0482,350.2212,1360.7197,983.0499,215.6230,217.1249,203.8860,136.2935,239.1958
128,1241.0722,182.2793,185.4243,179.5999,130.5570,177.3041,377.4156,1770.0033,1280.0601,271.6214,273.1246,252.3118,164.2794,305.6599
160,1571.7669,217.1901,230.2069,211.6599,162.5551,209.7717,409.0445,2237.9335,1620.2589,335.6242,337.1274,306.3658,196.3047,382.0598
192,1902.0645,252.1303,274.9031,243.7252,194.5578,242.1476,442.3651,2705.8720,1959.6281,399.6195,401.1227,362.1538,228.2888,461.6567
256,2562.8795,322.0036,364.0377,307.7590,258.5581,306.9155,507.1036,3641.2792,2638.3464,527.6192,529.1200,472.0803,292.2651,610.0188
