BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT
20,5.1580,14.5581,3.7888,5.3158,8.3968,6.4200,253.0815,14.6176,11.6142,16.5581,9.5293,10.8783,4.2687
40,5.1657,14.6225,3.7870,5.3179,8.3746,6.4293,254.6754,14.6204,11.6161,16.6225,9.5629,10.8781,4.2840
60,5.1655,14.6198,3.7882,5.3111,8.3703,6.4302,255.3440,14.6200,11.6153,16.6198,9.5614,10.8799,4.2841
80,5.1645,14.6210,3.7916,5.3126,8.3672,6.4290,253.9860,14.6194,11.6150,16.6210,9.5621,10.8904,4.2832
96,5.1664,14.6252,3.7905,5.3149,8.3694,6.4296,254.8844,14.6200,11.6172,16.6252,9.5632,10.8531,4.2871
100,5.1657,14.6230,3.7860,5.3126,8.3686,6.4296,253.5972,14.6205,11.6174,16.6230,9.5625,10.8696,4.2851
128,5.1652,14.6214,3.7900,5.3207,8.3679,6.4284,251.4916,14.6196,11.6150,16.6214,9.5623,10.8725,4.2835
160,5.1657,14.6242,3.7918,5.3137,8.3680,6.4307,251.4854,14.6204,11.6184,16.6242,9.5637,10.8795,4.2864
192,5.1648,14.6195,3.7921,5.3134,8.3678,6.4293,252.8537,14.6208,11.6162,16.6195,9.5613,10.8684,4.2846
256,5.1642,14.6192,3.7904,5.3144,8.3659,6.4292,255.5652,14.6195,11.6133,16.6192,9.5600,10.8787,4.2817
