BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,158.9341,121.1054,104.9786,96.1661,88.0340,106.0106,626.4150,261.4281,209.7451,143.4039,121.8851,82.3646,80.9550,48.3475
40,365.7849,144.4504,152.8089,115.9896,106.8255,126.6270,649.5992,553.8482,442.0362,184.7549,162.7787,116.7511,109.4420,95.7624
60,572.3991,166.2475,200.7125,136.1531,126.7895,146.8796,668.7286,846.2373,674.3210,224.7210,202.7583,151.1357,129.4527,144.3615
80,778.8628,188.2040,248.7744,156.2233,146.7581,167.0349,687.6982,1138.5994,906.6113,264.7600,242.7843,185.8493,149.4344,191.7589
96,944.4769,205.6426,287.0495,172.1172,162.7880,183.2605,703.6548,1372.5540,1092.6342,296.8114,274.7899,212.5236,165.5568,230.1721
100,985.6441,210.0030,296.3515,176.2896,166.7913,187.3170,707.4145,1431.0779,1139.1160,304.7251,282.7531,219.6376,169.4820,239.5912
128,1274.8483,240.4708,363.6714,203.9816,194.8058,215.5737,733.3982,1840.3572,1464.1236,360.7399,338.7723,268.0975,197.4320,306.0555
160,1605.5410,275.4267,440.4771,236.0212,226.7894,248.0745,764.5904,2308.2912,1836.3251,424.7864,402.7973,322.1176,229.5307,382.4491
192,1935.7965,310.2708,517.1679,268.1352,258.7789,280.4270,799.7488,2776.2248,2207.6911,488.6882,466.7467,377.9596,261.4771,462.0544
256,2596.6051,380.1448,670.2791,332.1865,322.7416,345.1781,865.4509,3711.6311,2950.4085,616.6912,594.7257,487.8452,325.3699,610.4123
