BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,9226.6800,14144.5400,8310.6000,5949.7800,6459.6000,3950.5400,146134.9200,9999.0000,10041.3600,28293.0800,17949.7800,2725.9400,1825.8400,0.0000
40,9285.9200,14435.0000,8306.2800,5965.9200,6368.0600,3987.3800,146983.5400,9999.0000,10041.4400,28874.0000,18232.7400,2728.9800,1896.8400,0.0000
60,9283.2000,14427.7400,8306.2400,5928.4800,6352.9400,3989.0600,146755.2800,9999.0000,10041.4800,28859.4800,18224.9800,2734.9600,1897.4800,0.0000
80,9279.8000,14437.5600,8312.8400,5934.1400,6341.7200,3986.8800,146468.2600,9999.0000,10041.4400,28879.1200,18235.1800,2732.7400,1895.7200,0.0000
96,9290.0400,14448.0200,8315.0000,5945.7800,6348.8400,3986.8200,146474.5400,9999.0000,10041.2800,28900.0400,18234.7800,2718.8000,1911.3600,0.0000
100,9277.1200,14426.4400,8296.2800,5935.5400,6339.9800,3985.8400,146388.2200,9999.0000,10041.3200,28856.8800,18219.4400,2723.6200,1901.1800,0.0000
128,9284.9200,14432.7000,8316.6000,5981.1800,6342.2000,3986.9000,145884.7200,9999.0000,10041.4800,28869.4000,18230.1800,2727.7600,1894.9400,0.0000
160,9282.9200,14442.1400,8324.3200,5948.0000,6339.7000,3991.2800,145652.8400,9999.0000,10041.2000,28888.2800,18239.3400,2725.4600,1907.7600,0.0000
192,9273.0400,14419.0200,8321.2800,5941.5400,6340.8200,3986.8200,146478.1600,9999.0000,10041.4800,28842.0400,18220.8200,2732.0200,1901.1000,0.0000
256,9271.4400,14420.6600,8314.0000,5939.5400,6334.6800,3984.3000,146939.7200,9999.0000,10041.6400,28845.3200,18216.7400,2728.1800,1886.5800,0.0000
