BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,10743.6200,4146.5400,0.0000,3972.5200,1853.8000,16232.2200,5955.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,11009.7400,4437.0000,0.0000,4006.3000,1621.9000,16697.6200,5937.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,10940.8000,4429.7400,0.0000,3949.0000,1627.0600,16695.5400,5935.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,10940.8400,4439.5600,0.0000,3954.6200,1629.5600,16709.3600,5963.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,11001.1600,4450.0200,0.0000,3973.4400,1629.7600,16678.3400,5932.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,10981.9600,4428.4400,0.0000,3945.8400,1639.4200,16712.3000,5972.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,10977.3000,4434.7000,0.0000,4022.8000,1641.9600,16656.7000,5925.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
160,10990.0400,4444.1400,0.0000,3987.5800,1639.1400,16789.2600,5958.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
192,10991.3200,4421.0200,0.0000,3977.0800,1635.8200,16761.9400,5969.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
256,10947.8200,4422.6600,0.0000,3952.1600,1631.8400,16671.7600,5945.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
