BINARY_LENGTH,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
20,SGCT,DRCT,total_protocol_time_ms,5997.304575,10076.817300,4079.512725,40.484139,794.114081,0.000000,112.304690,1.000000,50
20,SGCT,LAPCT,total_protocol_time_ms,5997.304575,11648.690100,5651.385525,48.515202,1656.683375,0.000000,234.290410,1.000000,50
20,SGCT,DQTA(k_max=3),total_protocol_time_ms,5997.304575,7173.843225,1176.538650,16.400395,242.546415,0.000000,34.301243,1.000000,50
20,SGCT,EMDT,total_protocol_time_ms,5997.304575,6586.647350,589.342775,8.947538,67.279526,0.000000,9.514762,1.000000,50
20,SGCT,NLHQT(n=2),total_protocol_time_ms,5997.304575,10173.001300,4175.696725,41.046851,1624.318527,0.000000,229.713329,1.000000,50
20,SGCT,EAQ_CBB,total_protocol_time_ms,5997.304575,10899.683000,4902.378425,44.977257,826.115434,0.000000,116.830365,1.000000,50
20,SGCT,HT_EEAC,total_protocol_time_ms,5997.304575,74691.734150,68694.429575,91.970591,303.618730,0.000000,42.938173,1.000000,50
40,SGCT,DRCT,total_protocol_time_ms,7748.219500,11577.992375,3829.772875,33.078039,600.441245,0.000000,84.915215,1.000000,50
40,SGCT,LAPCT,total_protocol_time_ms,7748.219500,15403.409025,7655.189525,49.698021,1510.346791,0.000000,213.595292,1.000000,50
40,SGCT,DQTA(k_max=3),total_protocol_time_ms,7748.219500,9636.653650,1888.434150,19.596368,296.817691,0.000000,41.976360,1.000000,50
40,SGCT,EMDT,total_protocol_time_ms,7748.219500,8457.570150,709.350650,8.387168,78.936944,0.000000,11.163370,1.000000,50
40,SGCT,NLHQT(n=2),total_protocol_time_ms,7748.219500,12418.153200,4669.933700,37.605702,1172.673582,0.000000,165.841088,1.000000,50
40,SGCT,EAQ_CBB,total_protocol_time_ms,7748.219500,13915.799725,6167.580225,44.320703,732.769810,0.000000,103.629300,1.000000,50
40,SGCT,HT_EEAC,total_protocol_time_ms,7748.219500,76323.754300,68575.534800,89.848220,390.992615,0.000000,55.294706,1.000000,50
60,SGCT,DRCT,total_protocol_time_ms,8999.174650,12879.706300,3880.531650,30.129038,620.419837,0.000000,87.740615,1.000000,50
60,SGCT,LAPCT,total_protocol_time_ms,8999.174650,19155.808800,10156.634150,53.021171,1630.140569,0.000000,230.536690,1.000000,50
60,SGCT,DQTA(k_max=3),total_protocol_time_ms,8999.174650,12041.141750,3041.967100,25.263112,451.392480,0.000000,63.836537,1.000000,50
60,SGCT,EMDT,total_protocol_time_ms,8999.174650,10306.323100,1307.148450,12.682976,117.621528,0.000000,16.634196,1.000000,50
60,SGCT,NLHQT(n=2),total_protocol_time_ms,8999.174650,14568.757500,5569.582850,38.229635,1057.809736,0.000000,149.596887,1.000000,50
60,SGCT,EAQ_CBB,total_protocol_time_ms,8999.174650,16934.908675,7935.734025,46.860212,918.742128,0.000000,129.929758,1.000000,50
60,SGCT,HT_EEAC,total_protocol_time_ms,8999.174650,77468.832600,68469.657950,88.383490,304.064963,0.000000,43.001279,1.000000,50
