BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SGCT
20,27.6000,13.1000,2457.3600,46.9400,22.9000,1808.9200,14.9800,17.7800,14.9800,21.1200,259.0200
40,27.3800,12.9600,2458.7200,46.8800,22.5200,1815.5400,14.9400,17.8000,14.9400,21.1200,258.4200
60,27.5200,12.9800,2457.8000,46.2800,22.3000,1814.3400,14.9400,17.8600,14.9400,21.0800,258.2200
80,27.2000,12.9400,2455.2400,46.7800,22.3000,1813.8800,14.8400,17.9000,14.8400,20.9800,258.5000
96,27.4400,13.1400,2456.7200,46.4600,22.4600,1812.4400,14.9400,17.6800,14.9400,21.1800,258.1400
100,27.4600,13.0600,2457.5600,46.5200,22.5600,1813.3000,14.9600,17.8800,14.9600,20.9600,258.3400
128,27.5800,13.0800,2456.2400,46.9200,22.3200,1817.7200,14.8800,17.9200,14.8800,21.1200,258.3600
160,27.4800,13.1400,2457.0800,46.5600,22.2800,1816.7600,14.9000,17.8400,14.9000,21.0600,258.5400
192,27.3600,12.9400,2456.3000,46.9800,22.1800,1815.1800,15.0200,17.8600,15.0200,21.0400,258.0200
256,27.4600,12.9800,2457.8200,46.8400,22.2800,1810.9800,14.7600,17.8800,14.7600,20.9400,258.7000
