TOTAL_TAGS,id_distribution,BINARY_LENGTH,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,min_tag_responses,max_tag_responses,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
10000,random,20,0.000000,True,True,formal_id_length_sweep,1211239912,1888379287,7139246.250000,333446.000000,1253467.000000,34324,3575734.536250,1293.625500,3577028.161750,10000,10000,10543,9187,,,,,,,,,,,,,,,,,,,,5.149000,,1400.708093,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29730,0.336361,125.346700,33.344600,1586913.000000,158.691300,1.088495,7139.246250,,,,,,,,,,,
10000,random,40,0.000000,True,True,formal_id_length_sweep,696364180,785346055,9626341.250000,337510.000000,3320773.000000,34804,4798583.596000,2335.406500,4800919.002500,10000,10000,10879,9283,,,,,,,,,,,,,,,,,,,,5.166300,,1038.816279,DQTA(k_max=3),0,29.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30162,0.331543,332.077300,33.751000,3658283.000000,365.828300,1.077238,9626.341250,,,,,,,,,,,
10000,random,60,0.000000,True,True,formal_id_length_sweep,303552650,3735597432,12003975.000000,336457.000000,5385219.000000,34713,5994541.643000,3365.523500,5997907.166500,10000,10000,10845,9245,,,,,,,,,,,,,,,,,,,,5.164700,,833.057383,DQTA(k_max=3),0,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30090,0.332336,538.521900,33.645700,5721676.000000,572.167600,1.081666,12003.975000,,,,,,,,,,,
10000,random,80,0.000000,True,True,formal_id_length_sweep,4021583103,293579505,14487196.250000,339073.000000,7462731.000000,34971,7243893.698625,4409.511500,7248303.210125,10000,10000,10995,9317,,,,,,,,,,,,,,,,,,,,5.173500,,690.264688,DQTA(k_max=3),0,29.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30312,0.329902,746.273100,33.907300,7801804.000000,780.180400,1.073307,14487.196250,,,,,,,,,,,
10000,random,96,0.000000,True,True,formal_id_length_sweep,552297578,104034602,16507987.500000,341862.000000,9121609.000000,35197,8269763.627375,5244.528500,8275008.155875,10000,10000,11104,9395,,,,,,,,,,,,,,,,,,,,5.175500,,605.767360,DQTA(k_max=3),0,28.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30499,0.327880,912.160900,34.186200,9463471.000000,946.347100,1.064396,16507.987500,,,,,,,,,,,
10000,random,100,0.000000,True,True,formal_id_length_sweep,3807197959,3631454320,16805900.000000,335891.000000,9516003.000000,34889,8431692.113000,5429.783500,8437121.896500,10000,10000,11051,9225,,,,,,,,,,,,,,,,,,,,5.164500,,595.029127,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30276,0.330295,951.600300,33.589100,9851894.000000,985.189400,1.084011,16805.900000,,,,,,,,,,,
10000,random,128,0.000000,True,True,formal_id_length_sweep,2154439261,1995396128,20183402.500000,335993.000000,12400792.000000,34895,10074301.051500,6872.382000,10081173.433500,10000,10000,11039,9237,,,,,,,,,,,,,,,,,,,,5.161000,,495.456601,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30276,0.330295,1240.079200,33.599300,12736785.000000,1273.678500,1.082603,20183.402500,,,,,,,,,,,
10000,random,160,0.000000,True,True,formal_id_length_sweep,53669434,2829550235,24087776.250000,337603.000000,15719973.000000,34826,12100833.668500,8535.192500,12109368.861000,10000,10000,10904,9281,,,,,,,,,,,,,,,,,,,,5.166400,,415.148327,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30185,0.331290,1571.997300,33.760300,16057576.000000,1605.757600,1.077470,24087.776250,,,,,,,,,,,
10000,random,192,0.000000,True,True,formal_id_length_sweep,779954931,1039479851,28033593.750000,339728.000000,19040366.000000,34904,14083471.755750,10199.639000,14093671.394750,10000,10000,10901,9335,,,,,,,,,,,,,,,,,,,,5.170400,,356.714879,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30236,0.330732,1904.036600,33.972800,19380094.000000,1938.009400,1.071237,28033.593750,,,,,,,,,,,
10000,random,256,0.000000,True,True,formal_id_length_sweep,4141531494,2976383606,35798558.750000,340198.000000,25673882.000000,35030,17959261.099375,13517.337000,17972778.436375,10000,10000,11009,9347,,,,,,,,,,,,,,,,,,,,5.173600,,279.340855,DQTA(k_max=3),0,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30356,0.329424,2567.388200,34.019800,26014080.000000,2601.408000,1.069862,35798.558750,,,,,,,,,,,
