BINARY_LENGTH,algorithm_name,metric,mean,std,p95,ci95,n
20,DQTA(k_max=3),total_protocol_time_ms,7173.843225,31.121185,7226.374437,8.626352,50
20,DQTA(k_max=3),throughput_tags_per_sec,1393.978661,6.045293,1402.550924,1.675670,50
20,DQTA(k_max=3),system_efficiency,0.333673,0.001782,0.336435,0.000494,50
20,DQTA(k_max=3),collision_slots,9226.680000,46.249298,9308.700000,12.819651,50
20,DQTA(k_max=3),idle_slots,10743.620000,136.138568,10956.700000,37.735686,50
20,DQTA(k_max=3),total_energy_uj,3596409.268940,20090.204212,3627726.945875,5568.720496,50
20,DQTA(k_max=3),total_listening_energy_uj,3595112.156460,20087.279880,3626426.968175,5567.909913,50
20,DQTA(k_max=3),total_transmission_energy_uj,1297.112480,3.745879,1303.702625,1.038305,50
20,DQTA(k_max=3),total_bits,1589341.000000,2191.495268,1593220.100000,607.451497,50
20,DQTA(k_max=3),avg_tag_bits,125.437968,0.055988,125.538940,0.015519,50
20,DQTA(k_max=3),avg_reader_bits,33.496132,0.177614,33.801010,0.049232,50
20,DQTA(k_max=3),avg_total_bits,158.934100,0.219150,159.322010,0.060745,50
20,DQTA(k_max=3),avg_query_efficiency,1.083840,0.005432,1.090917,0.001506,50
20,DQTA(k_max=3),peak_stack_depth,27.600000,1.030158,29.000000,0.285545,50
20,DQTA(k_max=3),avg_tag_responses,5.158024,0.005323,5.165320,0.001475,50
20,DRCT,total_protocol_time_ms,10076.817300,52.300431,10171.394938,14.496940,50
20,DRCT,throughput_tags_per_sec,992.402986,5.142683,999.692799,1.425479,50
20,DRCT,system_efficiency,0.353478,0.001906,0.356234,0.000528,50
20,DRCT,collision_slots,14144.540000,76.408465,14284.450000,21.179346,50
20,DRCT,idle_slots,4146.540000,76.408465,4286.450000,21.179346,50
20,DRCT,total_energy_uj,5050408.954817,27658.620645,5096731.570281,7666.578501,50
20,DRCT,energy_per_tag_uj,505.040895,2.765862,509.673157,0.766658,50
20,DRCT,total_reader_tx_energy_uj,1137.828440,6.398549,1149.395100,1.773587,50
20,DRCT,total_tag_tx_energy_uj,321.070090,0.330600,321.607925,0.091638,50
20,DRCT,total_listening_energy_uj,5048950.056287,27653.015999,5095262.653956,7665.024972,50
20,DRCT,total_transmission_energy_uj,1458.898530,6.687728,1471.086900,1.853744,50
20,DRCT,total_bits,1211054.400000,3787.812831,1218028.350000,1049.928150,50
20,DRCT,avg_tag_bits,64.214018,0.066120,64.321585,0.018328,50
20,DRCT,avg_reader_bits,56.891422,0.319927,57.469755,0.088679,50
20,DRCT,avg_total_bits,121.105440,0.378781,121.802835,0.104993,50
20,DRCT,avg_query_efficiency,0.707007,0.003813,0.712520,0.001057,50
20,DRCT,peak_stack_depth,13.100000,0.614452,14.000000,0.170317,50
20,DRCT,avg_tag_responses,14.558058,0.019564,14.591240,0.005423,50
20,EAQ_CBB,total_protocol_time_ms,10899.683000,30.842578,10943.702375,8.549126,50
20,EAQ_CBB,throughput_tags_per_sec,917.465072,2.595535,921.422645,0.719446,50
20,EAQ_CBB,system_efficiency,0.546136,0.001551,0.548579,0.000430,50
20,EAQ_CBB,collision_slots,8310.600000,52.001962,8379.100000,14.414209,50
20,EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
20,EAQ_CBB,total_energy_uj,5451849.036685,20468.835425,5488171.691100,5673.671714,50
20,EAQ_CBB,total_listening_energy_uj,5450270.747945,20465.104059,5486589.176975,5672.637432,50
20,EAQ_CBB,total_transmission_energy_uj,1578.288740,4.320706,1585.056625,1.197639,50
20,EAQ_CBB,total_bits,1049785.960000,3022.179798,1054869.850000,837.705501,50
20,EAQ_CBB,avg_tag_bits,34.752212,0.127803,34.975555,0.035425,50
20,EAQ_CBB,avg_reader_bits,70.226384,0.189385,70.507000,0.052495,50
20,EAQ_CBB,avg_total_bits,104.978596,0.302218,105.486985,0.083771,50
20,EAQ_CBB,avg_query_efficiency,1.203329,0.007527,1.215229,0.002086,50
20,EAQ_CBB,peak_stack_depth,2457.360000,5.565051,2465.550000,1.542554,50
20,EAQ_CBB,avg_tag_responses,3.788772,0.013182,3.812340,0.003654,50
20,EMDT,total_protocol_time_ms,6586.647350,54.429277,6668.594500,15.087026,50
20,EMDT,throughput_tags_per_sec,1518.324794,12.561244,1537.263393,3.481799,50
20,EMDT,system_efficiency,0.502034,0.006555,0.511681,0.001817,50
20,EMDT,collision_slots,5949.780000,121.484070,6142.800000,33.673666,50
20,EMDT,idle_slots,3972.520000,154.307702,4211.000000,42.771913,50
20,EMDT,total_energy_uj,3294224.735210,29846.051232,3330089.084700,8272.903325,50
20,EMDT,total_listening_energy_uj,3293377.433130,29841.460514,3329239.380100,8271.630843,50
20,EMDT,total_transmission_energy_uj,847.302080,7.705734,858.041200,2.135920,50
20,EMDT,total_bits,961660.960000,6477.977755,969990.900000,1795.603824,50
20,EMDT,avg_tag_bits,71.734656,0.388715,72.268400,0.107746,50
20,EMDT,avg_reader_bits,24.431440,0.309551,24.876720,0.085803,50
20,EMDT,avg_total_bits,96.166096,0.647798,96.999090,0.179560,50
20,EMDT,avg_query_efficiency,1.681420,0.034282,1.738617,0.009502,50
20,EMDT,peak_stack_depth,46.940000,1.284285,49.000000,0.355986,50
20,EMDT,avg_tag_responses,5.315762,0.024390,5.354845,0.006760,50
20,FHS_RAC,total_protocol_time_ms,11066.350750,29.199434,11103.346625,8.093670,50
20,FHS_RAC,throughput_tags_per_sec,903.646420,2.384757,907.745240,0.661021,50
20,FHS_RAC,system_efficiency,0.546053,0.001581,0.548842,0.000438,50
20,FHS_RAC,collision_slots,6459.600000,22.047259,6497.850000,6.111188,50
20,FHS_RAC,idle_slots,1853.800000,46.947213,1922.500000,13.013104,50
20,FHS_RAC,total_energy_uj,5535005.407973,14055.901260,5558054.216244,3896.097054,50
20,FHS_RAC,total_listening_energy_uj,5533583.530753,14052.570724,5556629.395544,3895.173876,50
20,FHS_RAC,total_transmission_energy_uj,1421.877220,4.151637,1427.141850,1.150775,50
20,FHS_RAC,total_bits,880339.880000,2014.419526,882857.100000,558.368605,50
20,FHS_RAC,avg_tag_bits,22.586836,0.013287,22.605995,0.003683,50
20,FHS_RAC,avg_reader_bits,65.447152,0.209694,65.714220,0.058124,50
20,FHS_RAC,avg_total_bits,88.033988,0.201442,88.285710,0.055837,50
20,FHS_RAC,avg_query_efficiency,1.548101,0.005284,1.557220,0.001465,50
20,FHS_RAC,peak_stack_depth,22.900000,0.909137,24.000000,0.252000,50
20,FHS_RAC,avg_tag_responses,8.396822,0.005915,8.406020,0.001640,50
20,HLCT-Base,total_protocol_time_ms,8392.780050,29.332003,8437.386438,8.130417,50
20,HLCT-Base,throughput_tags_per_sec,1191.514574,4.165761,1198.566631,1.154690,50
20,HLCT-Base,system_efficiency,0.331330,0.002291,0.335325,0.000635,50
20,HLCT-Base,collision_slots,3950.540000,27.920594,3999.050000,7.739194,50
20,HLCT-Base,idle_slots,16232.220000,197.335340,16513.300000,54.698566,50
20,HLCT-Base,total_energy_uj,4291499.399530,17522.767157,4317574.505563,4857.063253,50
20,HLCT-Base,total_listening_energy_uj,4290399.000640,17519.826159,4316468.311087,4856.248050,50
20,HLCT-Base,total_transmission_energy_uj,1100.398890,3.270999,1106.413400,0.906675,50
20,HLCT-Base,total_bits,1060105.980000,2138.458022,1064093.800000,592.750322,50
20,HLCT-Base,avg_tag_bits,67.987538,0.071846,68.116645,0.019915,50
20,HLCT-Base,avg_reader_bits,38.023060,0.147350,38.288185,0.040843,50
20,HLCT-Base,avg_total_bits,106.010598,0.213846,106.409380,0.059275,50
20,HLCT-Base,avg_query_efficiency,2.531423,0.017857,2.558559,0.004950,50
20,HLCT-Base,peak_stack_depth,1808.920000,11.600211,1829.100000,3.215414,50
20,HLCT-Base,ovg_trigger_count,48.900000,7.486723,60.650000,2.075214,50
20,HLCT-Base,fallback_invocation_count,1.140000,0.350510,2.000000,0.097156,50
20,HLCT-Base,fallback_invocation_ratio,0.000293,0.000089,0.000513,0.000025,50
20,HLCT-Base,prefix_stagnation_trigger_count,4.240000,1.813329,7.000000,0.502629,50
20,HLCT-Base,prefix_stag_score_trigger_count,4.500000,2.062790,8.000000,0.571776,50
20,HLCT-Base,repeated_pattern_trigger_count,0.000000,0.000000,0.000000,0.000000,50
20,HLCT-Base,ovg_success_count,0.140000,0.350510,1.000000,0.097156,50
20,HLCT-Base,post_ovg_singleton_count,0.140000,0.350510,1.000000,0.097156,50
20,HLCT-Base,ovg_fallback_avoid_count,0.000000,0.000000,0.000000,0.000000,50
20,HLCT-Base,ovg_rehash_count,4.100000,1.798525,7.000000,0.498526,50
20,HLCT-Base,ovg_width_up_count,0.000000,0.000000,0.000000,0.000000,50
20,HLCT-Base,ovg_width_down_count,4.240000,1.813329,7.000000,0.502629,50
