BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,0.3337,0.3535,0.5461,0.5020,0.5461,0.3313,0.0617,0.5000,0.4990,0.2611,0.3578,0.4122,0.8456,0.0000
40,0.3301,0.3464,0.5463,0.5007,0.5559,0.3259,0.0614,0.5000,0.4990,0.2572,0.3542,0.4123,0.8406,0.0000
60,0.3309,0.3465,0.5463,0.5031,0.5562,0.3259,0.0615,0.5000,0.4990,0.2573,0.3543,0.4121,0.8405,0.0000
80,0.3309,0.3463,0.5461,0.5029,0.5564,0.3258,0.0616,0.5000,0.4990,0.2572,0.3542,0.4128,0.8407,0.0000
96,0.3301,0.3461,0.5460,0.5021,0.5562,0.3261,0.0616,0.5000,0.4990,0.2571,0.3542,0.4120,0.8395,0.0000
100,0.3305,0.3466,0.5466,0.5031,0.5562,0.3258,0.0616,0.5000,0.4990,0.2574,0.3544,0.4122,0.8403,0.0000
128,0.3305,0.3464,0.5460,0.5000,0.5560,0.3263,0.0618,0.5000,0.4990,0.2573,0.3542,0.4124,0.8407,0.0000
160,0.3303,0.3462,0.5457,0.5017,0.5562,0.3249,0.0619,0.5000,0.4990,0.2572,0.3541,0.4120,0.8398,0.0000
192,0.3304,0.3468,0.5458,0.5021,0.5563,0.3252,0.0616,0.5000,0.4990,0.2575,0.3544,0.4123,0.8403,0.0000
256,0.3309,0.3467,0.5460,0.5028,0.5566,0.3262,0.0614,0.5000,0.4990,0.2574,0.3544,0.4118,0.8413,0.0000
