BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,1393.9787,992.4030,917.4651,1518.3248,903.6464,1191.5146,133.9448,885.5470,858.4656,715.6570,983.0002,3797.0126,1667.4435,2421.0168
40,1037.7201,863.7304,718.6144,1182.4161,823.3872,1029.1084,131.0546,724.8080,649.2069,581.1029,805.2786,3300.2548,1290.6470,1637.6030
60,830.4961,776.4338,590.4996,970.3170,746.8546,911.1048,129.1379,613.6329,522.0349,493.6582,686.4067,2918.1862,1111.2397,1231.4615
80,692.1287,704.4736,501.0076,821.2880,683.3005,817.6450,127.2599,532.0200,436.5220,428.8154,597.7860,2615.1190,975.8383,990.8715
96,610.1102,655.9542,446.8850,731.0430,639.4114,755.5538,125.6830,480.8482,385.9427,387.9638,541.9465,2435.3208,887.9748,855.4274
100,593.2040,645.3840,435.4448,712.2004,629.3379,741.3738,125.3418,469.5597,375.0786,379.3147,529.8546,2384.6239,869.3897,827.8915
128,494.0585,577.2320,367.5119,598.2205,566.8379,656.0110,123.0242,403.2893,313.3374,326.3128,456.7250,2103.2290,754.9070,673.2561
160,415.0154,514.9004,312.0210,508.5838,509.1801,579.0229,120.2023,347.2688,263.7228,281.3201,394.5116,1865.3401,655.3810,554.6146
192,357.9665,465.1814,271.1600,441.7164,462.1537,518.7451,116.8604,304.9186,227.6735,247.5448,347.4922,1663.4701,579.6304,469.7013
256,280.5925,389.4278,214.8985,349.6857,390.1313,429.3173,111.3888,245.1270,178.7927,199.3290,280.4252,1379.8473,470.8283,363.2070
