BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,1589341.0000,1211054.4000,1049785.9600,961660.9600,880339.8800,1060105.9800,6264149.7200,2614280.5200,2097451.1600,1434038.5800,1218850.8400,823646.0400,809550.1200,483475.4400
40,3657848.9800,1444504.3200,1528088.9000,1159895.7600,1068255.4400,1266270.0400,6495991.6000,5538481.9200,4420361.9400,1847548.6200,1627787.0000,1167510.5200,1094420.3600,957624.2400
60,5723990.6600,1662474.5400,2007124.8000,1361531.4800,1267895.1600,1468795.7400,6687285.6000,8462372.9600,6743210.3200,2247210.4200,2027583.0400,1511356.7800,1294526.8400,1443615.4800
80,7788628.1200,1882039.6200,2487743.6800,1562233.0400,1467581.4000,1670349.2800,6876981.6400,11385993.8600,9066113.3000,2647599.9400,2427842.8000,1858493.4200,1494343.7000,1917588.9600
96,9444768.7000,2056426.4400,2870495.3400,1721171.8400,1627879.8400,1832604.9600,7036547.5200,13725540.4800,10926341.8400,2968113.9000,2747899.2400,2125235.6200,1655568.2600,2301721.0000
100,9856441.4000,2100030.1600,2963515.1800,1762896.2400,1667912.7200,1873169.6600,7074144.7200,14310779.4000,11391160.4800,3047251.1000,2827531.0000,2196376.1400,1694820.1800,2395912.2800
128,12748482.6200,2404707.7800,3636714.4600,2039816.2400,1948057.8400,2155736.5400,7333981.6800,18403571.7200,14641236.1600,3607398.8000,3387722.7200,2680975.3800,1974319.5800,3060554.6400
160,16055409.8000,2754267.1800,4404771.2600,2360212.2000,2267893.6800,2480744.7200,7645903.7200,23082911.6200,18363251.4200,4247864.2200,4027972.8400,3221176.3800,2295306.7200,3824490.6400
192,19357964.7600,3102707.5400,5171679.0200,2681351.9600,2587789.2600,2804269.6800,7997488.0800,27762248.2800,22076911.3800,4886882.5000,4667466.7600,3779595.5400,2614770.7200,4620543.7600
256,25966051.3800,3801448.0200,6702790.7000,3321865.2000,3227416.3800,3451780.7600,8654509.0400,37116311.4200,29504085.2200,6166911.6400,5947257.2400,4878452.2400,3253698.8400,6104122.6400
