BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,3596409.2689,5050408.9548,5451849.0367,3294224.7352,5535005.4080,4291499.3995,44322436.9269,5651866.7041,5829905.9399,6989072.6980,5087122.0275,1169292.8830,3026304.8410,2067878.2360
40,4824349.9425,5806641.2759,6961596.1226,4226751.9783,6076494.0197,4941813.9076,45190499.8549,6906322.6938,7709810.3821,8613285.2241,6214728.2734,1347354.6350,3899376.9979,3057723.5310
60,6031330.8888,6453593.1355,8467587.9776,5152333.4144,6697679.3129,5572610.4476,45826983.1520,8158191.3405,9588666.4436,10134741.5437,7287955.9201,1519583.4814,4526236.7053,4068704.4285
80,7238443.2220,7116814.9407,9983260.3307,6085405.3680,7321386.8136,6201000.0159,46341509.7056,9410535.1379,11467428.8513,11674359.8456,8371195.1399,1698461.1543,5149384.6701,5059877.7304
96,8216560.4760,7634701.9422,11190099.9865,6838449.0618,7824251.8663,6704010.6986,46802900.9587,10412548.6742,12970567.4149,12894220.7707,9229219.1924,1818163.2672,5657817.1430,5867011.9921
100,8442260.2429,7765040.2474,11485790.9849,7013898.8761,7948121.0041,6831973.8473,46941525.0895,10662913.4314,13346359.8718,13198089.9354,9446942.4774,1858563.4020,5775416.8141,6053267.0829
128,10139201.4613,8683720.0238,13607788.0824,8352215.3569,8825294.9047,7713369.5911,47669292.4885,12416098.5721,15976520.4481,15347111.9975,10962091.5504,2113515.9589,6645807.0002,7460868.9407
160,12079071.5022,9718434.3759,16027912.0626,9835777.1135,9822438.5805,8725022.9730,48474114.4909,14419421.8319,18982827.3458,17778104.6588,12676582.3498,2375655.5592,7655875.2663,9046894.0628
192,13998184.0653,10762447.9344,18440850.5958,11319114.4101,10822271.6449,9730926.1289,49826917.7028,16422800.6860,21988893.3208,20215680.3026,14399369.8003,2668632.5171,8650286.0261,10671802.6978
256,17868228.6901,12843754.5302,23274468.8813,14321823.9218,12818899.7428,11740849.2053,51976671.9420,20429612.4443,28001238.5398,25081955.8477,17830570.6716,3216573.6204,10648993.3111,13827586.5551
