BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,3595112.1565,5048950.0563,5450270.7479,3293377.4331,5533583.5308,4290399.0006,44313955.8655,5649505.2917,5827716.7739,6987037.8466,5085539.3404,1168644.7938,3025441.1461,2067630.5741
40,4822014.3115,5805045.9421,6959478.9749,4225806.5079,6074995.8855,4940606.6179,45181875.4766,6902498.1185,7706159.2330,8611024.4646,6212929.5853,1346534.0320,3898332.3384,3057238.8013
60,6027962.3654,6451889.2855,8464931.3119,5151286.5618,6696081.9133,5571301.7669,45818270.7075,8152904.8781,9583553.9013,10132281.4204,7285957.5974,1518590.5394,4525091.9256,4067976.5640
80,7234042.5349,7115000.6922,9980062.9567,6084257.6888,7319690.0284,6199590.7771,46332710.9805,9403786.8595,11460854.8530,11671698.9608,8368996.3163,1697294.4740,5148140.1132,5058912.9669
96,8211331.1051,7632799.8110,11186471.0845,6837222.4768,7822474.4415,6702520.2771,46794023.2526,10404630.5268,12962823.2476,12891398.9215,9226860.2910,1816864.9038,5656490.6549,5865855.1843
100,8436825.7764,7763117.6464,11482056.6582,7012650.3505,7946323.5015,6830463.2316,46932630.1173,10654702.6681,13338323.2987,13195229.7777,9444544.2893,1857228.9400,5774071.5757,6052063.1953
128,10132320.5797,8681644.7980,13603296.0177,8350829.7230,8823357.1447,7711717.6799,47660285.7584,12405841.4787,15966438.8772,15343971.5208,10959412.9739,2111938.6858,6644322.5519,7459332.7299
160,12070537.1859,9716183.6932,16022555.6239,9834231.5872,9820341.1204,8723208.0589,48464958.3517,14406825.0112,18970404.7263,17774643.2940,12673583.3157,2373808.6942,7654229.2238,9044975.9791
192,13987999.1031,10760024.4732,18434630.7839,11317407.5839,10820014.4328,9728949.8033,49817558.2025,16407864.2688,21974133.9194,20211900.8307,14396051.7067,2666505.6329,8648480.8173,10669486.4608
256,17854739.7802,12840981.6885,23266523.8648,14319796.5770,12816323.2817,11738549.3765,51966969.4772,20409999.0092,27981805.5653,25077536.3131,17826612.9568,3213897.9201,10646869.8893,13824528.5921
