BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,7173.8432,10076.8173,10899.6830,6586.6474,11066.3507,8392.7800,74691.7342,11292.4555,11648.6901,13973.3254,10173.0013,2634.2258,5997.3046,4130.7025
40,9636.6537,11577.9924,13915.7997,8457.5701,12145.0240,9717.2646,76323.7543,13796.7568,15403.4090,17208.8868,12418.1532,3030.7551,7748.2195,6106.8398
60,12041.1418,12879.7063,16934.9087,10306.3231,13389.5371,10975.7540,77468.8326,16296.3880,19155.8088,20257.2002,14568.7575,3427.7532,8999.1746,8120.9206
80,14448.4062,14195.3039,19959.8624,12176.5613,14634.9001,12230.3223,78596.7685,18796.2863,22908.3538,23320.4110,16728.5457,3824.7264,10247.7671,10092.6586
96,16390.7202,15245.2408,22377.2195,13680.1969,15639.4083,13235.4049,79589.3208,20796.5850,25910.5806,25775.9570,18452.1407,4107.4046,11261.7153,11690.9370
100,16857.7617,15494.8444,22965.1321,14042.0105,15889.7426,13488.5485,79813.2889,21296.5452,26661.0758,26363.5873,18873.1979,4194.5162,11502.4445,12079.8363
128,20240.8379,17324.3721,27210.1445,16717.4554,17641.7618,15243.7109,81317.1359,24796.0948,31914.4767,30646.0104,21895.2548,4756.4296,13246.8098,14854.2971
160,24095.8270,19421.4961,32049.2295,19664.3482,19639.4457,17270.5137,83222.3031,28796.1338,37918.5976,35547.2566,25348.0432,5362.9988,15258.4075,18031.4810
192,27935.8952,21497.2389,36878.7175,22640.5981,21637.8618,19277.3435,85603.2957,32795.6342,43922.5424,40397.2681,28777.8767,6013.3530,17252.4714,21291.5046
256,35639.2645,25678.8538,46533.7494,28600.0311,25632.4240,23292.8330,89806.5079,40795.1778,55930.6848,50168.8713,35660.3947,7250.0725,21239.2454,27533.8596
