BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,34584.1400,42436.6200,18311.6000,19922.3000,18313.4000,34077.3800,162090.5000,19999.0000,19956.6400,24146.5400,17080.7400,4707.0200,13652.6800,28519.4000
40,34939.1200,43308.0000,18307.2800,19972.2200,17989.9600,34615.4200,162920.6800,19999.0000,19956.5600,24437.0000,17232.8600,4725.7600,13791.8800,28499.5800
60,34866.1000,43286.2200,18307.2400,19877.4800,17980.0000,34616.0200,162690.9600,19999.0000,19956.5200,24429.7400,17228.9000,4731.7000,13793.5600,28554.8400
80,34861.0400,43315.6800,18313.8400,19888.7600,17971.2800,34628.6400,162431.3400,19999.0000,19956.5600,24439.5600,17235.2200,4736.4400,13790.0400,28505.5000
96,34936.7200,43347.0600,18316.0000,19919.2200,17978.6000,34595.5600,162407.0400,19999.0000,19956.7200,24450.0200,17235.0600,4704.3000,13820.8000,28524.7800
100,34898.1400,43282.3200,18297.2800,19881.3800,17979.4000,34626.7000,162360.6000,19999.0000,19956.6800,24428.4400,17226.1800,4714.1200,13801.0200,28504.9600
128,34905.1800,43301.1000,18317.6000,20003.9800,17984.1600,34575.4200,161810.2800,19999.0000,19956.5200,24434.7000,17232.2400,4724.0000,13788.7000,28518.9200
160,34914.9200,43329.4200,18325.3200,19935.5800,17978.8400,34714.0000,161611.7400,19999.0000,19956.8000,24444.1400,17236.2600,4714.8800,13813.8000,28415.8200
192,34901.3800,43260.0600,18322.2800,19918.6200,17976.6400,34677.2200,162447.1600,19999.0000,19956.5200,24421.0200,17226.1000,4729.8800,13800.9000,28531.2000
256,34855.4800,43264.9800,18315.0000,19891.7000,17966.5200,34581.9600,162885.1600,19999.0000,19956.3600,24422.6600,17222.4000,4718.0400,13771.7000,28505.5000
