BINARY_LENGTH,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
20,1297.1125,1458.8985,1578.2887,847.3021,1421.8772,1100.3989,8481.0614,2361.4124,2189.1660,2034.8514,1582.6871,648.0893,863.6949,247.6619
40,2335.6310,1595.3338,2117.1477,945.4704,1498.1342,1207.2898,8624.3782,3824.5754,3651.1490,2260.7595,1798.6881,820.6029,1044.6596,484.7297
60,3368.5234,1703.8501,2656.6657,1046.8526,1597.3996,1308.6806,8712.4445,5286.4624,5112.5422,2460.1233,1998.3227,992.9421,1144.7797,727.8646
80,4400.6871,1814.2486,3197.3740,1147.6792,1696.7852,1409.2388,8798.7250,6748.2784,6573.9983,2660.8848,2198.8237,1166.6803,1244.5569,964.7635
96,5229.3709,1902.1311,3628.9020,1226.5850,1777.4247,1490.4215,8877.7061,7918.1474,7744.1673,2821.8492,2358.9014,1298.3634,1326.4882,1156.8078
100,5434.4665,1922.6011,3734.3267,1248.5256,1797.5026,1510.6158,8894.9722,8210.7634,8036.5731,2860.1577,2398.1881,1334.4620,1345.2384,1203.8876
128,6880.8816,2075.2257,4492.0647,1385.6339,1937.7600,1651.9112,9006.7301,10257.0934,10081.5710,3140.4768,2678.5764,1577.2731,1484.4483,1536.2107
160,8534.3163,2250.6827,5356.4387,1545.5263,2097.4601,1814.9141,9156.1393,12596.8207,12422.6195,3461.3648,2999.0341,1846.8650,1646.0425,1918.0837
192,10184.9622,2423.4611,6219.8119,1706.8262,2257.2120,1976.3256,9359.5003,14936.4172,14759.4013,3779.4720,3318.0936,2126.8842,1805.2088,2316.2370
256,13488.9098,2772.8417,7945.0165,2027.3448,2576.4611,2299.8288,9702.4648,19613.4352,19432.9745,4419.5346,3957.7148,2675.7003,2123.4218,3057.9630
