TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,1.0801,0.6924,1.2075,1.8132,1.5833,2.5348,0.4014,1.0010,0.9616,0.3457,0.5485,2.4619,2.0610,1000.0000
2000,1.1063,0.6939,1.2024,1.8936,1.5880,2.5219,0.2136,1.0005,0.9799,0.3467,0.5487,2.7649,3.5178,2000.0000
3000,1.1354,0.6921,1.2007,1.6938,1.5801,2.4846,0.1628,1.0003,0.9865,0.3459,0.5479,2.9593,4.6609,3000.0000
4000,1.1297,0.6924,1.2059,1.6713,1.5842,2.4700,0.1254,1.0003,0.9899,0.3461,0.5492,3.1275,5.3478,4000.0000
5000,1.1123,0.6923,1.2027,1.7162,1.5840,2.4730,0.0987,1.0002,0.9919,0.3460,0.5492,3.2476,5.6757,5000.0000
6000,1.0978,0.6927,1.2033,1.7270,1.5839,2.4834,0.0822,1.0002,0.9932,0.3463,0.5492,3.3438,5.7909,6000.0000
7000,1.0851,0.6933,1.2027,1.7344,1.5805,2.4837,0.0779,1.0001,0.9942,0.3466,0.5493,3.4374,5.7913,7000.0000
8000,1.0814,0.6929,1.2012,1.7100,1.5812,2.4948,0.0757,1.0001,0.9949,0.3464,0.5490,3.5314,5.6618,8000.0000
9000,1.0772,0.6925,1.2044,1.6914,1.5780,2.5030,0.0720,1.0001,0.9955,0.3462,0.5487,3.5985,5.4744,9000.0000
10000,1.0769,0.6926,1.2027,1.6832,1.5772,2.5074,0.0686,1.0001,0.9959,0.3463,0.5487,3.6588,5.2642,10000.0000
