TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,30.6978,52.8933,146.1227,28.2317,58.4876,36.7676,102.4329,63.6902,147.7532,81.1252,59.9307,21.3120,52.2885,1.5946
2000,30.7583,54.3775,146.2483,28.9876,60.0197,37.2771,147.2645,65.6993,149.2896,83.4147,61.6263,19.5641,39.6573,1.5635
3000,30.5460,55.4716,146.2975,28.6158,61.2401,37.7737,176.2861,66.8780,150.0657,84.9677,62.6994,18.6113,35.2175,1.1246
4000,31.1296,56.1040,146.1684,27.1987,62.0802,38.0398,214.5902,67.7149,150.5774,85.9484,63.3278,17.7962,33.4094,0.8866
5000,31.9225,56.6405,146.2414,25.6024,62.5730,38.1494,260.8309,68.3552,150.9536,86.7447,63.8806,17.2916,32.6585,0.7256
6000,32.5746,57.0263,146.2295,24.4995,62.9904,38.1658,304.7215,68.8845,151.2556,87.3497,64.3140,16.9506,32.3687,0.6233
7000,33.1310,57.3225,146.2433,23.7589,63.2620,38.2493,319.2622,69.3251,151.5025,87.8304,64.7003,16.5878,32.3060,0.5415
8000,33.3956,57.6843,146.2775,23.6432,63.5530,38.2391,326.7961,69.7092,151.7146,88.3434,65.0329,16.2221,32.4891,0.4761
9000,33.6591,57.9871,146.1981,23.8211,63.8784,38.2536,341.0170,70.0504,151.9007,88.7861,65.3671,15.9947,32.7972,0.4284
10000,33.7821,58.2180,146.2388,24.4424,64.2271,38.2853,356.0802,70.3529,152.0638,89.1421,65.6357,15.8232,33.1886,0.4009
