TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,727.3512,138.7570,140.5972,139.7677,101.8736,136.1969,151.9216,1024.2393,661.6434,204.3020,205.8014,207.6578,130.0228,222.2861
2000,783.0625,140.9587,140.8068,143.9182,100.8765,138.9322,187.0264,1109.4706,745.7695,205.2971,206.7993,204.2939,130.4401,221.6986
3000,812.1393,142.8475,140.9446,144.0009,100.2895,140.4005,210.3445,1158.5361,795.4199,205.8881,207.3911,202.6538,130.6997,205.2570
4000,834.2795,143.6400,140.5778,144.0083,99.8690,141.5066,239.6217,1193.1308,830.4295,206.3047,207.8037,200.9726,130.9543,225.3878
5000,852.6557,144.4693,140.7072,144.0780,99.5506,142.3375,274.1890,1219.8423,857.4626,206.6246,208.1243,199.8497,131.1969,228.4274
6000,867.8992,145.2441,140.6682,144.2603,99.2871,143.0414,306.8783,1241.6781,879.5623,206.8880,208.3861,199.5155,131.4258,199.3139
7000,881.2504,145.7154,140.8426,144.6676,99.0702,143.6763,317.7941,1260.0175,898.1239,207.1066,208.6070,198.5427,131.6286,211.2946
8000,892.0049,146.3946,140.8381,145.3861,98.8789,144.1034,323.5512,1275.7801,914.0781,207.2994,208.7975,197.7939,131.8468,225.6792
9000,901.8671,146.9209,140.6200,146.3348,98.7095,144.5561,334.2340,1289.6943,928.1616,207.4706,208.9696,197.5752,132.0692,214.6692
10000,910.4914,147.3971,140.7224,147.7623,98.5576,145.0136,345.4621,1302.1333,940.5440,207.6215,209.1226,197.2703,132.2884,229.5684
