TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT
1000,4.0514,11.3020,3.7858,4.5292,6.7009,5.4515,82.4746,11.2928,8.3160,13.3020,7.9007,9.3028,4.0043
2000,4.3848,12.2971,3.7903,4.8259,7.1992,5.7390,107.2389,12.2990,9.2990,14.2971,8.3997,9.8582,4.0569
3000,4.5616,12.8881,3.7935,5.0758,7.4964,5.9133,127.1193,12.8838,9.8838,14.8881,8.6955,10.1420,4.0880
4000,4.6969,13.3047,3.7856,5.1565,7.7028,6.0415,143.2014,13.2987,10.2987,15.3047,8.9018,10.3285,4.1189
5000,4.8094,13.6246,3.7882,5.1551,7.8642,6.1361,173.6837,13.6203,10.6203,15.6246,9.0622,10.4728,4.1493
6000,4.9030,13.8880,3.7877,5.1665,7.9963,6.2139,213.9885,13.8842,10.8842,15.8880,9.1930,10.6018,4.1774
7000,4.9849,14.1066,3.7912,5.1813,8.1096,6.2819,227.5245,14.1064,11.1064,16.1066,9.3035,10.6816,4.2026
8000,5.0512,14.2994,3.7911,5.2227,8.2046,6.3357,230.3520,14.2979,11.2979,16.2994,9.3988,10.7377,4.2300
9000,5.1120,14.4706,3.7864,5.2666,8.2912,6.3845,242.5546,14.4674,11.4674,16.4706,9.4848,10.8242,4.2575
10000,5.1652,14.6215,3.7886,5.3166,8.3670,6.4289,252.1083,14.6191,11.6168,16.6215,9.5613,10.8823,4.2845
