TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,758.0490,191.6503,286.7199,167.9994,160.3612,172.9645,254.3545,1087.9296,809.3966,285.4272,265.7321,228.9699,182.3113,223.8806
2000,813.8208,195.3363,287.0551,172.9059,160.8961,176.2092,334.2909,1175.1698,895.0592,288.7118,268.4256,223.8581,170.0974,223.2621
3000,842.6853,198.3192,287.2420,172.6167,161.5296,178.1742,386.6307,1225.4141,945.4856,290.8558,270.0905,221.2651,165.9172,206.3816
4000,865.4091,199.7440,286.7461,171.2070,161.9492,179.5464,454.2119,1260.8457,981.0069,292.2532,271.1315,218.7687,164.3638,226.2744
5000,884.5782,201.1097,286.9486,169.6804,162.1236,180.4869,535.0198,1288.1975,1008.4162,293.3693,272.0050,217.1413,163.8554,229.1530
6000,900.4738,202.2704,286.8978,168.7598,162.2775,181.2072,611.5998,1310.5626,1030.8179,294.2376,272.7001,216.4662,163.7945,199.9373
7000,914.3814,203.0378,287.0859,168.4265,162.3322,181.9256,637.0563,1329.3426,1049.6265,294.9369,273.3073,215.1305,163.9346,211.8361
8000,925.4004,204.0789,287.1156,169.0293,162.4320,182.3425,650.3472,1345.4893,1065.7926,295.6429,273.8305,214.0159,164.3358,226.1553
9000,935.5262,204.9081,286.8181,170.1559,162.5879,182.8097,675.2510,1359.7446,1080.0624,296.2567,274.3367,213.5698,164.8664,215.0976
10000,944.2735,205.6151,286.9612,172.2047,162.7847,183.2989,701.5423,1372.4863,1092.6078,296.7636,274.7583,213.0936,165.4770,229.9694
