TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,926.0800,1444.8600,828.5600,554.1600,631.7000,394.7200,2495.1000,999.0000,1039.9600,2893.7200,1823.5000,407.0400,485.3600,0.0000
2000,1808.2400,2882.9200,1663.6400,1057.7600,1259.5200,793.2800,9378.3000,1999.0000,2041.0000,5769.8400,3645.2200,724.0200,568.7000,0.0000
3000,2642.4400,4335.1400,2498.9200,1773.1000,1898.6800,1207.6400,18439.6000,2999.0000,3041.0000,8674.2800,5475.3600,1014.3800,644.1000,0.0000
4000,3541.2800,5777.2800,3317.2000,2395.3000,2525.0800,1619.5800,31905.4200,3999.0000,4041.0000,11558.5600,7283.8600,1279.5600,748.4200,0.0000
5000,4495.5600,7222.9400,4157.4800,2916.1600,3156.7200,2022.0000,50684.0600,4999.0000,5041.0000,14449.8800,9105.1000,1540.1800,881.4600,0.0000
6000,5465.9200,8662.4400,4986.8000,3475.8200,3788.2400,2416.2800,73079.3600,5999.0000,6041.0000,17328.8800,10925.0400,1794.9200,1036.8600,0.0000
7000,6451.5200,10096.3400,5820.4000,4037.7200,4429.1600,2818.6200,90034.9000,6999.0000,7041.0000,20196.6800,12742.6800,2037.0400,1209.7000,0.0000
8000,7398.0800,11546.8200,6660.4400,4680.8200,5059.6600,3206.9000,105775.5800,7999.0000,8041.0000,23097.6400,14573.6000,2266.1600,1414.1000,0.0000
9000,8355.5200,12996.8200,7472.7200,5323.1400,5703.4400,3595.8800,125006.6400,8999.0000,9041.0000,25997.6400,16403.2000,2501.5000,1644.9200,0.0000
10000,9286.2800,14438.5800,8314.8400,5943.5000,6340.3400,3988.3800,145913.8400,9999.0000,10041.2400,28881.1600,18224.3400,2733.5600,1901.1400,0.0000
