TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,1070.0400,446.8600,0.0000,206.1600,173.2600,1674.4600,1160.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000,2244.9400,884.9200,0.0000,375.2200,334.0800,3309.6800,2009.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3000,3196.7800,1337.1400,0.0000,757.8800,506.6000,5044.0200,2599.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4000,4115.1200,1779.2800,0.0000,1203.6600,692.5200,6793.0200,3110.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5000,5125.4400,2224.9400,0.0000,1747.3600,854.0800,8567.8000,3595.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6000,6183.4000,2664.4400,0.0000,2383.2200,1014.7600,10266.0800,4026.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7000,7351.5200,3098.3400,0.0000,2961.1200,1149.4000,11912.3400,4548.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8000,8537.2200,3548.8200,0.0000,3477.5400,1302.5800,13490.2000,5059.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9000,9741.8600,3998.8200,0.0000,3836.6000,1458.1200,15094.7800,5500.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10000,10974.7400,4440.5800,0.0000,3945.6200,1638.0600,16700.4400,5940.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
