TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SGCT
1000,19.5800,9.6400,247.9000,34.4400,17.0600,188.3000,11.4000,14.3200,11.4000,15.9400,231.5600
2000,21.6600,10.6600,493.4800,37.7200,18.5600,514.7800,12.4800,15.4400,12.4800,17.5800,255.0800
3000,23.0200,11.1800,738.8000,39.8600,19.4200,818.1200,13.0800,16.0200,13.0800,18.2600,256.0000
4000,23.9400,11.8000,985.2000,41.1800,20.2800,1066.4000,13.4600,16.4000,13.4600,19.1600,256.0800
5000,24.8400,12.0800,1230.3000,42.4800,20.8400,1271.6600,13.8400,16.7400,13.8400,19.5400,256.2600
6000,25.5800,12.4200,1476.6600,44.0600,21.2400,1426.5000,14.2200,17.0000,14.2200,19.9200,256.4600
7000,25.9000,12.6200,1720.3800,44.8000,21.4000,1559.0800,14.2800,17.2800,14.2800,20.1200,256.7200
8000,26.5600,12.7600,1966.2000,45.1400,21.7400,1662.0000,14.5200,17.4000,14.5200,20.5400,257.0600
9000,27.0800,12.9600,2211.6200,45.9000,22.1200,1740.9000,14.7200,17.6800,14.7200,20.7600,257.7600
10000,27.5600,13.1000,2457.4800,47.1000,22.4400,1818.1200,14.8800,17.7400,14.8800,21.0000,258.2800
