BINARY_LENGTH,id_distribution,TOTAL_TAGS,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,peak_unidentified_tags_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
96,random,1000,0.000000,True,True,formal_main_scalability_uniform,1524004277,3673428094,1600262.500000,29640.000000,723249.000000,3345,81632.399750,420.904500,82053.304250,1000,1000,1002,895,,,,,,,,,,,,,,,,,,,,4.027000,,624.897478,DQTA(k_max=3),0,21.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897,0.345185,723.249000,29.640000,752889.000000,752.889000,1.117318,1600.262500,,,,,,,,,,,
96,random,2000,0.000000,True,True,formal_main_scalability_uniform,2543363866,3100885707,3237495.000000,61724.000000,1565838.000000,7020,323968.726500,906.367000,324875.093500,2000,2000,2303,1811,,,,,,,,,,,,,,,,,,,,4.384500,,617.761572,DQTA(k_max=3),0,22.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6114,0.327118,782.919000,30.862000,1627562.000000,813.781000,1.104362,3237.495000,,,,,,,,,,,
96,random,3000,0.000000,True,True,formal_main_scalability_uniform,355316633,2614597381,4739701.250000,90839.000000,2434946.000000,10124,717373.291625,1399.151000,718772.442625,3000,3000,3192,2621,,,,,,,,,,,,,,,,,,,,4.558667,,632.951286,DQTA(k_max=3),0,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8813,0.340406,811.648667,30.279667,2525785.000000,841.928333,1.144601,4739.701250,,,,,,,,,,,
96,random,4000,0.000000,True,True,formal_main_scalability_uniform,1618061584,4174948092,6399051.250000,125760.000000,3345602.000000,13582,1294506.321000,1924.321000,1296430.642000,4000,4000,4225,3571,,,,,,,,,,,,,,,,,,,,4.710500,,625.092665,DQTA(k_max=3),0,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11796,0.339098,836.400500,31.440000,3471362.000000,867.840500,1.120134,6399.051250,,,,,,,,,,,
96,random,5000,0.000000,True,True,formal_main_scalability_uniform,2859657486,3961689347,7966200.000000,158005.000000,4258515.000000,16736,1996513.013500,2445.267500,1998958.281000,5000,5000,5068,4445,,,,,,,,,,,,,,,,,,,,4.804200,,627.651829,DQTA(k_max=3),0,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14513,0.344519,851.703000,31.601000,4416520.000000,883.304000,1.124859,7966.200000,,,,,,,,,,,
96,random,6000,0.000000,True,True,formal_main_scalability_uniform,1272437194,1130254529,9716313.750000,196193.000000,5214298.000000,20362,2913750.280500,2999.535000,2916749.815500,6000,6000,6140,5481,,,,,,,,,,,,,,,,,,,,4.910167,,617.518141,DQTA(k_max=3),0,26.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17621,0.340503,869.049667,32.698833,5410491.000000,901.748500,1.094691,9716.313750,,,,,,,,,,,
96,random,7000,0.000000,True,True,formal_main_scalability_uniform,1368844119,4102083945,11381071.250000,231409.000000,6170020.000000,23884,3993475.703750,3547.828000,3997023.531750,7000,7000,7228,6437,,,,,,,,,,,,,,,,,,,,4.986000,,615.056338,DQTA(k_max=3),0,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20665,0.338737,881.431429,33.058429,6401429.000000,914.489857,1.087463,11381.071250,,,,,,,,,,,
96,random,8000,0.000000,True,True,formal_main_scalability_uniform,438879622,3460327388,13170765.000000,270727.000000,7158063.000000,27812,5255336.703250,4120.485500,5259457.188750,8000,8000,8566,7497,,,,,,,,,,,,,,,,,,,,5.067750,,607.405872,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24063,0.332461,894.757875,33.840875,7428790.000000,928.598750,1.067094,13170.765000,,,,,,,,,,,
96,random,9000,0.000000,True,True,formal_main_scalability_uniform,2151577217,281704255,14758077.500000,303475.000000,8122520.000000,31266,6647463.927375,4668.210000,6652132.137375,9000,9000,9700,8377,,,,,,,,,,,,,,,,,,,,5.115444,,609.835529,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27077,0.332385,902.502222,33.719444,8425995.000000,936.221667,1.074370,14758.077500,,,,,,,,,,,
96,random,10000,0.000000,True,True,formal_main_scalability_uniform,4112675601,1830559599,16301643.750000,335112.000000,9098018.000000,34674,8150632.112125,5219.233000,8155851.345125,10000,10000,10851,9215,,,,,,,,,,,,,,,,,,,,5.161000,,613.435072,DQTA(k_max=3),0,27.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30066,0.332602,909.801800,33.511200,9433130.000000,943.313000,1.085187,16301.643750,,,,,,,,,,,
