TOTAL_TAGS,algorithm_name,metric,mean,std,p95,ci95,n
1000,DQTA(k_max=3),total_protocol_time_ms,1636.439600,15.329211,1660.038000,4.249040,50
1000,DQTA(k_max=3),throughput_tags_per_sec,611.135458,5.742699,622.115596,1.591795,50
1000,DQTA(k_max=3),system_efficiency,0.333847,0.005287,0.342466,0.001465,50
1000,DQTA(k_max=3),collision_slots,926.080000,14.298337,948.100000,3.963297,50
1000,DQTA(k_max=3),idle_slots,1070.040000,44.216517,1141.150000,12.256193,50
1000,DQTA(k_max=3),total_energy_uj,83112.174195,928.249842,84260.697300,257.297729,50
1000,DQTA(k_max=3),total_listening_energy_uj,82687.103045,926.425082,83833.508875,256.791931,50
1000,DQTA(k_max=3),total_transmission_energy_uj,425.071150,2.316246,428.252575,0.642031,50
1000,DQTA(k_max=3),total_bits,758048.960000,3208.586541,762533.100000,889.374814,50
1000,DQTA(k_max=3),avg_tag_bits,727.351180,2.756127,731.298150,0.763959,50
1000,DQTA(k_max=3),avg_reader_bits,30.697780,0.505682,31.466650,0.140168,50
1000,DQTA(k_max=3),avg_total_bits,758.048960,3.208587,762.533100,0.889375,50
1000,DQTA(k_max=3),avg_query_efficiency,1.080074,0.016763,1.113711,0.004647,50
1000,DQTA(k_max=3),peak_stack_depth,19.580000,1.108225,21.000000,0.307184,50
1000,DQTA(k_max=3),avg_tag_responses,4.051400,0.016526,4.075000,0.004581,50
1000,DRCT,total_protocol_time_ms,1482.377075,18.757404,1510.941250,5.199287,50
1000,DRCT,throughput_tags_per_sec,674.697412,8.485937,685.468944,2.352182,50
1000,DRCT,system_efficiency,0.345940,0.006614,0.354108,0.001833,50
1000,DRCT,collision_slots,1444.860000,27.887537,1492.250000,7.730031,50
1000,DRCT,idle_slots,446.860000,27.887537,494.250000,7.730031,50
1000,DRCT,total_energy_uj,74533.087798,1205.238532,76543.447506,334.075077,50
1000,DRCT,energy_per_tag_uj,74.533088,1.205239,76.543448,0.334075,50
1000,DRCT,total_reader_tx_energy_uj,105.786680,2.180631,109.493100,0.604440,50
1000,DRCT,total_tag_tx_energy_uj,69.378480,0.567949,70.196125,0.157427,50
1000,DRCT,total_listening_energy_uj,74357.922638,1203.124336,76365.701881,333.489052,50
1000,DRCT,total_transmission_energy_uj,175.165160,2.421952,178.667325,0.671331,50
1000,DRCT,total_bits,191650.300000,1807.535872,195049.250000,501.023382,50
1000,DRCT,avg_tag_bits,138.756960,1.135897,140.392250,0.314855,50
1000,DRCT,avg_reader_bits,52.893340,1.090316,54.746550,0.302220,50
1000,DRCT,avg_total_bits,191.650300,1.807536,195.049250,0.501023,50
1000,DRCT,avg_query_efficiency,0.692359,0.013247,0.708717,0.003672,50
1000,DRCT,peak_stack_depth,9.640000,0.562792,10.000000,0.155998,50
1000,DRCT,avg_tag_responses,11.301980,0.064696,11.415600,0.017933,50
1000,EAQ_CBB,total_protocol_time_ms,2235.118700,14.949746,2258.188562,4.143858,50
1000,EAQ_CBB,throughput_tags_per_sec,447.423150,2.993012,452.432397,0.829621,50
1000,EAQ_CBB,system_efficiency,0.546930,0.005378,0.555895,0.001491,50
1000,EAQ_CBB,collision_slots,828.560000,17.975221,856.000000,4.982477,50
1000,EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
1000,EAQ_CBB,total_energy_uj,112231.481147,798.467375,113480.317681,221.323865,50
1000,EAQ_CBB,total_listening_energy_uj,111868.937128,796.534734,113114.542956,220.788164,50
1000,EAQ_CBB,total_transmission_energy_uj,362.544020,2.251220,365.600575,0.624006,50
1000,EAQ_CBB,total_bits,286719.880000,2612.897443,290181.050000,724.258220,50
1000,EAQ_CBB,avg_tag_bits,140.597160,2.011732,143.342550,0.557624,50
1000,EAQ_CBB,avg_reader_bits,146.122720,0.652191,147.105500,0.180778,50
1000,EAQ_CBB,avg_total_bits,286.719880,2.612897,290.181050,0.724258,50
1000,EAQ_CBB,avg_query_efficiency,1.207471,0.026226,1.251723,0.007269,50
1000,EAQ_CBB,peak_stack_depth,247.900000,2.501020,251.000000,0.693247,50
1000,EAQ_CBB,avg_tag_responses,3.785840,0.042274,3.845100,0.011718,50
1000,EMDT,total_protocol_time_ms,1331.055700,33.952146,1390.535125,9.411055,50
1000,EMDT,throughput_tags_per_sec,751.759500,19.055788,782.468231,5.281995,50
1000,EMDT,system_efficiency,0.569149,0.024820,0.610371,0.006880,50
1000,EMDT,collision_slots,554.160000,38.798990,618.350000,10.754531,50
1000,EMDT,idle_slots,206.160000,39.808398,274.100000,11.034325,50
1000,EMDT,total_energy_uj,66794.997660,2182.303556,70634.402813,604.903684,50
1000,EMDT,total_listening_energy_uj,66668.650380,2183.499780,70509.581413,605.235260,50
1000,EMDT,total_transmission_energy_uj,126.347280,2.331770,129.393000,0.646334,50
1000,EMDT,total_bits,167999.400000,2270.103522,171075.300000,629.240593,50
1000,EMDT,avg_tag_bits,139.767680,1.527299,141.946400,0.423346,50
1000,EMDT,avg_reader_bits,28.231720,0.823258,29.276500,0.228196,50
1000,EMDT,avg_total_bits,167.999400,2.270104,171.075300,0.629241,50
1000,EMDT,avg_query_efficiency,1.813155,0.126069,2.022451,0.034945,50
1000,EMDT,peak_stack_depth,34.440000,1.655664,37.550000,0.458927,50
1000,EMDT,avg_tag_responses,4.529240,0.061296,4.638200,0.016990,50
1000,FHS_RAC,total_protocol_time_ms,1513.248500,7.807367,1524.031875,2.164092,50
1000,FHS_RAC,throughput_tags_per_sec,660.847254,3.413362,667.361057,0.946136,50
1000,FHS_RAC,system_efficiency,0.554070,0.004801,0.563095,0.001331,50
1000,FHS_RAC,collision_slots,631.700000,7.972529,642.650000,2.209872,50
1000,FHS_RAC,idle_slots,173.260000,13.017743,190.200000,3.608334,50
1000,FHS_RAC,total_energy_uj,75873.650183,491.662700,76626.932763,136.281947,50
1000,FHS_RAC,total_listening_energy_uj,75705.738263,490.658682,76457.645463,136.003648,50
