TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,0.3338,0.3459,0.5469,0.5691,0.5541,0.3260,0.2150,0.5003,0.4902,0.2569,0.3542,0.4131,0.6733,0.0000
2000,0.3305,0.3468,0.5459,0.5828,0.5566,0.3278,0.1495,0.5001,0.4949,0.2574,0.3543,0.4133,0.7786,0.0000
3000,0.3394,0.3460,0.5456,0.5425,0.5550,0.3243,0.1248,0.5001,0.4966,0.2570,0.3540,0.4133,0.8233,0.0000
4000,0.3432,0.3462,0.5467,0.5265,0.5542,0.3223,0.1025,0.5001,0.4975,0.2571,0.3545,0.4126,0.8424,0.0000
5000,0.3420,0.3461,0.5460,0.5175,0.5549,0.3208,0.0844,0.5001,0.4980,0.2571,0.3545,0.4121,0.8501,0.0000
6000,0.3400,0.3463,0.5461,0.5060,0.5554,0.3212,0.0722,0.5000,0.4983,0.2572,0.3545,0.4126,0.8527,0.0000
7000,0.3365,0.3466,0.5460,0.5001,0.5565,0.3221,0.0690,0.5000,0.4985,0.2574,0.3546,0.4124,0.8527,0.0000
8000,0.3342,0.3464,0.5457,0.4952,0.5570,0.3239,0.0674,0.5000,0.4987,0.2573,0.3544,0.4120,0.8498,0.0000
9000,0.3322,0.3462,0.5464,0.4957,0.5569,0.3250,0.0645,0.5000,0.4989,0.2572,0.3543,0.4119,0.8455,0.0000
10000,0.3305,0.3463,0.5460,0.5029,0.5562,0.3259,0.0618,0.5000,0.4990,0.2572,0.3543,0.4125,0.8403,0.0000
