TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,611.1355,674.6974,447.4231,751.7595,660.8473,766.5616,386.1704,490.8592,389.1547,395.5062,552.7029,1674.9243,570.0632,858.6038
2000,619.1459,670.4293,446.8465,741.0080,655.4817,763.1404,282.5011,487.7548,388.1605,393.8228,549.7205,1864.2354,719.7906,859.6296
3000,629.9082,665.5462,446.6371,707.4012,650.3775,758.2632,240.3294,485.9761,387.5909,391.8972,547.2358,1983.0155,798.6478,890.6814
4000,628.8646,663.8539,447.2373,706.4302,647.0088,755.6370,201.2773,484.7280,387.1908,391.0634,546.6512,2092.0106,840.5395,859.2492
5000,623.2903,661.9117,446.8846,717.3698,645.3250,754.3701,168.4358,483.7799,386.8865,390.2773,545.6698,2169.4053,863.9330,854.5666
6000,618.4304,660.6406,446.9489,723.0641,643.8824,754.4781,145.9410,483.0005,386.6360,389.8197,544.9815,2223.7152,877.6686,906.0897
7000,613.8395,659.9420,446.8829,728.6560,643.1192,754.1849,139.7698,482.3544,386.4281,389.5422,544.2131,2283.5207,885.9646,886.6399
8000,612.3258,658.3061,446.7155,728.6678,642.1559,755.0367,136.6920,481.7931,386.2473,388.9359,543.5912,2343.7532,889.4278,862.3325
9000,610.6517,657.0506,447.0830,729.2366,640.8962,755.3386,131.2979,481.2960,386.0871,388.4274,542.6989,2385.7318,890.0321,880.7365
10000,610.3146,656.2017,446.8907,731.1036,639.4414,755.3322,126.0891,480.8562,385.9453,388.1246,542.1372,2417.8106,888.7048,855.8197
