TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,758048.9600,191650.3000,286719.8800,167999.4000,160361.1600,172964.5000,254354.4800,1087929.5800,809396.5800,285427.2200,265732.1200,228969.8600,182311.2600,223880.6400
2000,1627641.5600,390672.5000,574110.2400,345811.7600,321792.2800,352418.5000,668581.7600,2350339.7000,1790118.3800,577423.6200,536851.2400,447716.1200,340194.9000,446524.2000
3000,2528055.9000,594957.4600,861726.0800,517850.0800,484588.7400,534522.4600,1159892.0400,3676242.4200,2836456.7600,872567.3200,810271.4400,663795.4000,497751.7200,619144.8000
4000,3461636.5200,798976.1600,1146984.5400,684828.1200,647796.9800,718185.4400,1816847.5200,5043382.8000,3924027.7600,1169012.6000,1084526.0800,875074.9600,657455.0400,905097.7600
5000,4422891.0400,1005548.7400,1434742.8600,848401.9200,810618.1000,902434.7400,2675099.2400,6440987.6000,5042080.9600,1466846.5600,1360024.8000,1085706.4000,819276.7800,1145765.2000
6000,5402842.5600,1213622.4200,1721386.6000,1012558.5600,973665.1800,1087243.2800,3669598.6800,7863375.7000,6184907.3800,1765425.8000,1636200.6400,1298796.9000,982766.8200,1199623.5200
7000,6400669.6000,1421264.7600,2009601.2200,1178985.8000,1136325.5000,1273478.8600,4459394.0800,9305398.1000,7347385.1600,2064558.6400,1913151.2400,1505913.5200,1147542.5000,1482853.0000
8000,7403203.5800,1632631.3600,2296925.1800,1352234.0800,1299455.7000,1458739.7200,5202777.9600,10763914.5000,8526341.1600,2365142.9400,2190643.7600,1712127.5000,1314686.7600,1809242.6800
9000,8419735.6600,1844172.5400,2581362.6400,1531403.1200,1463291.0200,1645287.2200,6077259.3600,12237701.5000,9720561.2600,2666310.2400,2469030.0000,1922128.6200,1483797.4600,1935878.7600
10000,9442735.2600,2056150.7600,2869612.3400,1722047.0000,1627846.6200,1832989.0600,7015423.0800,13724862.6800,10926077.9200,2967636.1200,2747583.2800,2130935.6000,1654770.0600,2299693.7600
