TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,83112.1742,74533.0878,112231.4811,66794.9977,75873.6502,66214.5167,147593.4339,102952.4848,129697.0176,127136.4630,90887.7852,26763.8646,89409.4621,58309.9017
2000,325809.0587,299909.8839,448608.4077,270542.6271,305635.7417,263307.0664,823791.3179,412415.8458,517874.0528,509735.7029,365036.2109,95979.8248,283280.0302,232862.8483
3000,719114.7051,678741.7553,1008811.3356,636399.0434,692704.0426,600015.8496,2201149.8758,929735.6834,1165107.8135,1151166.0001,824037.9214,202569.5304,571621.6836,504526.7888
4000,1279508.0662,1208917.1507,1790746.4239,1131588.4785,1237251.8674,1076418.9503,4818776.3456,1655562.4954,2071792.8951,2048829.0319,1465086.7232,340002.5385,962649.6808,931367.5905
5000,2013474.6740,1894642.0738,2799876.5245,1742248.8202,1937933.6266,1690239.5189,9268310.4986,2590381.1299,3238123.3249,3207786.7271,2293842.0105,513933.0359,1461127.2488,1468215.3320
6000,2919842.0272,2731430.0181,4029967.5000,2489835.5396,2797545.0863,2433573.8391,15569769.6675,3734802.2408,4664299.2491,4621870.1042,3305622.1621,719031.9594,2068259.2346,1979847.0150
7000,4003185.4655,3722978.2040,5485174.9482,3361906.1876,3812655.0417,3311243.5259,21480774.6735,5088836.1118,6350492.7192,6298013.4708,4507500.0848,950165.4499,2784074.3518,2759722.4609
8000,5236402.9478,4874874.8673,7165114.6512,4390046.2476,4985736.4669,4311932.0746,27887754.0223,6653059.0825,8296798.2580,8239678.3032,5893647.4451,1212470.8718,3617950.6275,3710150.0175
9000,6647827.4578,6176600.1482,9063419.8576,5554458.7971,6321743.9925,5444618.5259,36359064.4653,8427479.7175,10503487.8050,10436356.1052,7468888.2625,1507468.0008,4573900.5787,4611634.9964
10000,8208121.1196,7637771.8100,11195473.5313,6842290.5702,7824451.2387,6706529.2807,46677056.8734,10412460.6484,12970437.6930,12897464.7433,9231426.1073,1839177.7985,5650229.8070,5863267.3446
