TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,82687.1030,74357.9226,111868.9371,66668.6504,75705.7383,66072.8830,147312.6073,102312.9846,129070.6896,126872.0615,90665.0231,26617.4116,89239.8738,58195.5695
2000,324902.9630,299551.4151,447882.6076,270282.7583,305294.7865,263019.0259,823015.2336,411043.5781,516531.1247,509196.7470,364582.9065,95697.2744,282990.9608,232634.8956
3000,717713.2201,678194.6543,1007722.1341,636011.3471,692186.1679,599578.6069,2199776.6421,927596.6111,1163014.2896,1150347.3618,823350.6384,202153.8819,571214.3289,504212.1555
4000,1277590.4701,1208181.0386,1789295.9215,1131082.8721,1236555.4875,1075831.6190,4816580.3806,1652634.5149,2068927.4167,2047728.8352,1464164.4930,339458.2241,962120.4968,930909.7220
5000,2011023.8095,1893714.4958,2798062.3424,1741632.6014,1937059.0196,1689502.1808,9265016.7176,2586647.9722,3234470.1325,3206402.7183,2292682.8933,513260.4957,1460472.6720,1467637.0070
6000,2916847.4348,2730309.9706,4027790.7410,2489108.7648,2796491.3401,2432686.7256,15565192.3748,3730250.5927,4659845.4953,4620201.2444,3304225.2355,718230.0055,2067476.5328,1979241.5932
7000,3999637.2557,3721665.6858,5482634.5934,3361067.2259,3811422.6281,3310205.1693,21475192.7230,5083455.4993,6345228.2499,6296058.9727,4505864.1555,949238.3213,2783161.3673,2758975.3485
8000,5232300.5993,4873366.3399,7162210.8583,4389086.4124,4984324.1026,4310743.8355,27881231.0803,6646840.6152,8290714.5124,8237435.6105,5891771.7280,1211420.1431,3616903.4153,3709239.6825
9000,6643163.1924,6174895.2356,9060155.5019,5553371.5105,6320149.9889,5443279.4593,36351422.1059,8420415.1870,10496576.8645,10433824.3378,7466771.2914,1506291.0084,4572715.9177,4610661.2735
10000,8202893.0202,7635870.4647,11191845.1428,6841062.9108,7822673.9095,6705038.5066,46668207.9594,10404542.9232,12962693.6975,12894643.7939,9229067.7796,1837874.9822,5648904.5931,5862111.4838
