TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,1636.4396,1482.3771,2235.1187,1331.0557,1513.2485,1304.5864,2590.8255,2037.2440,2569.6721,2528.7446,1809.4346,598.8265,1754.2880,1165.3393
2000,3230.5713,2983.4778,4475.8989,2699.5435,3051.2382,2620.8361,7083.7380,4100.4213,5152.5081,5078.8427,3638.3951,1074.3264,2778.6150,2327.2393
3000,4762.8030,4507.8643,6716.9410,4241.5723,4612.7347,3956.4714,12485.9212,6173.1430,7740.1190,7655.4503,5482.2567,1514.3526,3756.4129,3369.5177
4000,6360.9545,6025.6505,8943.8641,5663.0065,6182.3385,5293.6194,19876.6854,8252.0515,10330.8232,10228.8339,7317.4105,1913.2006,4758.9060,4655.8224
5000,8022.1489,7554.0415,11188.6330,6970.8472,7748.0803,6628.0882,29688.9994,10335.2795,12923.6873,12811.6233,9163.1498,2305.8316,5787.5511,5851.5363
6000,9702.1749,9082.3821,13424.4662,8298.6404,9318.4994,7952.5894,41137.7510,12422.3477,15518.4714,15392.0994,11009.6908,2699.3495,6836.3877,6623.6871
7000,11403.8718,10607.1941,15664.1311,9607.4304,10884.4896,9281.6104,50128.5990,14512.1525,18114.6237,17970.0753,12862.7190,3066.6004,7901.1196,7895.6051
8000,13065.1784,12152.7090,17908.6309,10979.9139,12458.0833,10595.6045,58559.8618,16604.6382,20712.1166,20569.3779,14717.1071,3414.9225,8994.6928,9277.9052
9000,14738.6638,13697.8688,20130.5938,12342.4755,14042.8942,11915.2503,68564.3958,18699.5122,23310.8036,23170.7365,16583.9342,3773.4727,10112.1192,10220.1580
10000,16385.1871,15239.5649,22376.9439,13678.9495,15638.6894,13239.2702,79335.5951,20796.2378,25910.4083,25765.4037,18445.6965,4136.8438,11252.5449,11685.3014
