TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,3459.6600,4337.5800,1829.5600,1760.3200,1804.9600,3458.1800,4656.0400,1999.0000,1958.0400,2446.8600,1723.5800,706.8200,1959.8000,2887.3000
2000,6957.8000,8651.7600,3664.6400,3432.9800,3593.6000,6883.2400,13387.6800,3999.0000,3957.0000,4884.9200,3445.1400,1256.2200,3137.2600,5770.0200
3000,10160.9400,13008.4200,5499.9200,5530.9800,5405.2800,10441.3600,24039.0200,5999.0000,5957.0000,7337.1400,5173.1600,1760.4600,4288.9800,8974.8600
4000,13427.5400,17334.8400,7318.2000,7598.9600,7217.6000,14009.2200,39016.4000,7999.0000,7957.0000,9779.2800,6887.9600,2214.8400,5497.5000,11435.0000
5000,16869.2800,21671.8200,9158.4800,9663.5200,9010.8000,17583.5600,59279.7400,9999.0000,9957.0000,12224.9400,8608.8800,2666.2400,6763.4600,14346.2800
6000,20382.7800,25990.3200,10987.8000,11859.0400,10803.0000,21064.8000,83105.8600,11999.0000,11957.0000,14664.4400,10327.8400,3111.1000,8073.8600,17988.7400
7000,24029.3000,30292.0200,12821.4000,13998.8400,12578.5600,24509.3600,101583.4400,13999.0000,13957.0000,17098.3400,12050.5600,3526.3800,9419.1400,20253.2000
8000,27634.8400,34643.4600,14661.4400,16158.3600,14362.2400,27860.2600,118834.9400,15999.0000,15957.0000,19548.8200,13772.3400,3922.2400,10827.5400,22746.1800
9000,31275.6400,38993.4600,16473.7200,18159.7400,16161.5600,31236.7600,139506.9600,17999.0000,17957.0000,21998.8200,15503.9600,4329.6000,12288.8400,26205.6400
10000,34904.6600,43318.7400,18315.8400,19889.1200,17978.4000,34618.9400,161854.6200,19999.0000,19956.7600,24440.5800,17229.4000,4735.0000,13800.5400,28519.8000
