TOTAL_TAGS,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
1000,425.0711,175.1652,362.5440,126.3473,167.9119,141.6337,280.8266,639.5001,626.3281,264.4015,222.7621,146.4530,169.5883,114.3322
2000,906.0956,358.4688,725.8000,259.8688,340.9552,288.0405,776.0843,1372.2677,1342.9281,538.9559,453.3045,282.5504,289.0694,227.9527
3000,1401.4850,547.1010,1089.2016,387.6963,517.8747,437.2427,1373.2337,2139.0723,2093.5239,818.6384,687.2830,415.6485,407.3547,314.6333
4000,1917.5961,736.1121,1450.5024,505.6063,696.3799,587.3313,2195.9650,2927.9806,2865.4785,1100.1967,922.2301,544.3144,529.1840,457.8685
5000,2450.8644,927.5780,1814.1820,616.2187,874.6069,737.3381,3293.7810,3733.1577,3653.1924,1384.0088,1159.1171,672.5402,654.5768,578.3250
6000,2994.5923,1120.0476,2176.7590,726.7747,1053.7461,887.1135,4577.2927,4551.6481,4453.7538,1668.8598,1396.9267,801.9539,782.7017,605.4218
7000,3548.2098,1312.5182,2540.3547,838.9617,1232.4136,1038.3566,5581.9506,5380.6124,5264.4693,1954.4981,1635.9293,927.1286,912.9845,747.1124
8000,4102.3485,1508.5274,2903.7929,959.8352,1412.3643,1188.2391,6522.9420,6218.4672,6083.7456,2242.6927,1875.7170,1050.7287,1047.2122,910.3350
9000,4664.2654,1704.9126,3264.3557,1087.2866,1594.0037,1339.0666,7642.3594,7064.5305,6910.9405,2531.7674,2116.9710,1176.9924,1184.6611,973.7230
10000,5228.0994,1901.3453,3628.3886,1227.6594,1777.3292,1490.7742,8848.9140,7917.7252,7743.9955,2820.9494,2358.3277,1302.8163,1325.2139,1155.8608
