scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",1.0771,0.6713,0.9631,1.6856,0.0684,0.9927,0.5355,3.5894
"scenario_label=clustered,ber=0.0001",1.0744,0.6712,0.9563,1.6604,0.0682,0.9925,0.5346,3.5569
"scenario_label=clustered,ber=0.001",1.0547,0.6713,0.9521,1.5121,0.0682,0.9927,0.5256,3.2862
"scenario_label=clustered,ber=1e-05",1.0767,0.6708,0.9584,1.6758,0.0685,0.9924,0.5357,3.5822
"scenario_label=dispersed,ber=0.0",0.6883,0.2874,0.7728,1.6868,0.0681,0.9959,0.6084,14.4125
"scenario_label=dispersed,ber=0.0001",0.6782,0.2773,0.7932,1.6584,0.0684,0.9959,0.6085,5.6116
"scenario_label=dispersed,ber=0.001",0.7184,0.2979,0.8345,1.5125,0.0684,0.9959,0.6078,3.2179
"scenario_label=dispersed,ber=1e-05",0.6915,0.2968,0.7733,1.6844,0.0688,0.9959,0.6088,7.3917
"scenario_label=prefix80,ber=0.0",1.1688,0.7954,1.2024,1.6772,0.0686,0.9959,0.6081,19.4932
"scenario_label=prefix80,ber=0.0001",1.1672,0.7960,1.2037,1.6562,0.0682,0.9959,0.6084,19.1812
"scenario_label=prefix80,ber=0.001",1.1653,0.7948,1.2042,1.5205,0.0688,0.9959,0.6081,16.8121
"scenario_label=prefix80,ber=1e-05",1.1668,0.7956,1.2035,1.6803,0.0686,0.9959,0.6083,19.4644
"scenario_label=random,ber=0.0",1.0784,0.6946,1.2041,1.6818,0.0686,0.9959,0.5488,5.2786
"scenario_label=random,ber=0.0001",1.0676,0.6922,1.2031,1.6572,0.0685,0.9959,0.5438,5.0467
"scenario_label=random,ber=0.001",0.9946,0.6931,1.2038,1.5119,0.0684,0.9959,0.5031,3.5749
"scenario_label=random,ber=1e-05",1.0770,0.6927,1.2045,1.6800,0.0686,0.9959,0.5482,5.2361
"scenario_label=sequential,ber=0.0",1.7473,0.9915,1.1092,1.6777,0.0682,0.9906,0.7497,31.7460
"scenario_label=sequential,ber=0.0001",1.7473,0.9915,1.1058,1.6694,0.0683,0.9906,0.7497,31.2011
"scenario_label=sequential,ber=0.001",1.7473,0.9915,1.1080,1.5206,0.0681,0.9906,0.7497,26.7597
"scenario_label=sequential,ber=1e-05",1.7473,0.9915,1.1085,1.6765,0.0684,0.9906,0.7497,31.6659
