scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",90.3755,152.8177,177.3121,24.3379,356.9881,212.5341,170.8932,54.8260
"scenario_label=clustered,ber=0.0001",90.6396,152.8380,177.6106,24.5970,357.6282,212.5225,170.9467,54.9209
"scenario_label=clustered,ber=0.001",92.6936,152.8399,178.0095,25.8633,357.6152,212.5400,172.6725,55.8237
"scenario_label=clustered,ber=1e-05",90.4069,152.9068,177.6113,24.4437,356.3262,212.5132,171.1383,54.8666
"scenario_label=dispersed,ber=0.0",163.8482,428.0251,234.0188,24.4062,358.3002,223.6260,60.1107,30.7383
"scenario_label=dispersed,ber=0.0001",163.8771,436.4812,230.6789,24.6792,356.5990,223.7477,60.1038,42.4577
"scenario_label=dispersed,ber=0.001",156.7235,411.0951,226.0733,25.9044,356.8800,223.6157,60.1422,55.8081
"scenario_label=dispersed,ber=1e-05",163.8534,415.1204,234.6019,24.3814,355.2068,223.8788,60.0824,40.3060
"scenario_label=prefix80,ber=0.0",99.0523,153.8553,212.7810,24.3800,355.7861,231.4332,60.1266,29.3225
"scenario_label=prefix80,ber=0.0001",99.1912,153.7407,212.6767,24.5201,357.8843,231.4332,60.1022,29.3559
"scenario_label=prefix80,ber=0.001",99.3577,153.9662,212.6436,25.8140,354.8695,231.4328,60.1243,29.6502
"scenario_label=prefix80,ber=1e-05",99.2274,153.8123,212.6939,24.3974,355.7040,231.4323,60.1076,29.3255
"scenario_label=random,ber=0.0",33.7344,58.0531,146.2061,24.4793,356.0396,152.0641,65.6203,33.1574
"scenario_label=random,ber=0.0001",34.7452,58.2605,146.2311,24.5629,356.3634,152.0624,65.9700,33.5019
"scenario_label=random,ber=0.001",42.8961,58.1797,146.2124,25.8624,356.7305,152.0643,69.0436,36.7654
"scenario_label=random,ber=1e-05",33.8460,58.2142,146.1969,24.4311,356.0628,152.0666,65.6689,33.2310
"scenario_label=sequential,ber=0.0",67.0128,126.6840,222.9900,24.4203,357.7914,232.9525,47.7960,26.3434
"scenario_label=sequential,ber=0.0001",67.0128,126.6840,223.3147,24.5125,357.2280,232.9525,47.7960,26.3655
"scenario_label=sequential,ber=0.001",67.0128,126.6840,223.1105,25.8376,358.4911,232.9525,47.7960,26.5788
"scenario_label=sequential,ber=1e-05",67.0128,126.6840,223.0591,24.4196,356.7350,232.9525,47.7960,26.3466
