scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",514.4090,324.7873,141.9955,147.6675,346.1480,429.0695,268.9390,99.9929
"scenario_label=clustered,ber=0.0001",524.4380,324.7653,142.5223,148.4116,346.6169,429.3451,268.8422,99.9357
"scenario_label=clustered,ber=0.001",525.8212,324.7372,144.2629,153.9919,346.5698,432.8993,268.9935,101.0441
"scenario_label=clustered,ber=1e-05",523.9898,324.7991,142.3836,147.7724,345.5934,427.6004,269.2399,99.7615
"scenario_label=dispersed,ber=0.0",537.9559,364.4055,93.3752,147.7556,347.0771,266.4457,78.0127,86.3000
"scenario_label=dispersed,ber=0.0001",531.0613,364.9337,90.9184,148.4838,345.8606,267.6170,77.8334,97.3498
"scenario_label=dispersed,ber=0.001",513.4222,363.8271,88.8174,154.0307,346.0432,265.3028,78.1933,112.0976
"scenario_label=dispersed,ber=1e-05",528.1290,364.7182,92.6134,147.7617,344.8108,261.9038,78.0124,89.1105
"scenario_label=prefix80,ber=0.0",84.8097,378.6262,29.1972,147.6432,345.2265,91.7146,47.8329,42.0000
"scenario_label=prefix80,ber=0.0001",84.8087,378.6270,29.1882,148.2852,346.8214,91.7000,47.8329,42.0067
"scenario_label=prefix80,ber=0.001",84.8107,378.6391,29.1781,154.0204,344.5311,91.7097,47.8330,42.0655
"scenario_label=prefix80,ber=1e-05",84.8103,378.6304,29.1747,147.7526,345.1977,91.7007,47.8327,42.0006
"scenario_label=random,ber=0.0",910.3785,147.3724,140.7230,147.8005,345.4110,940.3759,209.1220,132.2808
"scenario_label=random,ber=0.0001",910.5152,147.3804,140.8105,148.3441,345.6471,940.3606,209.1386,133.0458
"scenario_label=random,ber=0.001",910.4522,147.3951,140.7321,153.9727,345.9721,940.6088,209.2890,140.0966
"scenario_label=random,ber=1e-05",910.5312,147.4621,140.6535,147.7849,345.4289,940.7462,209.1266,132.3682
"scenario_label=sequential,ber=0.0",65.9744,384.0614,27.2312,147.6982,346.6599,64.4288,42.0000,35.9936
"scenario_label=sequential,ber=0.0001",65.9744,384.0614,27.2912,148.3708,346.2989,64.4288,42.0000,35.9969
"scenario_label=sequential,ber=0.001",65.9744,384.0614,27.2575,154.0171,347.1440,64.4288,42.0000,36.0289
"scenario_label=sequential,ber=1e-05",65.9744,384.0614,27.2729,147.7458,345.9534,64.4288,42.0000,35.9941
