scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",5.7825,75.6173,4.3569,5.3111,254.6794,11.9092,39.7695,6.5893
"scenario_label=clustered,ber=0.0001",5.8371,75.6200,4.3728,5.3236,255.2915,11.8978,39.7411,6.5843
"scenario_label=clustered,ber=0.001",5.8643,75.6165,4.4102,5.3821,253.2985,11.9624,39.7867,6.6707
"scenario_label=clustered,ber=1e-05",5.8327,75.6198,4.3667,5.3177,251.8970,11.8674,39.8400,6.5709
"scenario_label=dispersed,ber=0.0",9.8429,88.7574,5.1953,5.3125,256.2205,11.5766,9.3074,5.6200
"scenario_label=dispersed,ber=0.0001",9.7703,88.9417,5.0801,5.3271,253.0756,11.5756,9.3076,7.0779
"scenario_label=dispersed,ber=0.001",9.5188,88.5889,4.9400,5.3849,253.5614,11.5755,9.3088,8.6245
"scenario_label=dispersed,ber=1e-05",9.8725,88.8926,5.1937,5.3128,251.8418,11.5750,9.3062,6.2373
"scenario_label=prefix80,ber=0.0",5.0637,94.1411,3.7916,5.3181,251.9928,11.5755,9.3080,4.0000
"scenario_label=prefix80,ber=0.0001",5.0652,94.1414,3.7890,5.3266,254.3119,11.5752,9.3077,4.0017
"scenario_label=prefix80,ber=0.001",5.0661,94.1452,3.7878,5.3755,250.6784,11.5758,9.3077,4.0164
"scenario_label=prefix80,ber=1e-05",5.0649,94.1417,3.7880,5.3140,251.7418,11.5747,9.3072,4.0002
"scenario_label=random,ber=0.0",5.1646,14.6144,3.7886,5.3166,251.3485,11.6150,9.5610,4.2837
"scenario_label=random,ber=0.0001",5.1736,14.6254,3.7902,5.3258,252.2243,11.6148,9.5693,4.3012
"scenario_label=random,ber=0.001",5.2424,14.6200,3.7888,5.3844,252.9233,11.6176,9.6445,4.4642
"scenario_label=random,ber=1e-05",5.1663,14.6215,3.7871,5.3173,253.0685,11.6193,9.5633,4.2871
"scenario_label=sequential,ber=0.0",4.9984,96.0000,3.9743,5.3179,254.8932,10.9952,9.0000,4.0000
"scenario_label=sequential,ber=0.0001",4.9984,96.0000,3.9825,5.3165,253.6715,10.9952,9.0000,4.0011
"scenario_label=sequential,ber=0.001",4.9984,96.0000,3.9787,5.3761,254.9222,10.9952,9.0000,4.0118
"scenario_label=sequential,ber=1e-05",4.9984,96.0000,3.9792,5.3176,253.0628,10.9952,9.0000,4.0002
