scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",604.7845,477.6050,319.3077,172.0054,703.1361,641.6036,439.8322,154.8190
"scenario_label=clustered,ber=0.0001",615.0777,477.6033,320.1330,173.0085,704.2451,641.8676,439.7888,154.8565
"scenario_label=clustered,ber=0.001",618.5148,477.5771,322.2724,179.8552,704.1850,645.4392,441.6659,156.8678
"scenario_label=clustered,ber=1e-05",614.3967,477.7059,319.9949,172.2161,701.9196,640.1136,440.3783,154.6281
"scenario_label=dispersed,ber=0.0",701.8041,792.4306,327.3941,172.1618,705.3772,490.0717,138.1233,117.0383
"scenario_label=dispersed,ber=0.0001",694.9383,801.4148,321.5972,173.1630,702.4596,491.3647,137.9372,139.8075
"scenario_label=dispersed,ber=0.001",670.1457,774.9222,314.8908,179.9351,702.9232,488.9184,138.3355,167.9057
"scenario_label=dispersed,ber=1e-05",691.9824,779.8386,327.2153,172.1431,700.0176,485.7826,138.0948,129.4165
"scenario_label=prefix80,ber=0.0",183.8621,532.4816,241.9782,172.0232,701.0126,323.1478,107.9595,71.3225
"scenario_label=prefix80,ber=0.0001",183.9999,532.3677,241.8649,172.8052,704.7057,323.1331,107.9351,71.3626
"scenario_label=prefix80,ber=0.001",184.1684,532.6053,241.8217,179.8344,699.4007,323.1425,107.9573,71.7157
"scenario_label=prefix80,ber=1e-05",184.0376,532.4428,241.8686,172.1500,700.9017,323.1330,107.9403,71.3261
"scenario_label=random,ber=0.0",944.1129,205.4255,286.9291,172.2798,701.4506,1092.4400,274.7423,165.4382
"scenario_label=random,ber=0.0001",945.2605,205.6410,287.0416,172.9070,702.0105,1092.4229,275.1087,166.5477
"scenario_label=random,ber=0.001",953.3483,205.5748,286.9445,179.8351,702.7025,1092.6731,278.3326,176.8620
"scenario_label=random,ber=1e-05",944.3772,205.6763,286.8504,172.2160,701.4917,1092.8128,274.7956,165.5992
"scenario_label=sequential,ber=0.0",132.9872,510.7454,250.2212,172.1185,704.4513,297.3813,89.7960,62.3370
"scenario_label=sequential,ber=0.0001",132.9872,510.7454,250.6058,172.8833,703.5269,297.3813,89.7960,62.3624
"scenario_label=sequential,ber=0.001",132.9872,510.7454,250.3680,179.8548,705.6351,297.3813,89.7960,62.6077
"scenario_label=sequential,ber=1e-05",132.9872,510.7454,250.3320,172.1654,702.6883,297.3813,89.7960,62.3407
