scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",9284.6800,14896.7400,10422.2400,5934.4600,146342.5000,10073.7600,18673.9200,2787.0400
"scenario_label=clustered,ber=0.0001",9307.7600,14899.1400,10518.0000,6024.6000,146635.5600,10075.2400,18706.1600,2812.3000
"scenario_label=clustered,ber=0.001",9481.7000,14897.3000,10580.9200,6615.6000,146606.1000,10073.2400,19025.9200,3043.8400
"scenario_label=clustered,ber=1e-05",9287.7200,14907.6600,10488.0800,5969.5200,145995.8600,10076.4800,18666.4800,2792.6200
"scenario_label=dispersed,ber=0.0",15165.2000,37730.2200,13255.4400,5930.2200,146923.1600,10041.1200,16437.5400,718.6200
"scenario_label=dispersed,ber=0.0001",15153.2600,38368.5400,12871.0000,6032.2600,146162.9000,10041.1200,16432.7800,2130.5200
"scenario_label=dispersed,ber=0.001",14475.0800,36143.0600,12373.0000,6613.9200,146276.9800,10041.1200,16453.4400,3527.9400
"scenario_label=dispersed,ber=1e-05",15145.9000,36507.3000,13253.3200,5938.9000,145506.7800,10041.1600,16426.7600,1704.6400
"scenario_label=prefix80,ber=0.0",8556.1600,12572.5000,8316.9200,5963.9200,145766.5400,10041.0800,16443.8600,513.0000
"scenario_label=prefix80,ber=0.0001",8567.7600,12562.9000,8307.7200,6040.1600,146763.3600,10041.2400,16437.4800,521.3600
"scenario_label=prefix80,ber=0.001",8581.9600,12581.3000,8304.6800,6578.9800,145331.9400,10041.1600,16444.0400,594.9200
"scenario_label=prefix80,ber=1e-05",8570.8600,12568.8200,8309.3600,5953.0800,145748.5600,10041.2400,16438.8400,513.7600
"scenario_label=random,ber=0.0",9272.9600,14398.2600,8305.4000,5948.0000,145881.8800,10041.4800,18223.5400,1895.5800
"scenario_label=random,ber=0.0001",9367.4800,14446.8200,8312.0400,6036.3400,146029.4600,10041.5600,18390.0400,1982.3600
"scenario_label=random,ber=0.001",10054.8800,14429.1000,8307.0000,6616.5000,146232.5400,10041.3200,19877.4000,2798.4800
"scenario_label=random,ber=1e-05",9285.0000,14437.9600,8302.8800,5954.6000,145893.0600,10041.2000,18241.1000,1911.0200
"scenario_label=sequential,ber=0.0",5723.0000,10086.0000,9015.8400,5962.8400,146662.4200,10095.0000,13339.0000,315.0000
"scenario_label=sequential,ber=0.0001",5723.0000,10086.0000,9043.1600,5991.9000,146436.8200,10095.0000,13339.0000,320.5200
"scenario_label=sequential,ber=0.001",5723.0000,10086.0000,9025.6000,6578.4800,146964.9800,10095.0000,13339.0000,373.8600
"scenario_label=sequential,ber=1e-05",5723.0000,10086.0000,9021.7600,5967.2200,146220.8600,10095.0000,13339.0000,315.8000
