scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",,1161.7511,,,,,,
"scenario_label=clustered,ber=0.0001",,1162.3608,,,,,,
"scenario_label=clustered,ber=0.001",,1161.2465,,,,,,
"scenario_label=clustered,ber=1e-05",,1162.8443,,,,,,
"scenario_label=dispersed,ber=0.0",1221.8733,3036.7167,1648.5271,683.5136,4697.7927,1519.4119,459.2994,337.8185
"scenario_label=dispersed,ber=0.0001",1222.8391,3096.6689,1623.0561,688.7237,4671.5033,1519.8131,459.4217,403.6140
"scenario_label=dispersed,ber=0.001",1172.4167,2917.5139,1589.6863,715.4119,4674.9852,1519.4140,459.5086,493.7768
"scenario_label=dispersed,ber=1e-05",1221.1247,2946.4581,1651.4309,683.7072,4650.7038,1520.1808,459.1171,390.7750
"scenario_label=prefix80,ber=0.0",,1096.5467,,,,,,
"scenario_label=prefix80,ber=0.0001",,1095.8472,,,,,,
"scenario_label=prefix80,ber=0.001",,1097.4405,,,,,,
"scenario_label=prefix80,ber=1e-05",,1096.2927,,,,,,
"scenario_label=random,ber=0.0",,762.3761,,,,,,
"scenario_label=random,ber=0.0001",,763.7298,,,,,,
"scenario_label=random,ber=0.001",,763.2907,,,,,,
"scenario_label=random,ber=1e-05",,763.7473,,,,,,
"scenario_label=sequential,ber=0.0",489.7849,905.0980,1496.4666,684.7068,4689.3479,1546.8051,358.3741,232.5443
"scenario_label=sequential,ber=0.0001",489.7849,905.0980,1499.0325,687.1435,4680.2584,1546.8051,358.3741,232.7097
"scenario_label=sequential,ber=0.001",489.7849,905.0980,1496.9522,715.1074,4698.7762,1546.8051,358.3741,234.3287
"scenario_label=sequential,ber=1e-05",489.7849,905.0980,1496.6912,685.6860,4670.6395,1546.8051,358.3741,232.5713
