scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",10960.4200,4898.7400,0.0000,3987.8800,5924.8000,5.7800,0.0000,0.0000
"scenario_label=clustered,ber=0.0001",10993.8000,4901.1400,0.0000,3970.5400,5922.7200,6.0800,0.0000,0.0000
"scenario_label=clustered,ber=0.001",10969.3800,4899.3000,0.0000,4003.6600,5946.2800,6.0800,0.0000,0.0000
"scenario_label=clustered,ber=1e-05",10986.5400,4909.6600,0.0000,3994.3200,5970.6000,6.2600,0.0000,0.0000
"scenario_label=dispersed,ber=0.0",2182.5400,27732.2200,0.0000,3952.0000,5940.5600,0.0000,0.0000,0.0000
"scenario_label=dispersed,ber=0.0001",2904.3600,28370.5400,0.0000,3960.1200,5927.5400,0.0000,0.0000,0.0000
"scenario_label=dispersed,ber=0.001",2697.7200,26145.0600,0.0000,3955.9200,5941.2200,0.0000,0.0000,0.0000
"scenario_label=dispersed,ber=1e-05",2702.3600,26509.3000,0.0000,3977.6600,5950.8400,0.0000,0.0000,0.0000
"scenario_label=prefix80,ber=0.0",8629.3400,2574.5000,0.0000,3991.0800,5954.4200,0.0000,0.0000,0.0000
"scenario_label=prefix80,ber=0.0001",8652.6400,2564.9000,0.0000,4004.9600,5911.3200,0.0000,0.0000,0.0000
"scenario_label=prefix80,ber=0.001",8627.4400,2583.3000,0.0000,3959.0800,5972.4000,0.0000,0.0000,0.0000
"scenario_label=prefix80,ber=1e-05",8621.4600,2570.8200,0.0000,3989.7600,5935.0600,0.0000,0.0000,0.0000
"scenario_label=random,ber=0.0",10982.2000,4400.2600,0.0000,3961.2000,5954.2800,0.0000,0.0000,0.0000
"scenario_label=random,ber=0.0001",10970.5600,4448.8200,0.0000,4011.5400,5953.9000,0.0000,0.0000,0.0000
"scenario_label=random,ber=0.001",10978.5000,4431.1000,0.0000,3972.0400,5917.6800,0.0000,0.0000,0.0000
"scenario_label=random,ber=1e-05",10964.7200,4439.9600,0.0000,3963.6400,5953.6800,0.0000,0.0000,0.0000
"scenario_label=sequential,ber=0.0",3.0000,88.0000,0.0000,3983.3000,5970.0400,2.0000,0.0000,0.0000
"scenario_label=sequential,ber=0.0001",3.0000,88.0000,0.0000,3977.1000,5939.5400,2.0000,0.0000,0.0000
"scenario_label=sequential,ber=0.001",3.0000,88.0000,0.0000,3961.9200,5985.5200,2.0000,0.0000,0.0000
"scenario_label=sequential,ber=1e-05",3.0000,88.0000,0.0000,3993.7600,5931.4000,2.0000,0.0000,0.0000
