scenario_point,SGCT
"scenario_label=clustered,ber=0.0",129.0000
"scenario_label=clustered,ber=0.0001",129.0000
"scenario_label=clustered,ber=0.001",129.0000
"scenario_label=clustered,ber=1e-05",129.0000
"scenario_label=dispersed,ber=0.0",257.0000
"scenario_label=dispersed,ber=0.0001",110.4600
"scenario_label=dispersed,ber=0.001",112.7000
"scenario_label=dispersed,ber=1e-05",121.7000
"scenario_label=prefix80,ber=0.0",257.0000
"scenario_label=prefix80,ber=0.0001",257.0000
"scenario_label=prefix80,ber=0.001",257.0000
"scenario_label=prefix80,ber=1e-05",257.0000
"scenario_label=random,ber=0.0",257.0000
"scenario_label=random,ber=0.0001",257.0000
"scenario_label=random,ber=0.001",257.0000
"scenario_label=random,ber=1e-05",257.0000
"scenario_label=sequential,ber=0.0",1.0000
"scenario_label=sequential,ber=0.0001",1.0000
"scenario_label=sequential,ber=0.001",1.0000
"scenario_label=sequential,ber=1e-05",1.0000
