scenario_point,SGCT
"scenario_label=clustered,ber=0.0",1.5000
"scenario_label=clustered,ber=0.0001",1.5200
"scenario_label=clustered,ber=0.001",1.5800
"scenario_label=clustered,ber=1e-05",1.7800
"scenario_label=dispersed,ber=0.0",0.0000
"scenario_label=dispersed,ber=0.0001",585.7200
"scenario_label=dispersed,ber=0.001",893.3600
"scenario_label=dispersed,ber=1e-05",294.5600
"scenario_label=prefix80,ber=0.0",0.0000
"scenario_label=prefix80,ber=0.0001",0.0000
"scenario_label=prefix80,ber=0.001",0.0000
"scenario_label=prefix80,ber=1e-05",0.0000
"scenario_label=random,ber=0.0",0.0000
"scenario_label=random,ber=0.0001",0.0000
"scenario_label=random,ber=0.001",0.0000
"scenario_label=random,ber=1e-05",0.0000
"scenario_label=sequential,ber=0.0",0.0000
"scenario_label=sequential,ber=0.0001",0.0000
"scenario_label=sequential,ber=0.001",0.0000
"scenario_label=sequential,ber=1e-05",0.0000
