scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"scenario_label=clustered,ber=0.0",SGCT,DRCT,total_protocol_time_ms,10166.953775,23157.086300,12990.132525,56.095712,633.465602,0.000000,89.585565,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,LAPCT,total_protocol_time_ms,10166.953775,29658.296825,19491.343050,65.719698,1487.401169,0.000000,210.350291,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,DQTA(k_max=3),total_protocol_time_ms,10166.953775,16110.655850,5943.702075,36.892986,460.762692,0.000000,65.161685,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,EMDT,total_protocol_time_ms,10166.953775,13669.552950,3502.599175,25.623363,161.897204,0.000000,22.895722,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,NLHQT(n=2),total_protocol_time_ms,10166.953775,25144.637625,14977.683850,59.566115,766.739105,0.000000,108.433284,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,EAQ_CBB,total_protocol_time_ms,10166.953775,26328.782550,16161.828775,61.384641,209.922684,0.000000,29.687551,1.000000,50
"scenario_label=clustered,ber=0.0",SGCT,HT_EEAC,total_protocol_time_ms,10166.953775,79526.313750,69359.359975,87.215610,300.236102,0.000000,42.459797,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,DRCT,total_protocol_time_ms,10185.202375,23159.107175,12973.904800,56.020747,562.771037,0.000000,79.587843,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,LAPCT,total_protocol_time_ms,10185.202375,29657.148625,19471.946250,65.656839,1656.359423,0.000000,234.244596,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,DQTA(k_max=3),total_protocol_time_ms,10185.202375,16148.079825,5962.877450,36.926232,529.975388,0.000000,74.949838,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,EMDT,total_protocol_time_ms,10185.202375,13754.129250,3568.926875,25.948039,194.790432,0.000000,27.547527,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,NLHQT(n=2),total_protocol_time_ms,10185.202375,25154.258325,14969.055950,59.509033,542.799408,0.000000,76.763428,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,EAQ_CBB,total_protocol_time_ms,10185.202375,26397.708875,16212.506500,61.416339,170.802150,0.000000,24.155072,1.000000,50
"scenario_label=clustered,ber=0.0001",SGCT,HT_EEAC,total_protocol_time_ms,10185.202375,79659.686700,69474.484325,87.214107,367.766055,0.000000,52.009974,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,DRCT,total_protocol_time_ms,10355.057050,23158.844250,12803.787200,55.286814,545.401277,0.000000,77.131388,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,LAPCT,total_protocol_time_ms,10355.057050,29659.060625,19304.003575,65.086362,1710.527771,0.000000,241.905157,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,DQTA(k_max=3),total_protocol_time_ms,10355.057050,16417.698750,6062.641700,36.927476,491.374560,0.000000,69.490857,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,EMDT,total_protocol_time_ms,10355.057050,14324.232250,3969.175200,27.709514,198.762139,0.000000,28.109211,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,NLHQT(n=2),total_protocol_time_ms,10355.057050,25401.264900,15046.207850,59.234089,634.681184,0.000000,89.757474,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,EAQ_CBB,total_protocol_time_ms,10355.057050,26469.465775,16114.408725,60.879237,146.695255,0.000000,20.745842,1.000000,50
"scenario_label=clustered,ber=0.001",SGCT,HT_EEAC,total_protocol_time_ms,10355.057050,79654.160250,69299.103200,86.999980,333.721258,0.000000,47.195313,1.000000,50
"scenario_label=clustered,ber=1e-05",SGCT,DRCT,total_protocol_time_ms,10173.211975,23169.992700,12996.780725,56.093158,423.595125,0.000000,59.905397,1.000000,50
"scenario_label=clustered,ber=1e-05",SGCT,LAPCT,total_protocol_time_ms,10173.211975,29656.166125,19482.954150,65.696132,1459.626674,0.000000,206.422384,1.000000,50
"scenario_label=clustered,ber=1e-05",SGCT,DQTA(k_max=3),total_protocol_time_ms,10173.211975,16116.625650,5943.413675,36.877531,577.981660,0.000000,81.738950,1.000000,50
