scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",25.5800,13.2600,2456.8000,46.9000,17.7200,20.3600,34.9200
"scenario_label=clustered,ber=0.0001",25.3400,13.2400,2458.1000,47.0200,17.6000,20.4000,35.4200
"scenario_label=clustered,ber=0.001",25.7400,13.3400,2456.6000,46.6800,17.6400,20.5400,36.7400
"scenario_label=clustered,ber=1e-05",25.7200,13.2200,2457.6800,46.7000,17.6200,20.2800,34.9600
"scenario_label=dispersed,ber=0.0",18.0400,12.9200,2456.1800,47.2400,17.6200,20.9000,256.0000
"scenario_label=dispersed,ber=0.0001",17.8600,13.0400,2457.8000,47.0600,17.5800,21.1000,56.0400
"scenario_label=dispersed,ber=0.001",18.0600,13.0400,2457.4200,47.0000,17.6800,20.9600,58.7400
"scenario_label=dispersed,ber=1e-05",17.5800,13.0600,2456.9200,46.4600,17.4800,20.9800,142.2800
"scenario_label=prefix80,ber=0.0",27.5600,13.0000,2458.7200,46.6600,17.5000,20.9000,256.0000
"scenario_label=prefix80,ber=0.0001",27.5400,12.9400,2456.6000,47.0400,17.6400,21.1000,256.0000
"scenario_label=prefix80,ber=0.001",27.4200,13.0400,2457.1000,46.9800,17.6400,21.0200,256.0400
"scenario_label=prefix80,ber=1e-05",27.5200,13.0600,2456.4800,47.2600,17.6000,21.1200,256.0000
"scenario_label=random,ber=0.0",27.4000,13.1000,2457.7800,47.0400,17.8400,21.0800,258.2800
"scenario_label=random,ber=0.0001",27.5000,13.0200,2457.1000,46.9000,17.8400,21.1400,258.5400
"scenario_label=random,ber=0.001",27.6600,13.0400,2458.3200,46.9600,17.7400,21.1200,262.3400
"scenario_label=random,ber=1e-05",27.3000,13.0600,2457.3400,46.3600,17.7800,21.2200,258.4600
"scenario_label=sequential,ber=0.0",25.0000,14.0000,2458.3200,46.6600,17.0000,21.0000,157.0000
"scenario_label=sequential,ber=0.0001",25.0000,14.0000,2456.8600,46.7000,17.0000,21.0000,157.0000
"scenario_label=sequential,ber=0.001",25.0000,14.0000,2456.9800,46.8200,17.0000,21.0000,157.0000
"scenario_label=sequential,ber=1e-05",25.0000,14.0000,2457.8600,46.7400,17.0000,21.0000,157.0000
