TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,enable_refined_energy_model,enable_resource_monitoring,ber,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,random,random,"scenario_label=random,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,2027752441,348283645,16407330.000000,338723.000000,9107135.000000,34900,8245295.848125,5231.013500,8250526.861625,10000,10000,10936,9309,,,,,,,,,,,,,,,,,,,,5.166600,,609.483688,DQTA(k_max=3),0,28.000000,,,,,,,,,,30245,0.330633,910.713500,33.872300,9445858.000000,944.585800,1.074229,16407.330000,,,,,,
10000,96,random,random,"scenario_label=random,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,1453124204,712538822,16394665.000000,339188.000000,9106845.000000,34853,8201617.796000,5231.798500,8206849.594500,10000,10000,10921,9292,,,,,,,,,,,,,,,,,,,,5.167800,,609.954519,DQTA(k_max=3),0,28.000000,,,,,,,,,,30213,0.330983,910.684500,33.918800,9446033.000000,944.603300,1.076195,16394.665000,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,1618647461,3950111044,16516901.250000,346833.000000,9107284.000000,35045,8298586.500500,5247.308000,8303833.808500,10000,10000,11014,9376,,,,,,,,,,,,,,,,,,,,5.173600,,605.440442,DQTA(k_max=3),0,27.000000,,,,,,,,,,30390,0.329056,910.728400,34.683300,9454117.000000,945.411700,1.066553,16516.901250,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,99079029,3957848413,17457367.500000,423554.000000,9089015.000000,35455,8734804.671250,5391.615500,8740196.286750,10000,10000,10919,9944,,,,,,,,,,,,,,,,,,,,5.231300,,572.824053,DQTA(k_max=3),0,28.000000,,,,,,,,,,30863,0.324013,908.901500,42.355400,9512569.000000,951.256900,1.005632,17457.367500,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,1122873511,3800893667,14595843.750000,979797.000000,847840.000000,31280,7338034.970000,2383.514000,7340418.484000,10000,10000,8582,8465,,,,,,,,,,,,,,,,,,,,5.055900,,685.126545,DQTA(k_max=3),0,27.000000,,,,,,,80.000000,,,27047,0.369727,84.784000,97.979700,1827637.000000,182.763700,1.181335,14595.843750,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,1779890305,3095248827,14839683.750000,998169.000000,848460.000000,31488,7451403.996000,2420.568000,7453824.564000,10000,10000,8555,8622,,,,,,,,,,,,,,,,,,,,5.068300,,673.868808,DQTA(k_max=3),0,28.000000,,,,,,,80.000000,,,27177,0.367958,84.846000,99.816900,1846629.000000,184.662900,1.159824,14839.683750,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,197154486,1145091780,14710623.750000,987671.000000,848511.000000,31510,7309852.798000,2399.597500,7312252.395500,10000,10000,8709,8534,,,,,,,,,,,,,,,,,,,,5.061500,,679.780828,DQTA(k_max=3),0,27.000000,,,,,,,80.000000,,,27243,0.367067,84.851100,98.767100,1836182.000000,183.618200,1.171783,14710.623750,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,2437168043,4118234193,14883575.000000,1001654.000000,848143.000000,31523,7445770.355250,2427.379500,7448197.734750,10000,10000,8555,8650,,,,,,,,,,,,,,,,,,,,5.072000,,671.881588,DQTA(k_max=3),0,28.000000,,,,,,,80.000000,,,27205,0.367579,84.814300,100.165400,1849797.000000,184.979700,1.156069,14883.575000,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,2398122606,224322569,16170750.000000,907535.000000,5371480.000000,34998,8075536.133375,4500.810000,8080036.943375,10000,10000,11010,9325,,,,,,,,,,,,,,,,,,,,5.922400,,618.400507,DQTA(k_max=3),0,25.000000,,,,,,,,8.000000,64.000000,30335,0.329652,537.148000,90.753500,6279015.000000,627.901500,1.072386,16170.750000,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,895823461,1388890114,15952413.750000,891849.000000,6063383.000000,34947,8002106.332750,4815.389500,8006921.722250,10000,10000,11198,9166,,,,,,,,,,,,,,,,,,,,6.276000,,626.864383,DQTA(k_max=3),0,24.000000,,,,,,,,8.000000,64.000000,30364,0.329337,606.338300,89.184900,6955232.000000,695.523200,1.090988,15952.413750,,,,,,
