experiment_name,scenario,run_id,point_seed,algorithm,algorithm_seed,tag_count,epc_length,status,runtime,scenario_point,algorithm_name
formal_sgct_ber_robustness,random,0,2027752441,DQTA(k_max=3),348283645,10000,96,ok,,"scenario_label=random,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,random,0,1453124204,DQTA(k_max=3),712538822,10000,96,ok,,"scenario_label=random,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,random,0,1618647461,DQTA(k_max=3),3950111044,10000,96,ok,,"scenario_label=random,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,0,99079029,DQTA(k_max=3),3957848413,10000,96,ok,,"scenario_label=random,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,0,1122873511,DQTA(k_max=3),3800893667,10000,96,ok,,"scenario_label=prefix80,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,0,1779890305,DQTA(k_max=3),3095248827,10000,96,ok,,"scenario_label=prefix80,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,0,197154486,DQTA(k_max=3),1145091780,10000,96,ok,,"scenario_label=prefix80,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,0,2437168043,DQTA(k_max=3),4118234193,10000,96,ok,,"scenario_label=prefix80,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,0,2398122606,DQTA(k_max=3),224322569,10000,96,ok,,"scenario_label=clustered,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,0,895823461,DQTA(k_max=3),1388890114,10000,96,ok,,"scenario_label=clustered,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,0,3148228933,DQTA(k_max=3),1634513646,10000,96,ok,,"scenario_label=clustered,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,0,822018626,DQTA(k_max=3),3427151467,10000,96,ok,,"scenario_label=clustered,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,1,1493564458,DQTA(k_max=3),844008193,10000,96,ok,,"scenario_label=random,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,random,1,740622927,DQTA(k_max=3),2610159297,10000,96,ok,,"scenario_label=random,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,random,1,4045632897,DQTA(k_max=3),4064130063,10000,96,ok,,"scenario_label=random,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,1,315244238,DQTA(k_max=3),1008249392,10000,96,ok,,"scenario_label=random,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,1,121758843,DQTA(k_max=3),3441548360,10000,96,ok,,"scenario_label=prefix80,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,1,3420086775,DQTA(k_max=3),586891657,10000,96,ok,,"scenario_label=prefix80,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,1,2442838656,DQTA(k_max=3),926745108,10000,96,ok,,"scenario_label=prefix80,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,1,1756224735,DQTA(k_max=3),2669338322,10000,96,ok,,"scenario_label=prefix80,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,1,3496618278,DQTA(k_max=3),1860545799,10000,96,ok,,"scenario_label=clustered,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,1,2471414589,DQTA(k_max=3),2267876120,10000,96,ok,,"scenario_label=clustered,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,1,3839048906,DQTA(k_max=3),1449995148,10000,96,ok,,"scenario_label=clustered,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,1,3696105296,DQTA(k_max=3),2327070117,10000,96,ok,,"scenario_label=clustered,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,2,3918175236,DQTA(k_max=3),3874104074,10000,96,ok,,"scenario_label=random,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,random,2,4113049662,DQTA(k_max=3),993667052,10000,96,ok,,"scenario_label=random,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,random,2,4292282597,DQTA(k_max=3),3847820096,10000,96,ok,,"scenario_label=random,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,2,777501549,DQTA(k_max=3),3081504648,10000,96,ok,,"scenario_label=random,ber=0.001",DQTA(k_max=3)
