scenario_point,SGCT
"scenario_label=clustered,ber=0.0",1391.1800
"scenario_label=clustered,ber=0.0001",1390.8200
"scenario_label=clustered,ber=0.001",1389.3800
"scenario_label=clustered,ber=1e-05",1392.3400
"scenario_label=dispersed,ber=0.0",256.0000
"scenario_label=dispersed,ber=0.0001",922.0200
"scenario_label=dispersed,ber=0.001",1534.4200
"scenario_label=dispersed,ber=1e-05",728.7600
"scenario_label=prefix80,ber=0.0",256.0000
"scenario_label=prefix80,ber=0.0001",256.0000
"scenario_label=prefix80,ber=0.001",256.0000
"scenario_label=prefix80,ber=1e-05",256.0000
"scenario_label=random,ber=0.0",946.1000
"scenario_label=random,ber=0.0001",945.4800
"scenario_label=random,ber=0.001",945.3400
"scenario_label=random,ber=1e-05",949.5000
"scenario_label=sequential,ber=0.0",157.0000
"scenario_label=sequential,ber=0.0001",157.0000
"scenario_label=sequential,ber=0.001",157.0000
"scenario_label=sequential,ber=1e-05",157.0000
