scenario_point,SGCT
"scenario_label=clustered,ber=0.0",1390.6800
"scenario_label=clustered,ber=0.0001",1390.3000
"scenario_label=clustered,ber=0.001",1388.8000
"scenario_label=clustered,ber=1e-05",1391.5600
"scenario_label=dispersed,ber=0.0",257.0000
"scenario_label=dispersed,ber=0.0001",337.3000
"scenario_label=dispersed,ber=0.001",642.4200
"scenario_label=dispersed,ber=1e-05",435.2000
"scenario_label=prefix80,ber=0.0",257.0000
"scenario_label=prefix80,ber=0.0001",257.0000
"scenario_label=prefix80,ber=0.001",257.0000
"scenario_label=prefix80,ber=1e-05",257.0000
"scenario_label=random,ber=0.0",947.1000
"scenario_label=random,ber=0.0001",946.4800
"scenario_label=random,ber=0.001",946.3400
"scenario_label=random,ber=1e-05",950.5000
"scenario_label=sequential,ber=0.0",158.0000
"scenario_label=sequential,ber=0.0001",158.0000
"scenario_label=sequential,ber=0.001",158.0000
"scenario_label=sequential,ber=1e-05",158.0000
